#TimeStamp;TripTime;Type
23;15;O
24;10;O
36;14;O
37;23;O
38;16;O
38;24;O
42;19;O
46;34;O
52;22;O
53;29;O
60;34;O
60;37;O
63;51;O
70;24;O
75;21;O
78;32;O
91;34;O
96;17;O
103;39;O
107;37;O
110;32;O
119;30;O
123;49;O
127;21;O
134;32;O
176;18;O
179;51;O
180;41;O
183;39;O
185;26;O
188;40;O
195;53;O
219;21;O
225;31;O
226;30;O
240;7;O
247;50;O
248;49;O
256;20;O
258;35;O
266;33;O
278;17;O
279;36;O
288;19;O
302;7;O
308;17;O
319;38;O
323;23;O
327;22;O
350;26;O
350;7;O
371;39;O
378;26;O
380;25;O
389;24;O
400;20;O
402;26;O
417;13;O
448;48;O
457;36;O
457;32;O
460;23;O
462;27;O
465;26;O
476;36;O
480;43;O
480;34;O
486;32;O
495;27;O
507;19;O
516;23;O
520;21;O
532;28;O
538;38;O
560;18;O
571;27;O
571;40;O
583;46;O
598;32;O
603;24;O
612;42;O
621;23;O
629;38;O
644;41;O
669;30;O
671;40;O
679;39;O
681;57;O
685;23;O
702;41;O
704;41;O
707;47;O
717;33;O
724;30;O
726;24;O
730;29;O
730;16;O
738;29;O
752;27;O
768;17;O
793;29;O
804;30;O
810;27;O
812;33;O
812;50;O
840;21;O
848;26;O
854;44;O
862;54;O
866;26;O
872;86;O
879;36;O
883;44;O
885;20;O
895;23;O
903;27;O
909;26;O
920;27;O
924;14;O
928;16;O
935;16;O
942;13;O
961;39;O
962;35;O
968;40;O
982;40;O
990;30;O
1001;33;O
1003;21;O
1007;26;O
1010;30;O
1013;41;O
1019;22;O
1037;15;O
1046;43;O
1068;28;O
1080;27;O
1082;40;O
1083;40;O
1093;18;O
1095;20;O
1102;23;O
1116;34;O
1133;24;O
1147;28;O
1152;32;O
1166;29;O
1176;20;O
1184;24;O
1194;19;O
1194;42;O
1199;24;O
1215;39;O
1239;24;O
1244;19;O
1246;30;O
1268;22;O
1271;29;O
1271;37;O
1285;20;O
1289;28;O
1309;22;O
1327;30;O
1339;28;O
1366;37;O
1368;17;O
1368;41;O
1376;42;O
1386;18;O
1397;19;O
1407;27;O
1421;33;O
1424;19;O
1433;58;O
1435;19;O
1437;24;O
1446;22;O
1479;31;O
1502;37;O
1507;26;O
1517;21;O
1527;21;O
1532;38;O
1534;34;O
1538;35;O
1550;33;O
1565;32;O
1567;34;O
1572;32;O
1575;27;O
1577;14;O
1601;23;O
1610;19;O
1615;52;O
1617;14;O
1619;42;O
1626;25;O
1638;33;O
1651;22;O
1681;35;O
1683;31;O
1687;30;O
1691;49;O
1703;25;O
1706;19;O
1707;29;O
1738;27;O
1744;40;O
1744;27;O
1753;30;O
1785;27;O
1795;40;O
1798;36;O
