#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;20;200;0;0;0;0;0;0.34
59.69;20;200;0;50.3;0;59.69;0;0.3
119.94;20;200;0;96.24;0;119.94;0;0.28
179.76;20;200;0;141.51;0;167.29;0;0.29
239.94;20;200;0;168.69;0;230.08;0;0.3
299.58;20;200;0;189.68;0;282.11;0;0.26
359.98;20;200;0;205.28;0;294.93;0;0.31
419.87;20;200;0;222.49;0;358.87;0;0.29
479.62;20;200;0;205.57;0;407.91;0;0.25
539.96;20;200;0;249.73;0;448.7;0;0.25
599.92;20;200;0;248.15;0;496.82;0;0.33
659.76;20;200;0;261.04;0;505.45;0;0.35
720;20;200;0;303.52;0;556.28;0;0.39
779.8;20;200;0;301.61;0;590.74;0;0.34
839.97;20;200;0;308.36;0;672.49;0;0.28
899.87;200;200;0;309.87;0;764.81;0;0.22
959.73;200;200;0;338.32;0;761.84;0;0.25
1019.94;200;200;0;265.15;0;800.66;0;0.33
1079.64;200;200;0;280.32;0;771.09;0;0.43
1139.95;200;200;0;341.23;0;803.18;0;0.38
1199.65;200;200;0;362.74;0;873.27;0;0.35
1259.68;200;200;0;359.33;0;874.33;0;0.39
1319.68;200;200;0;347.8;0;998.51;0;0.4
1379.64;200;200;0;383.43;0;1007.22;0;0.42
1439.72;200;200;0;342.58;0;1083.3;0;0.3
1499.97;200;200;0;351.48;0;1126.24;0;0.41
1559.94;200;200;0;344.99;0;1065.65;0;0.48
1619.91;200;200;0;333.65;0;1105.69;0;0.52
1679.8;200;200;0;375.3;0;1255.03;0;0.55
1739.76;200;200;0;384.49;0;1252.34;0;0.47
1799.76;200;200;0;391.6;0;1275.1;0;0.43
