#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/4;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.91;0;2;1;3;0/59.91;0/50.31,1/45.15,2/33.34;0/59.91;0/59.91,1/59.91,2/59.91;0/0;0/9,1/13,2/10;0/0;0/17,1/16,2/17;0/0;0/4,1/3,2/3;0/0;0/0,1/1,2/1;0/0;0/1,1/2,2/3
119.68;0;5;1;3;0/119.68;0/53.17,1/54.06,2/36.49;0/119.68;0/119.68,1/119.68,2/119.68;0/0;0/9,1/11,2/10;0/0;0/18,1/21,2/17;0/0;0/4,1/3,2/3;0/0;0/0,1/3,2/2;0/0;0/7,1/7,2/9
179.9;0;6;1;3;0/179.9;0/54.9,1/56.37,2/38.76;0/179.9;0/179.9,1/179.9,2/179.9;0/0;0/8,1/11,2/9;0/0;0/16,1/17,2/18;0/0;0/4,1/3,2/3;0/0;0/1,1/3,2/2;0/0;0/13,1/13,2/15
239.98;0;10;1;3;0/239.98;0/57.42,1/59.17,2/40.79;0/239.98;0/239.98,1/239.98,2/239.98;0/0;0/8,1/11,2/8;0/0;0/18,1/20,2/18;0/0;0/4,1/3,2/3;0/0;0/2,1/5,2/3;0/0;0/19,1/19,2/21
299.97;0;12;1;3;0/299.97;0/60.19,1/61.08,2/42.22;0/299.97;0/299.97,1/299.97,2/299.97;0/0;0/8,1/11,2/8;0/0;0/15,1/19,2/19;0/0;0/4,1/3,2/3;0/0;0/2,1/6,2/4;0/0;0/25,1/25,2/27
359.88;0;14;1;3;0/359.88;0/62.82,1/63.58,2/44.29;0/359.88;0/359.88,1/359.88,2/359.88;0/0;0/9,1/11,2/9;0/0;0/18,1/18,2/18;0/0;0/4,1/3,2/3;0/0;0/3,1/7,2/4;0/0;0/31,1/31,2/33
419.76;0;16;1;3;0/419.76;0/64.65,1/66.01,2/46.39;0/419.76;0/419.76,1/419.76,2/419.76;0/0;0/8,1/12,2/9;0/0;0/18,1/18,2/18;0/0;0/4,1/3,2/3;0/0;0/4,1/7,2/5;0/0;0/37,1/37,2/38
479.84;0;18;1;3;0/479.84;0/67.64,1/68.25,2/49.23;0/479.84;0/479.84,1/479.84,2/479.84;0/0;0/9,1/12,2/10;0/0;0/17,1/18,2/21;0/0;0/4,1/3,2/3;0/0;0/4,1/8,2/6;0/0;0/43,1/42,2/44
539.59;0;21;1;3;0/539.59;0/70.32,1/70.29,2/51.15;0/539.59;0/539.59,1/539.59,2/539.59;0/0;0/7,1/11,2/10;0/0;0/19,1/15,2/19;0/0;0/4,1/3,2/3;0/0;0/5,1/9,2/7;0/0;0/48,1/48,2/50
599.71;0;25;1;3;0/599.71;0/71.48,1/73.22,2/53.9;0/599.71;0/599.71,1/599.71,2/599.71;0/0;0/4,1/10,2/10;0/0;0/16,1/17,2/16;0/0;0/4,1/3,2/3;0/0;0/7,1/10,2/8;0/0;0/54,1/54,2/56
