#TimeStamp;TripTime;Type
27;12;O
33;14;O
38;9;O
44;20;O
47;28;O
52;36;O
63;17;O
80;18;O
82;21;O
84;37;O
101;28;O
128;18;O
133;23;O
172;23;O
185;24;O
217;19;O
244;22;O
244;17;O
311;22;O
334;6;O
366;16;O
407;29;O
424;16;O
436;23;O
445;18;O
503;24;O
522;24;O
525;30;O
539;15;O
641;22;O
655;14;O
659;27;O
692;41;O
707;20;O
715;17;O
733;20;O
752;25;O
764;19;O
781;21;O
852;17;O
871;17;O
932;25;O
940;22;O
989;19;O
993;18;O
1023;22;O
1028;17;O
1031;27;O
1104;15;O
1118;22;O
1145;19;O
1155;19;O
1221;27;O
1246;19;O
1338;21;O
1339;17;O
1387;23;O
1409;23;O
1421;22;O
1437;27;O
1478;18;O
1489;17;O
1524;19;O
1579;15;O
1609;19;O
1609;21;O
1647;21;O
1656;20;O
1672;11;O
1718;21;O
1744;22;O
1759;22;O
1787;19;O
