#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
49.95;0;49.95;49.95;-8849.89
53.79;1;53.79;53.79;-9578.51
59.45;2;59.45;59.45;-9745.63
63.98;1;63.98;63.98;-9348.29
69.74;2;69.74;69.74;-9760.78
69.84;0;69.84;69.84;-9231.62
80;2;80;29.93;-10311.53
80.14;0;80.14;30.07;-10842.39
84.28;1;84.28;30.44;-9988.82
90.07;2;90.07;30.57;-10364.77
90.19;0;90.19;40.11;-9901.17
94.74;1;94.74;40.91;-9748.78
100.33;2;100.33;30.48;-10848.06
100.61;0;100.61;30.46;-11094.92
105.16;1;105.16;41.08;-10276.97
110.63;2;110.63;30.49;-11962.64
110.68;0;110.68;30.49;-11138.5
115.58;1;115.58;31.14;-12300.63
121.17;0;121.17;30.56;-11499.78
126.09;1;126.09;126.09;-9292.43
130.93;2;77.1;40.75;-12688.64
131.9;0;51.76;31.25;-11769.92
136.16;1;136.16;136.16;-9532.11
141.09;2;141.09;141.09;-9552.48
142.02;0;142.02;142.02;-9197.3
146.73;1;146.73;31.03;-9983.8
151.28;2;151.28;151.28;-9603.23
152.44;0;152.44;152.44;-9237.4
157.24;1;97.74;41.54;-9520.33
161.38;2;111.3;30.31;-12653.32
163.04;0;41.55;31.97;-10345.08
167.23;1;167.23;41.09;-11509.75
173.01;0;173.01;41.07;-10550.33
183.46;0;183.46;41.1;-11568.09
187.94;1;187.94;187.94;-9446.09
191.85;2;18.55;18.26;-10999.45
208.39;1;208.39;103.11;-9863.72
212.22;2;212.22;212.22;-9599.05
228.48;1;228.48;44.89;-10309.99
232.41;2;232.41;121.73;-10532.49
238.69;1;238.69;50.69;-10917.09
243.64;0;243.64;122.15;-11600.46
248.69;1;248.69;40.25;-11389.29
252.96;2;252.96;60.75;-10205.61
253.59;0;253.59;90.38;-9225.23
263.47;2;263.47;50.97;-10385.69
269.01;1;269.01;269.01;-9135.07
273.71;2;273.71;40.91;-10581.03
279.31;1;279.31;132.33;-10522.53
284.09;2;284.09;30.87;-12048.53
284.38;0;284.38;92.17;-9771.98
289.43;1;289.43;132.03;-10747.6
294.33;2;294.33;294.33;-9391.91
294.43;0;102.21;50.48;-10436.74
304.24;2;304.24;304.24;-9521.96
304.47;0;163.33;50.48;-10970.05
309.45;1;309.45;45.91;-9966.53
314.51;0;61.29;30.09;-11728.15
319.55;1;319.55;50.5;-10110.9
324.51;0;324.51;324.51;-8694.7
329.56;1;329.56;50.15;-10365.03
334.51;0;334.51;334.51;-9009.3
339.56;1;339.56;50.09;-10361.38
345.04;0;345.04;345.04;-8873.56
349.98;1;349.98;182.4;-9773.24
360.13;1;360.13;121.19;-10194.39
364.19;2;364.19;79.8;-10141
365.39;0;365.39;50.83;-10702.62
374.93;2;243.86;90.55;-10350.56
375.43;0;375.43;60.87;-10648.3
380.22;1;274.94;40.53;-10430.14
385.04;2;385.04;233.68;-10347.72
385.77;0;385.77;61.17;-11650.79
390.76;1;86.24;51.07;-10207.92
401.09;1;401.09;51.07;-10721.09
411.06;1;147.52;50.76;-11149.91
415.43;2;415.43;253.65;-10854.42
416.1;0;416.1;416.1;-8830.91
421.07;1;351.23;40.68;-11254.22
431.31;1;431.31;40.51;-11614.73
435.37;2;145.9;130.9;-10598.64
441.44;1;81.14;40.22;-11841.85
445.86;2;445.86;304.72;-10340.49
446.06;0;80.55;70.39;-9890.39
456.36;0;141.81;55.14;-9542.17
461.86;1;461.86;461.86;-9201.13
466.78;0;116.76;50.52;-9717.88
472.39;1;356.69;223.4;-9510.06
476.78;0;476.78;476.78;-8449.67
485.96;2;485.96;50.33;-9806.44
486.78;0;486.78;182.27;-11027.8
496.68;2;496.68;61.04;-9831.58
497.2;0;443.37;131.7;-12227.94
