#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
49.95;0;49.95;49.95;-8849.89
53.79;1;53.79;53.79;-9578.51
59.45;2;59.45;59.45;-9745.63
63.98;1;63.98;63.98;-9348.29
69.74;2;69.74;69.74;-9760.78
69.84;0;69.84;69.84;-9231.62
80;2;80;29.93;-10311.53
84.28;1;84.28;30.44;-9988.82
90.07;0;90.07;40;-10959.59
90.07;2;90.07;30.57;-10364.77
94.66;1;94.66;40.83;-9748.86
100.45;0;100.45;30.3;-11148.73
100.45;2;36.37;30.6;-10541.31
104.7;1;104.7;40.62;-10277.44
110.84;0;110.84;110.84;-9228.49
110.84;2;110.84;30.7;-10837.55
115.12;1;115.12;30.67;-11667.02
121.16;0;121.16;121.16;-9268.68
121.16;2;121.16;30.97;-11952.12
125.58;1;125.58;125.58;-9292.94
131.25;0;77.42;30.65;-10715.53
131.25;2;131.25;131.25;-9562.32
135.38;1;135.38;135.38;-9532.89
141.85;0;141.85;41.24;-10581.5
141.85;2;141.85;141.85;-9612.67
152.18;0;152.18;41.15;-11599.37
162.34;0;162.34;40.89;-12253.87
175.72;1;175.72;60.36;-11501.25
181.94;2;181.94;181.94;-9629.34
206.15;1;206.15;206.15;-9427.89
222.14;2;222.14;100.69;-10542.76
222.94;0;222.94;70.6;-11317.78
225.98;1;225.98;100.29;-9846.12
232.93;2;232.93;70.17;-9094.22
233.4;0;143.21;70.64;-8585.61
236.44;1;236.44;30.25;-10919.34
243.35;2;243.35;61.01;-10611.39
243.82;0;243.82;67.85;-9812.55
246.86;1;246.86;40.67;-10291.61
253.73;2;253.73;31.22;-12078.89
254.43;0;254.43;31.22;-9876.1
257.28;1;257.28;31.03;-11380.7
263.84;2;263.84;263.84;-9422.4
264.51;0;264.51;30.88;-9908.74
274.37;2;274.37;274.37;-9551.83
274.92;0;143.42;30.87;-10002.82
285.68;0;285.68;31.2;-10172.89
287.88;1;287.88;182.94;-10917.75
295.81;0;174.36;30.91;-10315.87
298.32;1;228.48;162.58;-11553.59
306.16;0;41.27;30.85;-10445.51
308.32;1;308.32;33.91;-11879.17
316.69;0;316.69;30.96;-11054.57
318.69;1;318.69;142.73;-9771.85
326.97;0;28.6;28.49;-11457.54
329.19;1;329.19;329.19;-9333.79
334.62;2;334.62;80.8;-10095.84
337.57;0;337.57;337.57;-8681.64
339.42;1;339.42;92.37;-10697.61
345.04;2;101;91.23;-9799.25
347.91;0;347.91;347.91;-8995.9
349.98;1;349.98;92.52;-9977.1
355.49;2;355.49;91.26;-11064.15
358.09;0;358.09;358.09;-8860.52
360.13;1;360.13;53.74;-10006.13
365.39;2;365.39;223.47;-10367.37
368.18;0;368.18;40.95;-11668.38
370.48;1;207.72;62;-10169.2
375.6;2;58.79;20.06;-10896.23
378.27;0;378.27;51.04;-10645.46
380.88;1;380.88;61.99;-11180.27
385.76;2;385.76;142.36;-10884.1
390.84;1;285.9;61.53;-12085.18
401.11;1;401.11;401.11;-9002.97
408.69;0;408.69;408.69;-8838.33
426.31;2;426.31;81.21;-12455.23
441.23;1;441.23;50.14;-10259.7
446.74;2;220.49;111.88;-10067.69
451.65;1;451.65;153.28;-9671.57
459.41;0;103.87;72.94;-10167.21
462.02;1;462.02;111.99;-11152.1
469.66;0;101.41;60.62;-10538.02
471.95;1;144.73;111.51;-9337.44
479.69;0;479.69;429.62;-9894.19
487.27;2;35.58;35.16;-9359.69
492;1;492;50.73;-11554.04
496.95;2;496.95;365.45;-10289.41
499.64;0;378.19;182.83;-9612.35
502.04;1;153.97;60.76;-11310.75
507.16;2;507.16;141.54;-10755.22
510.13;0;510.13;510.13;-8416.32
512.41;1;133.75;60.72;-11763.21
517.18;2;517.18;131.14;-9775.23
522.78;1;162.33;60.66;-12330.65
