#TimeStamp;TripTime;Type
30;12;O
32;20;O
41;31;O
44;18;O
47;23;O
48;17;O
70;17;O
71;15;O
76;28;O
78;22;O
87;19;O
123;21;O
132;13;O
136;22;O
180;23;O
196;24;O
197;18;O
204;19;O
236;24;O
237;23;O
250;12;O
282;18;O
329;19;O
373;16;O
383;15;O
389;17;O
463;18;O
516;6;O
543;15;O
574;23;O
597;18;O
617;19;O
686;22;O
694;16;O
701;26;O
720;22;O
775;19;O
786;22;O
808;28;O
831;23;O
840;19;O
875;22;O
922;19;O
949;27;O
978;16;O
980;21;O
1004;23;O
1017;23;O
1018;12;O
1093;24;O
1153;18;O
1167;13;O
1182;21;O
1186;19;O
1218;13;O
1235;17;O
1275;21;O
1285;25;O
1332;25;O
1346;5;O
1354;20;O
1387;25;O
1398;15;O
1471;23;O
1471;16;O
1486;19;O
1557;24;O
1558;31;O
1562;12;O
1567;24;O
1615;15;O
1642;23;O
1674;21;O
1678;21;O
1687;12;O
1692;19;O
1713;16;O
1741;11;O
1744;20;O
1760;15;O
1768;13;O
1777;32;O
