#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;74.86;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.69;75.01;0.15;PP/0.01,TA/0.1,IS/0,PS/0.04,RB/0,OB/0.01,RP/0
119.89;74.83;0.17;PP/0.01,TA/0.1,IS/0,PS/0.04,RB/0,OB/0.01,RP/0
179.84;74.71;0.2;PP/0.01,TA/0.12,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
239.69;74.71;0.21;PP/0.01,TA/0.12,IS/0,PS/0.06,RB/0,OB/0.01,RP/0
299.9;75.17;0.23;PP/0.01,TA/0.12,IS/0,PS/0.06,RB/0,OB/0.01,RP/0
359.6;75.17;0.25;PP/0.01,TA/0.12,IS/0,PS/0.06,RB/0,OB/0.01,RP/0
419.59;74.31;0.27;PP/0.01,TA/0.13,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
479.69;74.09;0.3;PP/0.01,TA/0.13,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
539.76;73.98;0.34;PP/0.01,TA/0.16,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
599.84;73.88;0.37;PP/0.02,TA/0.16,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
659.97;73.84;0.4;PP/0.02,TA/0.17,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
719.92;73.73;0.42;PP/0.02,TA/0.17,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
779.85;73.57;0.44;PP/0.02,TA/0.18,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
839.65;73.46;0.46;PP/0.02,TA/0.18,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
899.62;73.39;0.49;PP/0.02,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
959.63;73.39;0.51;PP/0.03,TA/0.19,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1019.69;73.39;0.53;PP/0.03,TA/0.19,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1079.78;73.39;0.55;PP/0.03,TA/0.19,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1139.6;73.39;0.58;PP/0.03,TA/0.2,IS/0,PS/0.08,RB/0,OB/0.04,RP/0
1199.99;73.39;0.6;PP/0.03,TA/0.2,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1259.93;73.37;0.62;PP/0.03,TA/0.2,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1319.78;73.23;0.67;PP/0.03,TA/0.22,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1379.83;73.23;0.69;PP/0.03,TA/0.22,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1440;73.23;0.71;PP/0.04,TA/0.23,IS/0,PS/0.08,RB/0,OB/0.06,RP/0
1499.79;73.23;0.73;PP/0.04,TA/0.23,IS/0,PS/0.08,RB/0,OB/0.06,RP/0
1560;73.23;0.75;PP/0.04,TA/0.23,IS/0,PS/0.08,RB/0,OB/0.06,RP/0
1619.76;73.23;0.77;PP/0.04,TA/0.23,IS/0,PS/0.08,RB/0,OB/0.06,RP/0
1679.75;73.23;0.78;PP/0.04,TA/0.24,IS/0,PS/0.08,RB/0,OB/0.06,RP/0
1739.66;73.23;0.8;PP/0.04,TA/0.24,IS/0,PS/0.08,RB/0,OB/0.07,RP/0
1799.91;73;0.82;PP/0.04,TA/0.24,IS/0,PS/0.09,RB/0,OB/0.07,RP/0
