#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;74.26;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0,RP/0
59.91;74.15;0.11;PP/0,TA/0.07,IS/0,PS/0.02,RB/0,OB/0,RP/0
119.86;73.97;0.13;PP/0.01,TA/0.07,IS/0,PS/0.03,RB/0,OB/0.01,RP/0
179.99;73.84;0.16;PP/0.01,TA/0.08,IS/0,PS/0.03,RB/0,OB/0.01,RP/0
239.62;73.82;0.2;PP/0.01,TA/0.1,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
299.86;73.82;0.22;PP/0.01,TA/0.11,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
359.81;73.82;0.26;PP/0.01,TA/0.11,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
419.97;73.82;0.28;PP/0.01,TA/0.11,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
479.84;73.82;0.3;PP/0.01,TA/0.12,IS/0,PS/0.05,RB/0,OB/0.02,RP/0
539.9;73.82;0.32;PP/0.01,TA/0.12,IS/0,PS/0.05,RB/0,OB/0.02,RP/0
599.65;73.55;0.34;PP/0.02,TA/0.13,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
659.73;73.55;0.35;PP/0.02,TA/0.13,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
719.66;73.48;0.37;PP/0.02,TA/0.13,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
779.63;73.48;0.41;PP/0.02,TA/0.14,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
839.68;73.47;0.43;PP/0.02,TA/0.14,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
899.78;73.47;0.46;PP/0.02,TA/0.15,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
959.96;73.47;0.48;PP/0.02,TA/0.15,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
1019.95;73.47;0.5;PP/0.02,TA/0.15,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
1079.62;73.47;0.51;PP/0.02,TA/0.15,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
1139.78;73.41;0.56;PP/0.03,TA/0.16,IS/0,PS/0.06,RB/0,OB/0.04,RP/0
1199.93;73.08;0.58;PP/0.03,TA/0.17,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1259.71;72.99;0.6;PP/0.03,TA/0.17,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1319.81;72.96;0.62;PP/0.03,TA/0.17,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1379.95;72.96;0.65;PP/0.03,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1439.78;72.96;0.67;PP/0.04,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.05,RP/0
1499.73;72.96;0.69;PP/0.04,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.05,RP/0
1559.89;72.96;0.7;PP/0.04,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.05,RP/0
1619.78;72.96;0.73;PP/0.04,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.06,RP/0
1679.62;72.96;0.78;PP/0.04,TA/0.19,IS/0,PS/0.07,RB/0,OB/0.07,RP/0
1739.68;72.96;0.81;PP/0.05,TA/0.19,IS/0,PS/0.07,RB/0,OB/0.07,RP/0
1799.8;72.87;0.83;PP/0.05,TA/0.19,IS/0,PS/0.07,RB/0,OB/0.07,RP/0
