#TimeStamp;Bot;Pod;OutputStation
29.36;9;36;2
36.33;2;44;1
37.54;6;4;0
46.64;2;44;1
47.26;1;31;2
47.59;6;4;0
56.68;0;33;1
57.35;1;31;2
57.64;6;4;0
67.1;0;33;1
67.1;1;31;2
67.74;4;18;0
77.41;0;33;1
77.41;1;31;2
77.87;4;18;0
87.5;1;31;2
87.83;0;33;1
88.16;4;18;0
97.75;3;5;2
97.87;0;33;1
98.58;4;18;0
107.83;3;5;2
108.3;2;56;1
109;4;18;0
118.19;2;56;1
118.19;9;21;2
119.16;4;18;0
128.42;2;56;1
128.42;9;21;2
129.22;4;18;0
138.45;2;56;1
139.35;5;2;0
142.88;1;26;2
148.19;2;56;1
149.21;5;2;0
153.03;1;26;2
158.51;2;56;1
159.12;5;2;0
163.41;1;26;2
168.93;2;56;1
169.42;5;2;0
173.31;1;26;2
179.08;2;56;1
179.84;5;2;0
183.45;3;27;2
189.12;2;56;1
189.63;5;2;0
193.87;3;27;2
199.18;2;56;1
199.89;5;2;0
203.88;3;27;2
209.28;2;56;1
209.7;5;2;0
213.88;3;27;2
219.7;2;56;1
220;5;2;0
224.17;9;32;2
230;2;56;1
230.04;5;2;0
234.59;9;32;2
240.05;2;56;1
240.47;5;2;0
244.92;9;32;2
250.43;2;56;1
250.89;5;2;0
255.34;9;32;2
260.85;2;56;1
261.12;5;2;0
265.76;9;32;2
271.12;2;56;1
271.54;5;2;0
276.15;9;32;2
281.17;2;56;1
281.96;5;2;0
286.19;9;32;2
291.21;7;7;1
292.29;8;30;0
295.92;1;31;2
301.63;7;7;1
302.38;8;30;0
306.23;1;31;2
311.65;7;7;1
312.56;8;30;0
316.44;3;24;2
322.05;7;7;1
322.96;8;30;0
326.62;3;24;2
332.23;7;7;1
333.14;8;30;0
336.98;3;24;2
342.44;7;7;1
343.56;8;30;0
347.07;3;24;2
352.86;7;7;1
353.98;6;15;0
357.49;9;34;2
363.28;7;7;1
364.02;6;15;0
367.49;9;34;2
373.73;7;7;1
374.44;4;33;0
377.45;9;34;2
383.77;7;7;1
384.86;4;33;0
387.53;9;34;2
394.19;7;7;1
395.03;4;33;0
397.65;9;34;2
404.61;7;7;1
404.93;5;53;0
407.97;1;57;2
414.92;7;7;1
415.08;5;53;0
418.03;1;57;2
425.05;7;7;1
425.47;5;53;0
428.03;1;57;2
435.47;5;53;0
435.47;7;7;1
438.08;1;57;2
445.51;5;53;0
445.51;7;7;1
448.05;1;57;2
455.89;5;53;0
455.94;7;7;1
458.01;1;57;2
465.96;5;53;0
466.08;7;7;1
468.18;1;57;2
476.08;5;53;0
476.5;7;7;1
478.18;1;57;2
486.5;5;53;0
486.92;7;7;1
488.18;3;3;2
496.92;5;53;0
497.34;0;11;1
498.22;3;3;2
507.21;5;53;0
507.21;0;11;1
508.27;3;3;2
517.37;0;11;1
517.41;5;53;0
518.64;3;3;2
527.41;0;11;1
527.83;8;18;0
529.06;3;3;2
537.36;0;11;1
538.15;8;18;0
539.18;3;3;2
547.58;0;11;1
548.26;6;6;0
549.62;9;19;2
557.59;0;11;1
558.37;6;6;0
559.66;9;19;2
567.52;0;11;1
568.47;6;6;0
569.51;9;19;2
577.74;0;11;1
578.75;6;6;0
579.72;9;19;2
588.16;0;11;1
588.79;6;6;0
589.91;9;19;2
598.58;0;11;1
599.21;6;6;0
600.33;1;32;2
609;6;6;0
609;0;11;1
610.73;1;32;2
619.13;6;6;0
619.27;0;11;1
621.08;3;53;2
628.91;6;6;0
629.69;0;11;1
631.5;3;53;2
639.27;4;5;0
640.11;0;11;1
641.89;3;53;2
649.31;4;5;0
650.52;0;11;1
651.75;3;53;2
659.48;4;5;0
660.71;0;11;1
661.71;3;53;2
669.59;4;5;0
671.14;0;11;1
671.73;3;53;2
679.43;4;5;0
681.26;0;11;1
681.68;9;35;2
689.54;4;5;0
691.68;0;11;1
691.94;9;35;2
699.55;4;5;0
701.94;2;4;1
702.33;9;35;2
709.77;4;5;0
712.29;2;4;1
712.38;9;35;2
720.23;4;5;0
722.38;2;4;1
722.8;1;20;2
730.65;4;5;0
732.44;2;4;1
732.84;1;20;2
741.07;4;5;0
742.61;2;4;1
743.1;1;20;2
751.48;4;5;0
752.8;2;4;1
753.52;1;20;2
761.9;5;54;0
762.67;2;4;1
763.96;1;20;2
772;5;54;0
772.91;2;4;1
774.05;1;20;2
781.91;5;54;0
783.33;2;4;1
784.17;1;20;2
792.05;5;54;0
793.75;2;4;1
794.17;3;12;2
802.29;5;54;0
804.17;2;4;1
804.47;3;12;2
812.52;5;54;0
814.04;2;4;1
814.34;3;12;2
822.94;5;54;0
824.3;7;21;1
824.5;9;6;2
833.03;5;54;0
834.34;7;21;1
834.55;9;6;2
843.07;5;54;0
844.55;0;17;1
844.78;9;6;2
853.17;5;54;0
854.75;0;17;1
854.75;1;36;2
863.59;8;0;0
864.85;0;17;1
864.85;1;36;2
873.77;8;0;0
874.85;0;17;1
875.26;1;36;2
883.68;8;0;0
885.26;0;17;1
885.68;1;36;2
893.81;8;0;0
895.54;0;17;1
895.8;3;27;2
903.86;8;0;0
905.37;0;17;1
905.93;3;27;2
914.25;8;0;0
915.7;0;17;1
916.29;9;16;2
924.49;8;0;0
926.11;0;17;1
926.35;9;16;2
934.3;8;0;0
936.12;0;17;1
936.77;9;16;2
944.68;8;0;0
946.16;0;17;1
946.58;9;16;2
954.91;8;0;0
956.58;0;17;1
956.58;9;16;2
965.35;8;0;0
966.85;0;17;1
966.85;9;16;2
975.77;8;0;0
977.27;0;17;1
977.27;9;16;2
986.19;8;0;0
987.69;0;17;1
987.69;9;16;2
996.65;8;0;0
997.74;1;3;2
998.11;0;17;1
1006.69;8;0;0
1008.11;1;3;2
1008.46;0;17;1
1017.11;8;0;0
1018.37;1;3;2
1018.5;0;17;1
1027.53;8;0;0
1028.46;1;3;2
1028.92;0;17;1
1037.58;8;0;0
1038.88;1;3;2
1039.3;0;17;1
1048;8;0;0
1048.88;1;3;2
1049.3;2;58;1
1058.42;8;0;0
1059.26;1;3;2
1059.35;2;58;1
1068.84;6;56;0
1068.97;1;3;2
1069.77;2;58;1
1078.88;6;56;0
1078.88;3;5;2
1079.52;2;58;1
1089.16;4;35;0
1089.3;3;5;2
1089.81;2;58;1
1099.3;4;35;0
1099.35;3;5;2
1099.77;2;58;1
1109.14;4;35;0
1109.35;9;33;2
1109.77;2;58;1
1119.26;5;52;0
1119.77;2;58;1
1129.35;5;52;0
1129.86;2;58;1
1135.5;1;45;2
1139.65;5;52;0
1140.28;2;58;1
1145.56;1;45;2
1149.77;5;52;0
1150.63;2;58;1
1155.63;1;45;2
1160;5;52;0
1160.71;2;58;1
1165.67;1;45;2
1170.06;5;52;0
1171.13;2;58;1
1175.69;1;45;2
1180.23;5;52;0
1181.55;2;58;1
1186.09;1;45;2
1190.65;5;52;0
1191.72;2;58;1
1196.51;1;45;2
1201.07;8;44;0
1202.14;2;58;1
1206.93;1;45;2
1211.22;8;44;0
1212.56;2;58;1
1217.35;1;45;2
1221.4;8;44;0
1222.98;2;58;1
1227.77;1;45;2
1231.23;8;44;0
1233.4;2;58;1
1238.21;1;45;2
1241.35;8;44;0
1243.82;7;40;1
1248.32;1;45;2
1251.36;8;44;0
1253.95;7;40;1
1258.49;1;45;2
1261.44;8;44;0
1263.99;7;40;1
1268.41;1;45;2
1271.48;6;38;0
1274.08;7;40;1
1278.75;1;45;2
1281.79;6;38;0
1284.45;7;40;1
1288.8;1;45;2
1291.84;6;38;0
1294.39;7;40;1
1298.8;3;41;2
1301.84;6;38;0
1304.47;7;40;1
1308.84;3;41;2
1311.66;6;38;0
1314.3;7;40;1
1319.28;3;41;2
1321.88;6;38;0
1324.44;7;40;1
1329.51;3;41;2
1332.04;6;38;0
1334.51;7;40;1
1339.55;3;41;2
1342.1;6;38;0
1344.55;7;40;1
1349.29;3;41;2
1352.52;6;38;0
1354.6;7;40;1
1359.6;3;41;2
1362.6;6;38;0
1364.66;7;40;1
1369.64;9;59;2
1372.64;6;38;0
1375.08;7;40;1
1379.73;9;59;2
1382.73;6;38;0
1385.51;7;40;1
1389.66;9;59;2
1393;6;38;0
1395.78;7;40;1
1399.75;9;59;2
1403.04;6;38;0
1405.67;0;22;1
1409.91;9;59;2
1413.46;6;38;0
1415.82;0;22;1
1419.92;1;57;2
1423.65;6;38;0
1425.99;0;22;1
1430;1;57;2
1433.99;6;38;0
1436.03;0;22;1
1440.23;3;29;2
1444.03;6;38;0
1446.08;0;22;1
1450.42;3;29;2
1454.2;6;38;0
1456.5;2;13;1
1460.61;3;29;2
1464.3;6;38;0
1466.61;2;13;1
1470.65;3;29;2
1474;4;54;0
1476.66;2;13;1
1480.7;3;29;2
1484.38;4;54;0
1486.8;2;13;1
1491.05;3;29;2
1494.8;4;54;0
1496.93;2;13;1
1501.47;3;29;2
1505.22;4;54;0
1507.08;2;13;1
1511.53;9;23;2
1515.64;4;54;0
1517.13;2;13;1
1521.61;9;23;2
1525.77;4;54;0
1527.5;2;13;1
1531.89;9;23;2
1536.19;4;54;0
1537.6;2;13;1
1542.07;9;23;2
1546.61;4;54;0
1547.93;2;13;1
1552.31;9;23;2
1556.97;4;54;0
1558.35;2;13;1
1562.74;1;19;2
1567.23;4;54;0
1568.77;2;13;1
1573.16;1;19;2
1577.4;5;46;0
1579.19;2;13;1
1583.53;3;26;2
1587.82;5;46;0
1589.58;7;25;1
1593.58;3;26;2
1597.85;5;46;0
