#TimeStamp;TripTime;Type
18;5;O
43;21;O
51;29;O
51;30;O
56;26;O
63;23;O
66;18;O
69;30;O
89;22;O
90;19;O
170;15;O
210;26;O
290;21;O
378;18;O
438;14;O
471;6;O
508;18;O
530;17;O
544;14;O
579;16;O
587;16;O
645;20;O
696;14;O
710;25;O
731;18;O
816;22;O
820;20;O
897;19;O
968;23;O
971;6;O
981;27;O
1005;21;O
1087;21;O
1134;14;O
1190;17;O
1253;14;O
1300;21;O
1367;24;O
1388;21;O
1408;25;O
1443;22;O
1485;18;O
1523;13;O
1551;17;O
1570;19;O
1624;22;O
1639;23;O
1651;16;O
1667;5;O
1757;22;O
1790;18;O
1793;12;O
1793;32;O
