#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
46.17;2;46.17;46.17;-9647.41
46.21;0;46.21;46.21;-8853.63
53.23;1;53.23;53.23;-9579.07
55.95;2;55.95;55.95;-9698.56
56.25;0;56.25;56.25;-9287.55
63.26;1;63.26;17.05;-10408.85
66.15;2;66.15;19.94;-11089.62
66.3;0;66.3;20.09;-11645.78
73.37;1;73.37;20.1;-10432.12
76.29;2;76.29;76.29;-9639.79
76.38;0;30.17;30.13;-12734.45
83.25;1;83.25;19.88;-10450.71
93.76;1;93.76;20.25;-10485.61
96.45;2;96.45;96.45;-9714.82
104.28;1;104.28;20.71;-10844.11
124.44;1;124.44;124.44;-9538.54
126.37;0;126.37;126.37;-9263.47
136.95;0;136.95;136.95;-8956.91
144.45;1;144.45;40.05;-10620.44
146.41;2;146.41;80.11;-10129.57
155.01;1;155.01;50.6;-10539.58
156.83;2;156.83;90.53;-9959.65
157.03;0;157.03;157.03;-9144.44
165.43;1;165.43;40.94;-10714.71
167.25;2;167.25;90.87;-10386.18
175.85;1;175.85;31.12;-10892.16
177.67;2;177.67;81.17;-10493.61
186.27;1;186.27;31.12;-11118.31
187.67;0;187.67;93.68;-9837.27
187.87;2;187.87;41.26;-10901.09
196.69;1;92.28;31.12;-11455.44
198.09;0;198.09;71.48;-10656.65
198.29;2;198.29;41.26;-11228.86
207.11;1;207.11;31.12;-11829.45
208.51;0;208.51;71.48;-10714.02
208.71;2;208.71;41.26;-11756.08
217.53;1;217.53;31.12;-11826.31
227.95;1;70.5;31.12;-12038.05
228.93;0;228.93;71.48;-10820.73
238.37;1;39.66;31.12;-10291.81
239.35;0;239.35;51.48;-10882.83
248.52;1;248.52;30.85;-12084.1
249.55;0;249.55;51.26;-11390.28
259.05;1;259.05;30.96;-12163.28
259.35;2;259.35;259.35;-9545.73
260;0;84.01;51.29;-11667.59
269.13;1;269.13;30.63;-12353.41
270.49;0;270.49;41.36;-11775.55
279.59;2;122.56;30.66;-11010.82
289.63;2;289.63;233.38;-9653.72
299.56;1;299.56;299.56;-9368.71
300;2;300;300;-9530.52
300.67;0;300.67;300.67;-9038.66
309.32;1;309.32;19.65;-10145.51
319.74;1;319.74;20.11;-10424.07
320.04;2;263.79;40.41;-9354.28
329.89;1;329.89;20.21;-11308.09
330.09;2;283.88;50.46;-9107.5
330.6;0;330.6;40.92;-10060.93
340.04;1;340.04;340.04;-9139.38
340.51;2;173.06;50.83;-9713.79
341.06;0;341.06;341.06;-8678.15
350.51;2;350.51;50.46;-10015.75
351.44;0;351.44;351.44;-8867.17
360.64;2;360.64;40.55;-10100.03
361.95;0;361.95;295.57;-11352.01
370.37;1;111.02;100.82;-10726.77
370.93;2;153.26;40.8;-10619.17
380.53;1;380.53;50.53;-10320.4
381.35;2;41.26;40.8;-10472.52
382.32;0;305.94;305.88;-11592.36
390.93;1;390.93;60.93;-10099.08
391.77;2;391.77;41.17;-11169.39
392.74;0;392.74;132.43;-11653.29
401.68;1;401.68;61.59;-10679.48
402.19;2;402.19;41.17;-11274.79
412.09;1;412.09;41.58;-11661.18
413.25;0;413.25;83.25;-9992.82
422.61;2;422.61;422.61;-9403.59
423.31;0;423.31;92.36;-10007.14
432.61;2;432.61;233.9;-10300.15
433.81;0;433.81;92.63;-10071.37
443.69;0;298.96;92.09;-10295.46
454.11;0;454.11;92.09;-10754.77
462.5;1;50.31;49.89;-8302.85
464.71;0;464.71;82.27;-10841.36
472.77;1;244.69;213.43;-11888.28
473.24;2;473.24;61.05;-9657.29
475.14;0;338.11;82.28;-11377.25
483.19;1;483.19;81.42;-9714.03
483.66;2;357.05;60.92;-10029.58
485.01;0;72.83;71.72;-10105.33
493.59;1;493.59;30.98;-9834.68
493.66;2;163.66;60.81;-10202.07
495.28;0;234.97;71.87;-11554.47
503.54;1;183.45;30.73;-10110.71
503.88;2;307.05;30.6;-10710.95
513.54;1;242.81;30.31;-11054.62
514.35;2;514.35;30.65;-10838.69
523.96;1;131.11;30.31;-11499.22
524.77;2;524.77;30.89;-11104.01
534.68;1;39.03;30.8;-11033.54
535.19;2;41.31;31.26;-10686.37
544.85;1;40.97;30.91;-10067.38
545.19;2;545.19;30.8;-11128.62
555.22;1;203.63;30.87;-11719.37
555.59;2;164.24;30.77;-11123.93
555.7;0;555.7;555.7;-8691.31
565.59;2;565.59;30.35;-11496.72
565.98;0;565.98;316.01;-10295.76
576.01;2;40.77;30.72;-11035.12
576.4;0;471.99;305.67;-10367.88
585.17;1;19.19;18.77;-8053.79
586.53;2;586.53;30.83;-11635.09
595.72;1;595.72;595.72;-8808.36
597;2;597;31.02;-11819.21
605.77;1;274.82;214.42;-8178.02
606.91;0;606.91;111.26;-9236.61
607.24;2;317.56;30.84;-11925.82
616.25;1;429.84;20.39;-10626.56
617.26;0;617.26;82.48;-9455.84
626.64;1;182.74;30.78;-10516.93
627.68;0;627.68;71.7;-9728.42
627.68;2;627.68;418.55;-10506.92
637.01;1;41.14;31.1;-10334.09
638.05;0;638.05;71.65;-9744.08
638.05;2;348.38;256.57;-10506.2
647.32;1;153.66;30.99;-11858.9
648.32;0;460.45;71.5;-10416.78
648.32;2;318.19;256.42;-9366.41
658.94;0;379.31;51.7;-11168.04
658.94;2;658.94;256.62;-9569.99
667.29;1;667.29;112.01;-9460.42
679.25;2;255.83;82.01;-9790.43
688.9;0;688.9;688.9;-8404.95
699.4;0;276.66;245.08;-10660.23
699.4;2;358.85;83.08;-8690.98
707.98;1;234.7;60.4;-9053.8
709.71;0;143.31;71.57;-11265.04
709.71;2;307.94;81.99;-10079.81
718.4;1;672.19;70.82;-8773.21
720.11;0;720.11;71.55;-9271.25
720.11;2;378.93;81.97;-10257.55
728.82;1;573.68;61.17;-9161.88
730.55;0;81.99;71.56;-10680.62
730.55;2;338.65;81.99;-10765.46
739.24;1;739.24;31.22;-9264.6
740.84;0;410.84;61.55;-9273.13
749.66;1;102.08;31.22;-9275.08
751.26;0;751.26;61.97;-10444.27
760;1;760;31.13;-9265.8
761.68;0;761.68;62.03;-10989.87
770.5;1;770.5;31.22;-9285.86
772.1;0;705.72;62.1;-11115.96
780.95;1;780.95;31.24;-9393.37
782.52;0;782.52;62.1;-11647.18
791.06;1;440.46;30.95;-9394.18
793.26;0;33.15;32.73;-11105.89
801.3;1;801.3;30.76;-9389.89
810.95;2;810.95;810.95;-9008
811.5;1;811.5;30.51;-9617.15
821.06;2;821.06;213.4;-10063.13
822.1;1;276.82;30.84;-9652.18
823.42;0;421.09;379.52;-10508.45
831.57;2;831.57;152.28;-10205.46
832.46;1;832.46;31.11;-9816.7
833.87;0;833.87;358.69;-8644.95
841.41;2;841.41;131.41;-10468.58
842.86;1;842.86;842.86;-8615.92
851.68;2;851.68;131.26;-10883.8
862.13;2;101.6;70.87;-9630.74
863.03;1;195.38;31.4;-10137.09
872.22;2;255.89;60.96;-9783.02
873.62;1;245.9;41.05;-10207.29
882.94;2;91.68;61.53;-11856.09
883.87;1;236.28;40.89;-10398.55
893.98;1;214.69;30.57;-11138.74
903.96;0;204.32;92.7;-9660.93
904.59;1;121.65;30.76;-11318.56
913.37;2;913.37;913.37;-8772.87
913.87;0;102.61;90.41;-9400.4
915.14;1;165.43;31.16;-11337.74
923.93;0;172.25;90.01;-10271.52
925.57;1;62.16;31.17;-12507.84
933.86;2;933.86;29.86;-11186.86
934.33;0;30.32;30.2;-10833.19
944.29;2;944.29;213.45;-7826.57
954.34;2;954.34;112.62;-9555.62
955.76;1;955.76;543.57;-8896.62
964.05;2;964.05;112.28;-9680.93
966.19;1;966.19;144.04;-9105.92
976.46;1;976.46;339.29;-8977.5
985.08;0;530.76;520.33;-8187.19
986.86;1;379.2;71.62;-9249.39
997.05;1;203.69;71.39;-9915.07
1004.46;2;367.29;131.85;-9839.72
1005.55;0;1005.55;264.29;-9345.6
1014.52;2;867.92;131.49;-10191.52
1017.39;1;296.97;52.96;-9344.43
1024.67;2;549.49;90.76;-9513.1
1025.46;0;1025.46;273.78;-10818.64
1027.81;1;123.69;61.56;-9381.91
1035.06;2;1035.06;101.16;-9494.07
1035.88;0;1035.88;263.36;-9357.55
1037.95;1;164.12;61.28;-9595.42
1045.8;2;1045.8;101.47;-9551.78
1046.42;0;1046.42;263.48;-9519.15
1048.38;1;923.89;503.18;-8942.85
1055.97;2;458.73;101.59;-9651.03
1059.1;1;697.08;103.01;-9273.86
1066.32;2;1066.32;101.89;-9657.03
1076.81;2;664.2;72.3;-9849.08
1079.43;1;1079.43;1079.43;-8554.6
1086.67;0;807.04;132.28;-9577.81
1087.11;2;448.97;72.49;-10261.95
1096.82;0;1000.32;111.61;-9704.75
1097.45;2;888.74;72.41;-10368.09
1099.78;1;911.49;102.68;-9110.35
1107.24;0;1030.8;101.57;-10084.56
1108.17;2;1014.18;72.7;-11205.47
1117.16;0;1050.86;91.45;-10554.58
1128.21;2;1128.21;428.56;-9944.08
1137.73;0;612.91;101.6;-10575.18
1148.17;0;1148.17;101.61;-11650.32
1158.57;0;1158.57;365.21;-9562.36
1159.83;1;695.08;72.02;-9137.68
1168.82;0;1168.82;683.6;-8480.78
1170.12;1;553.79;70.28;-9334.43
1178.99;0;1178.99;254.68;-9670.51
1180.54;1;113.82;20.54;-9509.92
1190.91;1;53.14;20.49;-9713.13
1198.82;2;643.54;101.01;-11097.36
1201.38;1;267.47;20.54;-10269.69
1209.24;2;694.85;101.84;-10317.1
1211.92;1;420.66;20.66;-10648.94
1219.66;2;509.66;111.44;-10506.08
1222.1;1;23.11;20.42;-9395.89
1229.96;2;194.5;101.39;-10715.02
1232.54;1;30.86;20.44;-10209.25
1239.42;0;766.6;611.7;-9566.35
1240.04;2;91.83;41.05;-10349.14
1242.64;1;214.69;20.12;-11085.82
1249.9;0;1020.77;315.17;-10055.39
1252.99;1;411.26;20.17;-11391.18
1260.42;2;1260.42;398.22;-9525.94
1262.72;1;29.9;19.85;-9576
