#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
53.47;1;53.47;53.47;-9358.8
66.29;2;66.29;66.29;-9744.99
67.6;0;67.6;67.6;-9271.72
74.44;2;74.44;74.44;-9756.07
81.71;0;81.71;81.71;-9012.16
83.1;1;83.1;83.1;-9549.2
87.05;2;87.05;12.31;-10729.61
91.05;2;91.05;16.3;-10632.3
91.81;1;91.81;10.06;-9912.03
93.98;0;93.98;93.98;-9295.86
95.89;1;95.89;12.39;-10334.56
97.94;0;97.94;30.28;-9975.15
100;1;100;8.08;-10900.19
102.13;0;102.13;20.38;-12314.07
103.97;1;103.97;7.85;-11602.03
106.14;0;106.14;24.39;-10024.38
111.62;1;111.62;57.9;-9670.11
123.46;1;17.21;11.79;-10213.82
127.7;1;127.7;16.03;-9199.45
131.5;1;19.82;7.76;-10910.06
135.74;1;52.24;7.95;-13124.93
137.43;0;137.43;137.43;-9206.38
153.67;0;55.5;17.8;-10083.96
154.42;2;154.42;154.42;-9671.78
157.75;0;29.97;20.06;-10460.26
166.59;2;166.59;12.67;-9676.93
171.21;2;171.21;16.75;-9833.82
175.59;2;39.71;8.71;-10106.53
176.14;1;176.14;176.14;-9492.13
179.6;0;179.6;73.34;-9910.94
180.04;2;180.04;8.74;-11145.41
183.97;0;87.85;26.01;-8640.97
187.95;2;187.95;96.64;-10544.82
188.06;0;188.06;16.76;-9868.3
192.48;0;192.48;12.84;-10134.6
196.02;2;196.02;12;-10542.41
196.65;0;114.9;12.63;-10462.78
200.2;2;200.2;12.18;-11476.78
201.15;0;126.41;12.72;-10666.55
205.67;0;205.67;12.81;-11545.88
209.79;1;209.79;73.91;-10300.18
217.9;1;217.9;16.55;-10456.12
222.41;1;222.41;12.43;-11082.17
226.45;1;226.45;8.39;-11337.47
241.82;0;241.82;241.82;-8684.64
246.26;0;246.26;246.26;-9000.75
250.48;0;250.48;49.13;-10315.09
255.09;0;255.09;13.23;-11818.18
261.04;2;261.04;261.04;-9425.2
261.92;1;261.92;261.92;-9142.15
266.17;1;266.17;89.66;-9861.54
278.9;1;278.9;17.81;-11503.24
285.52;0;285.52;183.31;-9736.69
287.19;2;287.19;220.66;-10499.17
295.64;2;295.64;9.84;-10032.63
298.1;0;298.1;42.96;-10552.98
300.04;2;300.04;12.57;-10154.79
303.9;2;303.9;8.09;-10550.85
304.35;1;304.35;304.35;-9114.17
308.28;2;106.93;8.17;-11015.12
312.45;2;312.45;8.14;-11733.59
312.73;0;312.73;66.43;-10362.47
320.47;1;34.67;20.36;-9061.8
324.87;1;324.87;20.19;-9700.93
328.95;1;50;8.22;-9831.86
333.5;1;333.5;8.45;-9839.75
337.43;1;337.43;8.25;-9836.88
341.78;1;341.78;8.23;-10188.81
343.77;2;343.77;82.68;-9963.86
345.87;1;32.97;8.28;-10238.11
349.76;1;349.76;7.75;-10246.26
354.13;1;354.13;8.04;-10290.79
358.18;1;358.18;8.04;-10342.76
360.1;2;360.1;47.38;-10404.79
362.61;1;224.92;8.43;-10388.13
364.5;2;364.5;22.49;-9826.7
366.89;1;285.14;8.29;-10990
368.69;2;368.69;24.6;-10073.92
371.35;1;371.35;8.59;-11039.74
373.28;2;373.28;13.13;-10275.88
375.31;1;114.23;8.38;-11371.92
377.61;2;377.61;13.04;-10502.53
379.4;1;29.27;8.01;-11538.12
381.6;2;381.6;12.68;-10867.57
383.48;1;203.39;7.8;-11584.78
385.68;2;385.68;12.34;-11946.93
388.95;0;388.95;90.8;-10329.74
390.61;1;390.61;390.61;-9272.37
393.28;0;205.27;107.49;-10120.99
396.95;2;396.95;396.95;-9441.28
397.79;0;171.22;12.03;-9457.7
400.99;2;400.99;15.22;-10754.79
401.7;0;401.7;12.43;-10004.38
405.12;2;405.12;11.6;-11631.44
406.41;0;64.4;12.88;-11832.55
409.2;2;409.2;11.91;-12213.35
410.46;0;16.94;12.52;-10502.75
414.52;0;68.44;12.53;-12033.96
419.08;0;9.66;9.62;-9669.13
446.88;0;446.88;348.71;-9496.47
454.31;2;454.31;274.23;-10171.52
458.54;2;346.86;49.12;-9153.4
463.15;2;463.15;8.79;-9578.56
467.12;2;467.12;12.76;-9557.82
471.71;2;471.71;12.93;-10834.36
476.07;2;401.32;12.87;-11071.99
484.04;1;484.04;257.46;-10787.7
488.18;1;488.18;97.32;-10264.72
492.63;1;492.63;8.43;-9834.19
492.68;2;492.68;110.95;-9833.39
496.54;1;496.54;12.33;-11402.11
496.89;2;496.89;25.14;-10145.1
508.61;0;110.67;93.68;-10021.29
512.94;0;212.83;93.82;-10371.27
517.31;0;221.5;8.34;-9260.66
521.53;0;260.44;12.56;-8722.46
526.03;0;159.1;13.02;-9515.33
530.15;0;21.18;12.72;-10015.45
534.54;0;534.54;12.86;-10018.89
538.78;0;17.1;12.68;-10061.74
543.34;0;543.34;12.82;-10598.64
547.51;0;243.2;12.92;-10625.76
547.51;1;547.51;547.51;-9086.52
551.92;0;93.14;12.91;-10885.27
