#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.74;0;0;1;3;0/59.74;0/42.24,1/55.98,2/59.74;0/59.74;0/59.74,1/59.74,2/59.74;0/0;0/13,1/14,2/9;0/0;0/15,1/17,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/5,1/1,2/0
119.61;0;3;1;3;0/119.61;0/66.61,1/87.04,2/67.87;0/119.61;0/119.61,1/119.61,2/119.61;0/0;0/15,1/11,2/13;0/0;0/20,1/16,2/18;0/0;0/2,1/2,2/2;0/0;0/1,1/2,2/0;0/0;0/14,1/9,2/14
179.98;0;7;1;3;0/179.98;0/91.69,1/111.96,2/103.87;0/179.98;0/179.98,1/179.98,2/179.98;0/0;0/13,1/11,2/8;0/0;0/17,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/1;0/0;0/24,1/18,2/20
239.64;0;11;1;3;0/239.64;0/107.9,1/119.1,2/133.49;0/239.64;0/239.64,1/239.64,2/239.64;0/0;0/12,1/13,2/9;0/0;0/16,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/3;0/0;0/35,1/32,2/28
299.99;0;14;1;3;0/299.99;0/131.91,1/135.79,2/140.92;0/299.99;0/299.99,1/299.99,2/299.99;0/0;0/11,1/12,2/10;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/4;0/0;0/44,1/43,2/42
359.65;0;16;1;3;0/359.65;0/141.57,1/171.88,2/176.58;0/359.65;0/359.65,1/359.65,2/359.65;0/0;0/10,1/10,2/8;0/0;0/13,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/4;0/0;0/58,1/49,2/48
419.58;0;20;1;3;0/419.58;0/159.49,1/204.9,2/184.21;0/419.58;0/419.58,1/419.58,2/419.58;0/0;0/12,1/12,2/9;0/0;0/15,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/6;0/0;0/68,1/57,2/62
479.88;0;24;1;3;0/479.88;0/202.65,1/227.68,2/205.4;0/479.88;0/479.88,1/479.88,2/479.88;0/0;0/11,1/10,2/9;0/0;0/14,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/7;0/0;0/73,1/66,2/72
539.98;0;27;1;3;0/539.98;0/227.19,1/230.8,2/211.95;0/539.98;0/539.98,1/539.98,2/539.98;0/0;0/12,1/9,2/11;0/0;0/14,1/11,2/14;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/8;0/0;0/82,1/81,2/86
599.89;0;29;1;3;0/599.89;0/279.36,1/270.3,2/270.52;0/599.89;0/599.89,1/599.89,2/599.89;0/0;0/12,1/11,2/7;0/0;0/14,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/11,1/10,2/8;0/0;0/84,1/86,2/86
