#TimeStamp;Bot;Pod;OutputStation
50;4;34;0
51.8;3;46;2
55.88;3;46;2
59.04;2;56;0
59.95;3;46;2
63.4;2;56;0
64.03;3;46;2
67.52;2;56;0
68.45;0;47;1
68.45;3;46;2
71.48;2;56;0
72.81;0;47;1
72.81;3;46;2
75.55;2;56;0
77.06;0;47;1
77.18;3;46;2
79.52;2;56;0
81.18;0;47;1
81.59;3;46;2
83.59;2;56;0
85.47;0;47;1
85.64;3;46;2
89.66;0;47;1
89.7;3;46;2
93.7;0;47;1
93.74;3;46;2
97.74;0;47;1
97.98;3;46;2
101.98;0;47;1
105.12;1;7;2
106.05;0;47;1
109.17;1;7;2
113.21;1;7;2
113.68;5;27;1
117.26;1;7;2
117.72;5;27;1
118.23;4;15;0
121.3;1;7;2
121.77;5;27;1
122.35;4;15;0
125.35;1;7;2
125.44;5;27;1
126.48;4;15;0
129.81;5;27;1
130.69;4;15;0
133.86;5;27;1
134.74;4;15;0
137.9;5;27;1
138.79;4;15;0
141.87;5;27;1
143.03;4;15;0
147.2;4;15;0
151.62;4;15;0
155.79;4;15;0
159.94;4;15;0
161.84;0;59;1
164.02;4;15;0
165.93;0;59;1
168.3;4;15;0
170.28;0;59;1
171.39;3;13;2
172.72;4;15;0
174.45;0;59;1
175.47;3;13;2
178.81;0;59;1
179.65;2;31;0
179.65;3;13;2
183.69;3;13;2
183.89;2;31;0
187.89;2;31;0
191.96;2;31;0
195.99;2;31;0
196.59;1;42;2
200.84;1;42;2
205.22;1;42;2
205.84;5;9;1
209.18;1;42;2
209.89;5;9;1
213.26;1;42;2
214;5;9;1
217.63;1;42;2
218.42;5;9;1
221.8;1;42;2
222.47;5;9;1
226.88;5;9;1
231.3;5;9;1
242.65;4;36;0
244.81;0;17;1
246.52;4;36;0
248.85;0;17;1
250.42;4;36;0
253.23;0;17;1
253.99;3;52;2
254.66;4;36;0
257.24;0;17;1
257.94;3;52;2
258.77;4;36;0
262.06;3;52;2
266.24;2;27;0
266.29;3;52;2
270.29;2;27;0
270.33;3;52;2
274.01;2;27;0
274.41;3;52;2
289.05;5;51;1
293.31;5;51;1
297.68;5;51;1
300;1;35;2
301.4;5;51;1
304.26;1;35;2
305.73;5;51;1
308.3;1;35;2
309.94;5;51;1
312.4;1;35;2
316.19;1;35;2
320.51;1;35;2
324.28;4;47;0
324.79;1;35;2
328.32;4;47;0
328.83;1;35;2
332.2;4;47;0
332.9;1;35;2
336.48;4;47;0
340.92;4;47;0
340.92;0;42;1
345;0;42;1
345.08;4;47;0
349.08;0;42;1
349.08;3;17;2
349.5;4;47;0
353.16;3;17;2
356.52;2;10;0
357.42;3;17;2
360.88;2;10;0
361.77;3;17;2
364.7;2;10;0
365.59;3;17;2
368.92;2;10;0
372.63;2;10;0
374.06;5;45;1
376.8;2;10;0
378.13;5;45;1
380.93;2;10;0
382.09;5;45;1
384.97;2;10;0
386.37;5;45;1
389.02;2;10;0
390.44;5;45;1
393.09;2;10;0
394.51;5;45;1
400.31;1;27;2
404.38;1;27;2
408.61;1;27;2
412.73;1;27;2
420.66;0;36;1
424.7;0;36;1
425.8;3;7;2
427.17;4;41;0
428.81;0;36;1
430.17;3;7;2
431.45;4;41;0
434.42;3;7;2
435.75;4;41;0
439.99;4;41;0
444.03;4;41;0
448.45;4;41;0
452.55;4;41;0
456.52;4;41;0
464.21;2;45;0
464.84;5;28;1
467.62;1;35;2
468.62;2;45;0
468.95;5;28;1
471.91;1;35;2
472.38;2;45;0
473.24;5;28;1
