#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.29
59.91;200;200;0;50.76;0;59.91;0;0.32
119.98;200;200;0;85.93;0;110.17;0;0.28
179.91;200;200;0;120.36;0;152.47;0;0.32
239.99;200;200;0;165.82;0;200.37;0;0.33
299.85;200;200;0;190.87;0;264.22;0;0.26
359.65;200;200;0;215.12;0;287.47;0;0.33
419.84;200;200;0;248.93;0;337.31;0;0.3
479.98;200;200;0;279.67;0;403.5;0;0.24
539.86;200;200;0;287.12;0;471.45;0;0.24
599.77;200;200;0;285.59;0;507.98;0;0.26
659.66;200;200;0;294.41;0;541.37;0;0.29
719.72;200;200;0;313;0;547.2;0;0.33
779.95;200;200;0;352.02;0;675.56;0;0.3
839.79;200;200;0;377.87;0;756.05;0;0.26
899.93;200;200;0;346.43;0;738.96;0;0.31
959.77;200;200;0;382.1;0;710.9;0;0.44
1019.98;200;200;0;369.36;0;764.33;0;0.37
1079.96;200;200;0;403.91;0;899.12;0;0.34
1139.75;200;200;0;440.68;0;945.3;0;0.37
1199.89;200;200;0;468.27;0;1022.28;0;0.36
1259.73;200;180;0;482.19;0;1008.11;0;0.35
1319.86;200;165;0;506.38;0;1090.21;0;0.3
1379.76;200;154;0;537.58;0;1185.14;0;0.27
1439.94;200;146;0;520.86;0;1342.37;0;0.25
1499.59;200;126;0;522.84;0;1376.38;0;0.22
1559.98;200;126;0;581.46;0;1439.74;0;0.22
1619.94;200;112;0;565.82;0;1489.11;0;0.27
1679.97;200;105;0;586.25;0;1557.51;0;0.28
1739.82;200;95;0;533.93;0;1557.62;0;0.32
1799.98;200;88;0;578.63;0;1641.21;0;0.28
