#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.45
59.72;200;200;0;51.95;0;59.72;0;0.45
119.97;200;200;0;87.8;0;115.51;0;0.49
179.61;200;200;0;99.13;0;154.34;0;0.5
239.63;200;200;0;102.02;0;227.36;0;0.48
299.98;200;200;0;108.69;0;199.61;0;0.45
359.94;200;200;0;115.52;0;271.3;0;0.54
419.81;200;200;0;144.97;0;330.91;0;0.48
479.97;200;200;0;154.36;0;367.16;0;0.54
539.89;200;200;0;168.36;0;440.89;0;0.32
599.62;200;200;0;188.58;0;386.15;0;0.48
659.99;200;200;0;208.61;0;424.02;0;0.54
719.88;200;200;0;226.62;0;529.04;0;0.58
779.92;200;200;0;260.46;0;466.97;0;0.55
839.98;200;200;0;246.01;0;565.85;0;0.57
899.82;200;187;0;253.98;0;551.4;0;0.55
959.59;200;166;0;299.1;0;641.94;0;0.52
1019.65;200;154;0;292.56;0;742.45;0;0.51
1079.99;200;132;0;317.54;0;844.48;0;0.52
1139.81;200;114;0;336.93;0;913.37;0;0.42
1199.81;200;99;0;387.04;0;1035.65;0;0.46
1259.9;200;90;0;387.92;0;1160.96;0;0.47
1319.74;200;71;0;386.94;0;1088.95;0;0.42
1379.97;200;55;0;382.82;0;1271.36;0;0.41
1439.96;200;46;0;427.71;0;1236.74;0;0.43
1499.75;200;42;0;472.08;0;1402.52;0;0.42
1559.8;200;31;0;446.93;0;1422.97;0;0.51
1619.77;200;21;0;473.94;0;1392.44;0;0.55
1679.96;200;13;0;488.11;0;1498.84;0;0.57
1739.93;200;8;0;484.09;0;1528.78;0;0.64
1799.86;200;1;0;468.84;0;1507.41;0;0.67
