#TimeStamp;Bot;Pod;OutputStation
36.74;1;23;2
38.44;2;51;0
44.71;0;20;1
46.38;1;23;2
48.49;2;51;0
54.42;0;20;1
56.79;1;23;2
58.95;2;51;0
64.76;0;20;1
66.9;1;23;2
69.37;2;51;0
75;0;20;1
77.21;1;23;2
79.52;6;24;0
85.45;0;20;1
87.63;4;59;2
89.74;6;24;0
95.49;0;20;1
97.67;4;59;2
100.04;6;24;0
105.54;0;20;1
108.05;4;59;2
110.25;6;24;0
115.58;0;20;1
118.34;4;59;2
120.67;6;24;0
125.67;0;20;1
128.47;4;59;2
131.09;6;24;0
135.77;0;20;1
138.76;5;42;2
141.38;6;24;0
146.2;0;20;1
149.07;5;42;2
151.6;7;5;0
156.62;0;20;1
159.2;5;42;2
162.02;7;5;0
167.02;3;55;1
169.62;5;42;2
172.44;7;5;0
177.04;3;55;1
180.09;5;42;2
182.48;9;6;0
187.38;3;55;1
190.28;5;42;2
192.9;9;6;0
197.44;3;55;1
200.32;5;42;2
202.95;9;6;0
207.86;3;55;1
210.74;5;42;2
213.32;9;6;0
218.28;3;55;1
220.88;5;42;2
223.09;9;6;0
228.37;3;55;1
231.07;1;57;2
233.39;2;4;0
238.63;3;55;1
241.11;1;57;2
243.45;2;4;0
248.68;3;55;1
251.13;1;57;2
253.58;2;4;0
259.1;3;55;1
261.25;1;57;2
263.4;2;4;0
269.52;3;55;1
271.29;1;57;2
273.28;2;4;0
279.82;3;55;1
281.54;1;57;2
283.63;6;19;0
290;8;13;1
291.96;1;57;2
294.05;6;19;0
300.13;8;13;1
302.21;1;57;2
303.97;6;19;0
310.55;8;13;1
312.38;4;12;2
314.1;6;19;0
320.28;8;13;1
322.64;4;12;2
324.06;6;19;0
330.51;8;13;1
333.06;4;12;2
333.85;6;19;0
340.6;8;13;1
343.27;4;12;2
344.14;6;19;0
351.02;8;13;1
353.15;5;3;2
354.56;6;19;0
361.44;8;13;1
363.48;5;3;2
364.73;6;19;0
371.69;8;13;1
373.89;5;3;2
375.15;6;19;0
382.11;8;13;1
384.31;1;48;2
385.5;6;19;0
392.45;8;13;1
394.58;1;48;2
395.57;6;19;0
402.87;8;13;1
405;1;48;2
405.61;6;19;0
413.11;0;24;1
415.42;1;48;2
416.03;7;30;0
423.33;0;24;1
425.2;1;48;2
426.02;7;30;0
433.23;0;24;1
435.46;1;48;2
436.08;7;30;0
443.38;3;9;1
445.88;1;48;2
446.3;7;30;0
453.43;3;9;1
456.3;7;30;0
456.3;1;48;2
463.1;3;9;1
466.38;7;30;0
466.38;1;48;2
473.42;3;9;1
476.42;9;43;0
476.42;1;48;2
483.48;3;9;1
486.48;9;43;0
486.48;1;48;2
493.62;3;9;1
496.84;1;48;2
496.9;9;43;0
503.9;8;40;1
506.83;1;48;2
506.9;9;43;0
513.94;8;40;1
516.87;1;48;2
516.96;9;43;0
524.13;8;40;1
526.54;4;38;2
527.36;9;43;0
534;8;40;1
536.91;4;38;2
537.42;9;43;0
544.13;8;40;1
547.19;4;38;2
547.6;9;43;0
554.36;8;40;1
557.15;4;38;2
558.02;9;43;0
564.78;0;19;1
567.33;4;38;2
568.04;9;43;0
575.04;0;19;1
577.77;2;42;0
577.77;5;28;2
585.35;0;19;1
588.09;2;42;0
588.09;5;28;2
595.69;0;19;1
598.13;6;58;0
598.13;5;28;2
605.47;0;19;1
608.36;5;28;2
608.43;6;58;0
615.58;3;12;1
618.43;5;28;2
618.52;6;58;0
625.75;3;12;1
628.52;6;58;0
628.52;5;28;2
635.79;3;12;1
638.64;6;58;0
638.77;5;28;2
646.21;3;12;1
648.58;6;58;0
648.81;5;28;2
656.25;3;12;1
658.61;6;58;0
659.23;5;28;2
666.6;3;12;1
668.77;6;58;0
669.53;5;28;2
676.68;3;12;1
679.17;6;58;0
679.95;5;28;2
687.02;3;12;1
689.59;6;58;0
