#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;20;200;0;0;0;0;0;0.32
59.73;20;200;0;51.12;0;59.73;0;0.34
119.63;20;200;0;91.48;0;119.63;0;0.3
179.93;20;200;0;134.78;0;179.93;0;0.29
239.96;20;200;0;159.33;0;235.6;0;0.32
299.75;20;200;0;200.47;0;287.13;0;0.3
359.81;20;200;0;225.22;0;350.77;0;0.24
419.94;20;200;0;241.29;0;385.46;0;0.29
479.71;20;200;0;247.21;0;428.68;0;0.32
539.72;20;200;0;259.7;0;440.05;0;0.32
599.67;20;200;0;251.4;0;503.62;0;0.29
659.83;20;200;0;285.96;0;526.14;0;0.29
719.8;20;200;0;307.3;0;578.39;0;0.25
779.66;20;200;0;338.79;0;640.49;0;0.25
839.66;20;200;0;352.93;0;654.32;0;0.28
899.7;200;200;0;362.73;0;722.52;0;0.25
959.99;200;200;0;381.32;0;801.77;0;0.29
1019.84;200;200;0;372.78;0;812.89;0;0.33
1079.93;200;200;0;367.63;0;856.01;0;0.39
1139.83;200;200;0;391.02;0;829.97;0;0.49
1199.97;200;200;0;448.87;0;988.11;0;0.42
1259.98;200;200;0;431.89;0;1106.03;0;0.37
1319.92;200;200;0;432.52;0;1058.01;0;0.4
1379.64;200;200;0;487.62;0;1023.8;0;0.49
1439.76;200;200;0;493.53;0;1001.75;0;0.53
1499.65;200;200;0;493.46;0;991.88;0;0.53
1559.97;200;200;0;524.99;0;1093.86;0;0.56
1619.81;200;200;0;581.05;0;1079.12;0;0.58
1679.79;200;200;0;570.88;0;1129.7;0;0.56
1739.79;200;200;0;610.69;0;1200.92;0;0.52
1799.89;200;200;0;549.08;0;1365.48;0;0.45
