#TimeStamp;Runtime;Requests
0.88;0;10
3.55;0;1
4.85;0;4
6.1;0;5
7.52;0;2
8.72;0;1
10.02;0;2
11.35;0;3
12.35;0;2
13.39;0;2
14.39;0;1
15.43;0;4
16.48;0;1
17.56;0;1
18.85;0;4
19.93;0;1
20.97;0;1
22.13;0;1
23.22;0;1
24.31;0;1
25.34;0;2
26.43;0;2
27.77;0;1
28.89;0;2
30.48;0;1
31.57;0;2
32.66;0;1
34.08;0;2
35.11;0;4
36.19;0;1
37.47;0;1
38.47;0;4
39.51;0;1
40.51;0;2
41.92;0;1
43.01;0;1
44.19;0;3
45.26;0;1
46.35;0;1
48.36;0;1
49.45;0;1
50.47;0;1
52.76;0;1
54.32;0;1
55.35;0;1
56.6;0;1
57.61;0;1
58.64;0;2
59.64;0;1
62.98;0;1
63.98;0;1
65.45;0;1
68.54;0;1
69.63;0;1
72.8;0;1
76.04;0;1
77.13;0;2
80.63;0;1
88.38;0;1
91.38;0;1
94.9;0;1
98.55;0;1
104;0;1
109.45;0;1
112.55;0;1
121.56;0;1
122.63;0;1
127.94;0;1
130.41;0;1
131.49;0;1
134.99;0;1
136.94;0;1
142.07;0;1
143.13;0;1
145.15;0;1
146.24;0;1
148.65;0;1
153.48;0;1
156.41;0;1
159.91;0;1
163.42;0;1
172.25;0;1
174.92;0;1
180;0;1
182.25;0;1
190.42;0;1
193.17;0;1
194.3;0;1
196.97;0;1
199.26;0;1
201.93;0;1
203.34;0;1
207.38;0;1
208.79;0;1
209.84;0;1
210.84;0;1
212.21;0;1
213.34;0;1
218.33;0;1
220;0;1
221.3;0;1
222.44;0;1
224.79;0;1
225.88;0;1
233.34;0;1
235.63;0;1
236.84;0;1
241.08;0;1
243.59;0;1
247.76;0;1
259.23;0;1
261.31;0;1
273.94;0;1
276.15;0;1
279.65;0;1
283.44;0;1
288.89;0;1
293.41;0;1
296.23;0;1
300.4;0;1
311.19;0;1
321.36;0;1
326.19;0;1
327.27;0;1
329.94;0;1
336.11;0;1
337.44;0;1
341.56;0;1
342.89;0;1
344.2;0;1
347.89;0;1
349.29;0;1
354.06;0;1
355.15;0;1
360.51;0;1
368.49;0;1
371.09;0;1
377.92;0;1
381.42;0;1
384.97;0;1
389.81;0;1
393.31;0;1
402.92;0;1
405.13;0;1
407.55;0;1
412.3;0;1
413.66;0;1
415;0;1
416.38;0;1
417.47;0;1
419.88;0;1
420.97;0;2
423.14;0;1
424.47;0;1
425.56;0;1
426.6;0;1
428.59;0;1
429.68;0;1
432.79;0;1
433.81;0;1
436.48;0;1
437.81;0;1
438.85;0;1
439.9;0;1
441.98;0;1
449.41;0;1
450.77;0;1
452.9;0;1
454.31;0;1
463.82;0;1
465.94;0;1
467.31;0;1
473.36;0;1
477.45;0;1
482.2;0;1
483.32;0;1
485.27;0;1
487.25;0;1
490.74;0;1
495.12;0;1
498.37;0;1
499.37;0;1
505.92;0;1
509.87;0;1
512.08;0;1
513.37;0;1
517.1;0;1
529;0;1
534.45;0;1
537.05;0;1
541.22;0;1
544.45;0;1
547.76;0;1
549.51;0;1
550.58;0;1
552.6;0;1
553.63;0;1
555.29;0;1
557.43;0;1
558.67;0;1
560.65;0;1
561.75;0;1
562.84;0;1
564.11;0;1
566.62;0;1
567.66;0;1
569.71;0;1
572.95;0;1
574.13;0;2
575.21;0;1
579.63;0;1
582.25;0;1
583.34;0;1
585.65;0;1
586.85;0;1
588.9;0;1
590.34;0;1
592.3;0;1
595.33;0;1
598.4;0;1
601.85;0;1
603.24;0;1
606;0;1
609.35;0;1
610.7;0;1
618.2;0;1
624.89;0;1
626.12;0;1
629.76;0;1
633.64;0;1
639.82;0;1
643.29;0;1
646.12;0;1
649.06;0;1
652.15;0;1
656.08;0;1
657.33;0;1
659.68;0;1
660.77;0;1
665.9;0;1
670.47;0;1
672.28;0;1
674.55;0;1
675.77;0;1
677.4;0;1
682.72;0;1
683.78;0;1
685.83;0;1
690.66;0;1
698.09;0;1
701.39;0;1
703.88;0;1
710;0;1
712.22;0;1
714.05;0;1
715.72;0;1
719.22;0;1
721.5;0;1
724.12;0;1
726.83;0;1
727.83;0;1
732.79;0;1
734.08;0;1
735.83;0;1
737.58;0;1
743.34;0;1
747.25;0;1
791.3;0;1
802.13;0;1
807.13;0;1
809.93;0;1
817.44;0;1
826.72;0;1
827.72;0;1
830.1;0;1
837.55;0;1
839.6;0;1
843.05;0;1
846.96;0;1
848.44;0;1
849.53;0;1
854.17;0;1
855.2;0;1
859.98;0;1
861.05;0;1
866.93;0;1
870.18;0;2
873.59;0;1
874.68;0;1
878.44;0;1
882.09;0;1
883.89;0;1
885.14;0;1
889.31;0;1
891.34;0;1
894.14;0;1
895.23;0;1
900;0;1
902.74;0;1
907.57;0;1
912.17;0;1
913.26;0;1
915.03;0;1
920.32;0;1
926.1;0;1
931.55;0;1
933.63;0;1
935.2;0;1
936.69;0;1
943.33;0;1
946.04;0;1
947.13;0;1
950.88;0;1
955.02;0;1
956.11;0;1
958.52;0;1
963.36;0;1
968.19;0;1
977.81;0;1
980.44;0;1
988.56;0;1
992.02;0;1
995.52;0;1
1000.35;0;1
1023.24;0;1
1036.75;0;1
1042.2;0;1
1044.41;0;1
1045.46;0;1
1050.18;0;1
1051.61;0;1
1052.85;0;1
1057.63;0;1
1060.3;0;1
1061.78;0;1
1063.26;0;1
