#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;20;200;0;0;0;0;0;0.4
59.98;20;200;0;50.48;0;59.98;0;0.41
119.83;20;200;0;92.11;0;116.74;0;0.46
179.77;20;200;0;130.36;0;177.55;0;0.46
239.96;20;200;0;171.39;0;232.49;0;0.45
299.61;20;200;0;195.89;0;272.54;0;0.4
359.86;20;200;0;213.96;0;342.7;0;0.37
419.69;20;200;0;215.97;0;377.4;0;0.36
479.59;20;200;0;224.32;0;381.47;0;0.39
539.72;20;200;0;259.78;0;467.25;0;0.32
599.78;20;200;0;248.34;0;441.06;0;0.42
659.67;20;200;0;276.02;0;456.78;0;0.44
719.81;20;200;0;297.62;0;569.8;0;0.37
779.84;20;200;0;304.58;0;606.8;0;0.39
839.73;20;200;0;315.55;0;592.88;0;0.47
899.71;200;200;0;348.58;0;619.7;0;0.55
959.99;200;200;0;361.69;0;680.27;0;0.56
1019.88;200;200;0;337.41;0;706;0;0.53
1079.88;200;200;0;326.75;0;767.6;0;0.51
1139.77;200;200;0;343.6;0;693.2;0;0.53
1199.79;200;200;0;337.24;0;868.9;0;0.49
1259.76;200;200;0;309.46;0;959.49;0;0.45
1319.84;200;200;0;336.02;0;981.96;0;0.53
1379.64;200;200;0;363.8;0;1122.38;0;0.47
1439.97;200;200;0;351.03;0;1044;0;0.6
1499.83;200;200;0;366.47;0;1210.3;0;0.62
1559.83;200;200;0;401.37;0;1214.27;0;0.53
1619.72;200;200;0;365.4;0;1103.59;0;0.6
1679.87;200;200;0;373.06;0;1134.58;0;0.61
1739.63;200;200;0;368.31;0;1083.69;0;0.55
1799.63;200;200;0;401.31;0;1024.25;0;0.59
