#TimeStamp;Bot;Pod;OutputStation
34.74;1;31;2
43.43;2;44;0
45.01;1;31;2
45.6;0;35;1
53.58;2;44;0
55.12;1;31;2
55.66;0;35;1
63.81;2;44;0
65.45;1;31;2
65.74;0;35;1
74.14;2;44;0
75.65;1;31;2
75.91;0;35;1
84.56;2;44;0
85.82;1;31;2
86.33;0;35;1
94.98;2;44;0
96.24;1;31;2
96.75;0;35;1
105.4;2;44;0
106.66;1;31;2
107.17;0;35;1
115.82;2;44;0
117.08;1;31;2
117.59;0;35;1
126.24;2;44;0
127.5;1;31;2
128.01;0;35;1
136.66;2;44;0
137.92;1;31;2
138.43;0;35;1
147.08;2;44;0
147.92;1;31;2
148.76;0;35;1
157.5;2;44;0
157.92;1;31;2
158.76;3;13;1
167.94;2;44;0
168.22;4;15;2
168.56;3;13;1
177.98;6;51;0
178.34;4;15;2
178.52;3;13;1
188.07;6;51;0
188.47;4;15;2
188.81;3;13;1
198.34;6;51;0
198.54;4;15;2
198.85;3;13;1
208.26;6;51;0
208.8;4;15;2
209.19;3;13;1
218.38;6;51;0
218.85;4;15;2
219.27;3;13;1
228.8;6;51;0
229.27;3;13;1
229.27;4;15;2
238.86;6;51;0
239.61;3;13;1
239.61;4;15;2
248.82;6;51;0
250;3;13;1
250;4;15;2
258.82;6;51;0
260.42;3;13;1
260.42;4;15;2
269.19;6;51;0
270.84;3;13;1
270.84;5;30;2
279.23;6;51;0
281.19;3;13;1
281.19;5;30;2
289.65;6;51;0
291.21;5;30;2
291.26;3;13;1
300.07;6;51;0
301.26;5;30;2
301.68;3;13;1
310.39;6;51;0
311.65;5;30;2
311.7;3;13;1
320.77;6;51;0
321.61;5;30;2
322.1;3;13;1
331.19;6;51;0
331.61;5;30;2
332.52;3;13;1
341.26;9;32;0
341.7;5;30;2
342.94;3;13;1
351.61;9;32;0
351.74;5;30;2
353.36;8;46;1
361.3;9;32;0
362.15;5;30;2
363.78;8;46;1
371.65;9;32;0
372.57;5;30;2
373.98;8;46;1
381.96;9;32;0
382.99;5;30;2
383.83;8;46;1
392.07;9;32;0
393.41;5;30;2
394.03;8;46;1
402.49;9;32;0
403.83;5;30;2
404.45;8;46;1
412.91;7;40;0
414.25;5;30;2
414.87;8;46;1
423.29;7;40;0
424.67;5;30;2
425.29;8;46;1
433.74;7;40;0
434.88;5;30;2
435.71;8;46;1
444.16;7;40;0
445.32;1;28;2
446.13;0;19;1
454.58;7;40;0
455.74;1;28;2
456.55;0;19;1
464.62;7;40;0
465.79;1;28;2
466.63;0;19;1
475;7;40;0
475.84;1;28;2
476.63;0;19;1
485.44;7;40;0
486.21;1;28;2
486.97;0;19;1
495.86;7;40;0
496.63;1;28;2
497.05;0;19;1
506.28;7;40;0
507.05;0;19;1
507.05;1;28;2
516.7;7;40;0
517.39;3;50;1
517.39;1;28;2
527.12;7;40;0
527.81;3;50;1
527.81;1;28;2
537.54;7;40;0
537.96;3;50;1
538.23;1;28;2
547.52;7;40;0
548.23;3;50;1
548.23;1;28;2
557.83;2;4;0
558.38;3;50;1
558.65;1;28;2
567.76;2;4;0
