#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/10,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.93;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
119.78;7;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
179.89;7;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
239.73;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
299.99;7;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
359.75;6;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/9,Rest/0
419.89;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
479.82;7;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
539.99;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
599.99;7;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
659.76;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
719.67;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
779.8;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
839.81;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
899.93;5;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/9,Rest/0
959.72;7;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
1019.95;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
1079.7;6;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/9,Rest/0
1139.99;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
1199.83;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
1259.96;5;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/8,Rest/0
1319.75;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
1379.8;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
1439.67;7;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/10,Rest/0
1499.67;5;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/8,Rest/0
1559.88;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/9,Rest/1
1619.84;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/9,Rest/1
1679.62;6;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/9,Rest/0
1739.91;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/9,Rest/1
1799.86;5;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/8,Rest/1
