#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
<<<<<<<< HEAD:Material/Instances/0.Weighted30min Demand separate/De/Old/Weighted2-De_whigh_1.csv-1/inventorylevel.csv
0;0.6;100;0;0;0;0;0;0;0;0;0
599.96;0.47;100;0;0;0;0;0;0;0;0;0
1199.6;0.35;100;0;0;0;0;0;0;0;0;0
1799.92;0.25;100;0;0;0;0;0;0;0;0;0
========
0;0.83;100;0;0;0;0;0;0;0;0;0
599.99;0.7;100;0;0;0;0;0;0;0;0;0
1199.92;0.55;100;0;0;0;0;0;0;0;0;0
1799.96;0.4;100;0;0;0;0;0;0;0;0;0
>>>>>>>> 1bbb1cb (Plot per demand):Material/Instances/0.Weighted30min Demand combined/Weighted3/WeightedScenario-De_wlow_2.csv-1/inventorylevel.csv
