#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;20;200;0;0;0;0;0;0.37
59.74;20;200;0;50.71;0;59.74;0;0.39
119.59;20;200;0;93.2;0;113.77;0;0.37
179.84;20;200;0;142.48;0;175.35;0;0.36
239.66;20;200;0;170.05;0;229.22;0;0.39
299.81;20;200;0;176.7;0;251.92;0;0.41
359.62;20;200;0;221.02;0;315.78;0;0.39
419.98;20;200;0;221.84;0;366.25;0;0.38
479.95;20;200;0;218.87;0;411.82;0;0.46
539.79;20;200;0;242.92;0;472.07;0;0.47
599.98;20;200;0;256.86;0;466.93;0;0.49
659.97;20;200;0;271.2;0;530.9;0;0.55
719.86;20;200;0;248.58;0;551.9;0;0.53
779.95;20;200;0;293.72;0;616.41;0;0.5
839.94;20;200;0;248.77;0;653.57;0;0.57
899.59;200;200;0;253.71;0;751.41;0;0.6
959.96;200;200;0;232.7;0;822.74;0;0.59
1019.69;200;200;0;237.85;0;834.23;0;0.64
1079.91;200;200;0;246.19;0;879.5;0;0.68
1139.77;200;200;0;264.87;0;968.19;0;0.72
1199.86;200;200;0;283.84;0;1023.67;0;0.78
1259.68;200;200;0;314.89;0;895.44;0;0.75
1319.99;200;200;0;258.73;0;732.79;0;0.78
1379.99;200;200;0;312.85;0;952.58;0;0.79
1439.75;200;200;0;259.36;0;1198.8;0;0.74
1499.9;200;200;0;233.45;0;1189.31;0;0.74
1559.91;200;200;0;249.06;0;1138.49;0;0.7
1619.77;200;200;0;256.07;0;1032.92;0;0.68
1679.74;200;200;0;257.4;0;1111.87;0;0.67
1739.84;200;200;0;290.77;0;1006.47;0;0.66
1799.85;200;200;0;307.78;0;959.43;0;0.75
