#TimeStamp;Runtime;Requests
0.88;0;10
3.55;0;1
4.8;0;3
6.1;0;6
7.19;0;1
8.26;0;1
9.35;0;2
10.35;0;4
11.35;0;4
12.39;0;2
13.43;0;3
14.48;0;3
15.52;0;2
16.57;0;3
17.66;0;1
19.03;0;2
20.37;0;1
21.4;0;2
24.07;0;1
25.16;0;1
26.45;0;1
27.82;0;1
29.32;0;1
30.54;0;1
31.7;0;2
32.76;0;1
33.78;0;2
34.87;0;2
35.94;0;4
36.95;0;1
37.99;0;2
39.08;0;1
41.12;0;1
42.21;0;1
43.79;0;1
45.02;0;1
46.29;0;1
47.29;0;2
48.95;0;1
50.02;0;1
51.37;0;1
52.4;0;1
53.49;0;1
55.46;0;1
57.71;0;1
60;0;1
61;0;1
62.09;0;1
64.63;0;1
66.01;0;1
70.85;0;1
142.25;0;1
151.25;0;1
153.92;0;1
158.93;0;1
161.46;0;1
167.57;0;1
170.2;0;1
173.7;0;1
177.87;0;1
187.41;0;1
196.92;0;1
202.25;0;1
208.46;0;1
217.5;0;1
223.18;0;1
226.34;0;1
227.51;0;1
229.01;0;1
233.35;0;1
234.39;0;1
237.01;0;1
238.8;0;1
240;0;1
242.04;0;2
247.2;0;1
248.21;0;2
249.87;0;1
250.88;0;1
252.13;0;1
254.03;0;1
255.29;0;1
262.79;0;1
266.29;0;1
288.13;0;1
298.3;0;1
303.75;0;1
306.41;0;1
313.53;0;1
315.62;0;1
325.12;0;1
329;0;1
345.07;0;1
355.91;0;1
358.96;0;1
360.97;0;1
363.46;0;1
369.12;0;1
372.21;0;1
374.27;0;2
376.66;0;1
382.41;0;1
383.46;0;1
384.49;0;1
388.29;0;1
389.33;0;1
394.17;0;1
402.59;0;1
413.14;0;1
415.77;0;1
418.44;0;1
421.16;0;1
426.6;0;1
430;0;1
432.08;0;1
436.61;0;1
440;0;1
442.63;0;1
444.06;0;1
446.98;0;1
453.19;0;1
454.24;0;1
459.07;0;1
462.02;0;1
463.58;0;1
465.86;0;1
468.41;0;1
471.32;0;1
472.37;0;2
475.87;0;1
481.98;0;1
483;0;1
484.65;0;2
488.48;0;1
489.57;0;1
490.63;0;1
492.44;0;1
493.44;0;2
494.48;0;1
495.53;0;1
496.57;0;1
497.61;0;3
501.32;0;1
502.44;0;1
504.49;0;1
506.16;0;1
510.62;0;1
511.71;0;1
514.12;0;1
516.65;0;1
521.49;0;1
524.99;0;1
528.7;0;1
532.2;0;1
534.6;0;1
538.7;0;1
546.82;0;1
551.7;0;1
552.79;0;1
559.87;0;1
563.37;0;1
564.59;0;1
570.04;0;1
572.71;0;1
577.55;0;1
588.33;0;1
592.41;0;1
596.42;0;1
601.93;0;1
605.58;0;1
607;0;1
610.5;0;1
614.53;0;1
616.91;0;1
622.16;0;1
634.96;0;1
637.05;0;1
652.3;0;1
655.8;0;1
668.62;0;1
677.45;0;1
680.12;0;1
685.32;0;1
686.71;0;1
691.75;0;1
692.78;0;1
694.78;0;1
696.28;0;1
698.28;0;1
705.12;0;1
707.32;0;1
712.16;0;1
720;0;1
722.09;0;1
732.26;0;1
735.8;0;1
770.57;0;1
777.33;0;1
780.09;0;1
782.16;0;1
785.54;0;1
786.63;0;1
788.67;0;1
794.84;0;1
796.25;0;1
799.65;0;1
801.94;0;1
805.07;0;1
807.6;0;1
810.27;0;1
811.51;0;1
815.24;0;1
816.93;0;1
818.73;0;1
819.93;0;1
823.78;0;1
826.77;0;1
828.02;0;1
831.02;0;1
832.11;0;1
836.23;0;1
839.48;0;1
842.94;0;1
844.03;0;1
845.12;0;1
848.39;0;1
849.5;0;1
850.6;0;1
852.63;0;1
853.95;0;1
857.38;0;1
858.79;0;1
859.88;0;2
866.72;0;1
869.63;0;1
871.59;0;1
872.67;0;1
885.51;0;1
893.01;0;1
902.21;0;1
907.05;0;1
911.17;0;1
912.18;0;1
921.8;0;1
923.09;0;1
924.18;0;1
928.56;0;1
930.7;0;1
931.88;0;1
934.25;0;1
940;0;1
941.08;0;1
943.29;0;1
944.58;0;1
947.46;0;1
952.3;0;1
992.86;0;1
994.31;0;1
1004.36;0;1
1005.45;0;2
1009.82;0;1
1010.9;0;1
1012.66;0;1
1013.99;0;2
1017.91;0;1
1018.91;0;1
1020;0;2
1022.74;0;1
1024.12;0;1
1025.15;0;1
1026.36;0;1
1028.29;0;1
1029.54;0;2
1032.36;0;1
1033.51;0;1
1037.66;0;1
1039.7;0;1
1040.95;0;1
1043.41;0;1
1044.51;0;1
1049.66;0;1
1053.11;0;1
1056.01;0;1
1059.28;0;1
1063.51;0;1
1068.12;0;1
1076.55;0;1
1088.72;0;1
1091.39;0;1
1096.84;0;1
1100.88;0;1
1108;0;1
1111.3;0;1
1118.14;0;1
1121.64;0;1
1124.3;0;1
1137.14;0;1
1142.59;0;1
1145.42;0;1
1149.59;0;1
1156.84;0;1
1159.47;0;1
1163.63;0;1
1178.23;0;1
1187.55;0;1
1189.07;0;1
1194.35;0;1
1196.73;0;1
1198.14;0;1
1201.72;0;1
1202.77;0;1
1207.81;0;1
1210.52;0;1
1213.18;0;1
1214.69;0;1
1215.78;0;1
1220.61;0;1
1221.64;0;1
1228.78;0;1
1232.78;0;1
1234.04;0;1
1242.01;0;1
1249.47;0;1
1257.09;0;1
1259.64;0;1
1262.59;0;1
1265.09;0;1
1266.26;0;1
1267.76;0;1
