#TimeStamp;TripTime;Type
23;13;O
29;16;O
39;18;O
44;17;O
49;24;O
53;7;O
59;14;O
65;33;O
72;23;O
73;14;O
184;17;O
215;7;O
255;16;O
260;13;O
269;22;O
332;18;O
395;23;O
400;18;O
466;22;O
468;28;O
509;19;O
518;20;O
535;25;O
567;20;O
613;25;O
658;24;O
705;14;O
738;18;O
822;20;O
831;23;O
865;29;O
877;20;O
896;27;O
947;16;O
958;19;O
1040;20;O
1046;20;O
1067;27;O
1074;24;O
1125;17;O
1169;13;O
1237;16;O
1248;35;O
1290;17;O
1299;19;O
1326;20;O
1444;15;O
1463;23;O
1475;20;O
1499;21;O
1502;18;O
1536;20;O
1591;28;O
1593;26;O
1603;22;O
1626;22;O
1646;25;O
1699;30;O
1705;22;O
