#TimeStamp;Runtime;Requests
0.88;0;10
3.55;0;2
4.8;0;2
6.1;0;5
7.72;0;1
8.72;0;2
10.02;0;3
11.02;0;4
12.02;0;2
13.06;0;1
14.11;0;1
15.15;0;1
16.18;0;3
17.19;0;2
18.23;0;3
19.56;0;2
21.34;0;1
22.65;0;2
23.85;0;1
25.02;0;1
26.11;0;3
27.65;0;1
28.75;0;2
32.21;0;1
33.34;0;2
34.41;0;2
35.66;0;1
36.85;0;2
37.86;0;1
38.88;0;1
39.93;0;1
41.29;0;1
42.3;0;4
44.79;0;1
45.93;0;3
47.52;0;1
49.05;0;1
50.72;0;1
51.74;0;1
53.97;0;1
55.3;0;2
56.3;0;2
57.47;0;1
58.51;0;2
65.18;0;1
66.2;0;1
67.29;0;1
68.68;0;1
69.7;0;1
70.78;0;1
71.86;0;1
72.93;0;1
74.33;0;1
77.83;0;1
107.25;0;1
118.09;0;1
123.54;0;1
126.83;0;1
131;0;1
135.25;0;1
140.28;0;1
143.53;0;1
144.75;0;1
148.37;0;1
150;0;1
152.28;0;1
157.59;0;1
159.07;0;1
161.09;0;1
162.13;0;1
168.77;0;1
169.85;0;1
173.35;0;1
180;0;1
185.48;0;1
187.7;0;1
191.22;0;1
192.29;0;1
201.77;0;1
202.84;0;1
206.14;0;1
207.22;0;1
210.3;0;1
215.64;0;1
218.26;0;1
220.97;0;1
223.14;0;1
225.81;0;1
228.11;0;1
231.06;0;1
238.28;0;1
243.73;0;1
246.56;0;1
252.9;0;1
256.7;0;1
258.79;0;1
263.07;0;1
266.7;0;1
268.11;0;1
271.23;0;1
280.69;0;1
283.16;0;1
291.33;0;1
372.27;0;1
381.79;0;1
387.24;0;1
390;0;1
391.15;0;1
395.32;0;1
400.84;0;1
402.78;0;1
405.49;0;1
406.75;0;1
410.04;0;1
413.66;0;1
414.75;0;1
415.84;0;1
417.16;0;1
419.59;0;1
423.04;0;1
424.33;0;1
425.75;0;1
433.95;0;1
435.92;0;1
439.33;0;1
440.42;0;1
470;0;1
480.84;0;1
486.29;0;1
489.84;0;1
494.38;0;1
496.38;0;1
498.01;0;1
500;0;1
503.5;0;1
505.21;0;1
507.84;0;1
508.9;0;1
510.51;0;1
512.45;0;1
514.35;0;1
515.55;0;1
519.72;0;1
520.83;0;1
522.08;0;1
524.75;0;1
528.92;0;1
530.23;0;1
532.23;0;1
536.47;0;1
539.97;0;1
551.96;0;1
553.22;0;1
556.72;0;1
557.88;0;1
561.38;0;1
570.33;0;1
575.42;0;1
578.54;0;1
580.26;0;1
581.47;0;1
584.14;0;1
589.64;0;1
593.6;0;1
595.84;0;1
602.63;0;1
605.67;0;1
609.17;0;1
613.34;0;1
674.5;0;1
686;0;1
691.45;0;1
694.28;0;1
701.49;0;1
703.74;0;1
706.33;0;1
707.73;0;1
709.83;0;1
715.9;0;1
719.44;0;1
730.88;0;1
731.91;0;1
733.41;0;1
737.42;0;1
741.3;0;1
746.91;0;1
750.29;0;1
751.31;0;1
752.33;0;1
759.98;0;1
761.23;0;1
765.2;0;1
770.54;0;1
773.37;0;1
775.8;0;1
779.1;0;1
785.22;0;1
844.41;0;1
855.91;0;1
858.96;0;1
861.37;0;1
864.21;0;1
865.41;0;1
869.04;0;1
875.52;0;1
878.7;0;1
879.75;0;1
881.3;0;1
884.67;0;1
887.47;0;1
893.25;0;1
896.18;0;1
897.34;0;1
899.59;0;1
901.63;0;1
902.63;0;1
904.03;0;1
909.54;0;1
910.82;0;1
912.86;0;2
913.93;0;1
917.03;0;1
918.12;0;1
920.58;0;1
