#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.86;0;0;1;3;0/59.86;0/40.64,1/51.02,2/52.52;0/59.86;0/59.86,1/59.86,2/59.86;0/0;0/15,1/11,2/11;0/0;0/18,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/2,2/2
119.84;0;3;1;3;0/119.84;0/58.02,1/57.73,2/59.35;0/119.84;0/119.84,1/119.84,2/119.84;0/0;0/14,1/11,2/9;0/0;0/19,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/13,1/14,2/13
180;0;6;1;3;0/180;0/78.91,1/62.49,2/85.1;0/180;0/180,1/180,2/180;0/0;0/12,1/12,2/9;0/0;0/19,1/18,2/12;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/22,1/25,2/20
239.82;0;9;1;3;0/239.82;0/86.24,1/67.27,2/107.81;0/239.82;0/239.82,1/239.82,2/239.82;0/0;0/15,1/13,2/8;0/0;0/20,1/19,2/12;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/4;0/0;0/32,1/36,2/28
299.88;0;12;1;3;0/299.88;0/103.74,1/71.59,2/126.01;0/299.88;0/299.88,1/299.88,2/299.88;0/0;0/14,1/10,2/8;0/0;0/19,1/14,2/12;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/5;0/0;0/41,1/48,2/37
359.99;0;16;1;3;0/359.99;0/120.94,1/83.47,2/155.56;0/359.99;0/359.99,1/359.99,2/359.99;0/0;0/11,1/17,2/8;0/0;0/17,1/19,2/12;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/6;0/0;0/50,1/58,2/43
419.59;0;20;1;3;0/419.59;0/140.33,1/118.41,2/166.65;0/419.59;0/419.59,1/419.59,2/419.59;0/0;0/14,1/15,2/8;0/0;0/20,1/17,2/10;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/8;0/0;0/59,1/63,2/54
479.86;0;22;1;3;0/479.86;0/164,1/143.44,2/198.49;0/479.86;0/479.86,1/479.86,2/479.86;0/0;0/11,1/15,2/8;0/0;0/15,1/19,2/14;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/8;0/0;0/66,1/70,2/59
539.72;0;26;1;3;0/539.72;0/200.56,1/160.42,2/207.39;0/539.72;0/539.72,1/539.72,2/539.72;0/0;0/10,1/16,2/8;0/0;0/16,1/18,2/12;0/0;0/2,1/2,2/2;0/0;0/8,1/9,2/9;0/0;0/71,1/79,2/70
599.98;0;29;1;3;0/599.98;0/206.5,1/199.35,2/214.4;0/599.98;0/599.98,1/599.98,2/599.98;0/0;0/12,1/15,2/8;0/0;0/17,1/17,2/11;0/0;0/2,1/2,2/2;0/0;0/9,1/10,2/10;0/0;0/83,1/84,2/82
659.98;0;32;1;3;0/659.98;0/214.26,1/205.71,2/241.21;0/659.98;0/659.98,1/659.98,2/659.98;0/0;0/13,1/15,2/11;0/0;0/19,1/18,2/15;0/0;0/2,1/2,2/2;0/0;0/10,1/11,2/11;0/0;0/93,1/95,2/88
719.81;0;36;1;3;0/719.81;0/242.69,1/245.76,2/263.68;0/719.81;0/719.81,1/719.81,2/719.81;0/0;0/11,1/14,2/9;0/0;0/14,1/18,2/13;0/0;0/2,1/2,2/2;0/0;0/11,1/12,2/13;0/0;0/100,1/99,2/96
779.93;0;39;1;3;0/779.93;0/262.93,1/252.09,2/289.65;0/779.93;0/779.93,1/779.93,2/779.93;0/0;0/11,1/17,2/10;0/0;0/15,1/20,2/16;0/0;0/2,1/2,2/2;0/0;0/12,1/13,2/14;0/0;0/108,1/110,2/103
839.95;0;44;1;3;0/839.95;0/287.75,1/267.31,2/310.66;0/839.95;0/839.95,1/839.95,2/839.95;0/0;0/12,1/16,2/8;0/0;0/15,1/19,2/12;0/0;0/2,1/2,2/2;0/0;0/14,1/14,2/16;0/0;0/116,1/119,2/112
899.6;0;46;1;3;0/899.6;0/315.55,1/283.52,2/332.9;0/899.6;0/899.6,1/899.6,2/899.6;0/0;0/10,1/17,2/7;0/0;0/16,1/21,2/13;0/0;0/2,1/2,2/2;0/0;0/15,1/15,2/16;0/0;0/123,1/128,2/119
959.98;0;49;1;3;0/959.98;0/332.91,1/308.1,2/344.96;0/959.98;0/959.98,1/959.98,2/959.98;0/0;0/10,1/14,2/7;0/0;0/16,1/17,2/12;0/0;0/2,1/2,2/2;0/0;0/16,1/16,2/17;0/0;0/132,1/136,2/130
1019.68;0;53;1;3;0/1019.68;0/344.5,1/324.8,2/358.42;0/1019.68;0/1019.68,1/1019.68,2/1019.68;0/0;0/9,1/16,2/9;0/0;0/13,1/17,2/11;0/0;0/2,1/2,2/2;0/0;0/17,1/18,2/18;0/0;0/141,1/145,2/139
1079.98;0;56;1;3;0/1079.98;0/375.96,1/367.43,2/399.11;0/1079.98;0/1079.98,1/1079.98,2/1079.98;0/0;0/9,1/15,2/7;0/0;0/13,1/19,2/13;0/0;0/2,1/2,2/2;0/0;0/18,1/19,2/19;0/0;0/147,1/148,2/143
1139.71;0;60;1;3;0/1139.71;0/412.34,1/405.78,2/410.56;0/1139.71;0/1139.71,1/1139.71,2/1139.71;0/0;0/8,1/14,2/9;0/0;0/14,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/19,1/20,2/21;0/0;0/152,1/153,2/154
1199.77;0;64;1;3;0/1199.77;0/438.63,1/410.37,2/455.15;0/1199.77;0/1199.77,1/1199.77,2/1199.77;0/0;0/12,1/12,2/8;0/0;0/17,1/17,2/12;0/0;0/2,1/2,2/2;0/0;0/21,1/21,2/22;0/0;0/160,1/164,2/157
1259.69;0;67;1;3;0/1259.69;0/464.55,1/423.17,2/483.04;0/1259.69;0/1259.69,1/1259.69,2/1259.69;0/0;0/11,1/12,2/11;0/0;0/15,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/22,1/22,2/23;0/0;0/167,1/174,2/163
1319.99;0;71;1;3;0/1319.99;0/470.66,1/449.44,2/523.62;0/1319.99;0/1319.99,1/1319.99,2/1319.99;0/0;0/16,1/12,2/12;0/0;0/17,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/23,1/23,2/25;0/0;0/178,1/181,2/168
1379.98;0;74;1;3;0/1379.98;0/501.58,1/456.64,2/530.91;0/1379.98;0/1379.98,1/1379.98,2/1379.98;0/0;0/13,1/12,2/11;0/0;0/15,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/24,1/24,2/26;0/0;0/184,1/192,2/179
