#TimeStamp;TripTime;Type
34;16;O
41;15;O
43;24;O
44;21;O
62;20;O
67;20;O
97;16;O
130;15;O
139;14;O
144;21;O
180;20;O
200;26;O
209;28;O
235;26;O
246;15;O
278;29;O
287;18;O
292;7;O
300;18;O
317;20;O
351;18;O
374;25;O
377;15;O
397;20;O
431;31;O
446;17;O
454;19;O
486;17;O
502;24;O
522;14;O
538;24;O
560;18;O
585;10;O
593;7;O
624;26;O
632;19;O
632;11;O
639;20;O
652;13;O
690;18;O
721;12;O
731;10;O
761;12;O
776;24;O
787;12;O
818;17;O
849;63;O
860;13;O
864;23;O
865;25;O
890;14;O
947;27;O
948;29;O
953;19;O
982;22;O
990;21;O
992;28;O
1027;19;O
1044;17;O
1053;12;O
1060;23;O
1102;13;O
1111;20;O
1127;7;O
1146;19;O
1155;14;O
1173;29;O
1183;13;O
1198;19;O
1217;31;O
1224;14;O
1241;13;O
1251;25;O
1266;15;O
1278;23;O
1280;15;O
1317;19;O
1336;16;O
1356;15;O
1368;20;O
1388;14;O
1403;19;O
1441;27;O
1459;38;O
1477;26;O
1479;15;O
1482;15;O
1502;16;O
1530;18;O
1548;22;O
1554;22;O
1588;20;O
1590;26;O
1606;24;O
1619;23;O
1684;17;O
1692;22;O
1702;12;O
1703;22;O
1721;19;O
1740;23;O
1773;14;O
1780;31;O
1787;14;O
1790;16;O
1799;26;O
