#TimeStamp;Bot;Pod;OutputStation
40;0;19;1
49.26;4;54;2
50.34;2;2;0
54.33;4;54;2
55.46;2;2;0
59.52;4;54;2
60.5;2;2;0
64.56;4;54;2
65.92;2;2;0
69.86;4;54;2
71.34;2;2;0
74.05;5;13;1
75.28;4;54;2
76.18;2;2;0
79.14;5;13;1
80.44;4;54;2
81.18;2;2;0
88.15;1;43;2
89.57;3;20;0
93.38;1;43;2
94.57;3;20;0
98.33;1;43;2
103.69;1;43;2
105.82;0;33;1
108.82;1;43;2
111.14;0;33;1
114.24;1;43;2
115.92;0;33;1
119.66;1;43;2
147.29;4;6;2
149.29;5;21;1
152.01;4;6;2
152.8;3;19;0
154.34;5;21;1
157.34;4;6;2
157.76;3;19;0
159.37;5;21;1
162.41;4;6;2
162.86;3;19;0
164.41;5;21;1
167.43;4;6;2
168.28;3;19;0
169.45;5;21;1
172.76;4;6;2
173.7;3;19;0
174.76;5;21;1
178.18;4;6;2
179.12;3;19;0
180.04;5;21;1
183.6;4;6;2
184.36;3;19;0
185.46;5;21;1
189.02;4;6;2
190.67;5;21;1
192.11;2;58;0
194.44;4;6;2
197.2;2;58;0
197.53;0;12;1
199.79;4;6;2
202.48;2;58;0
202.75;0;12;1
204.57;4;6;2
207.53;2;58;0
208.04;0;12;1
211.63;1;40;2
212.79;2;58;0
212.79;0;12;1
216.67;1;40;2
218.17;0;12;1
221.72;1;40;2
223.59;0;12;1
226.81;1;40;2
232.23;1;40;2
237.65;1;40;2
238.4;3;32;0
242.7;1;40;2
243.2;3;32;0
248.4;3;32;0
253.45;3;32;0
258.87;3;32;0
261.31;5;39;1
264.29;3;32;0
266.35;5;39;1
269.38;3;32;0
271.71;5;39;1
274.71;3;32;0
276.4;5;39;1
279.84;3;32;0
281.75;5;39;1
285;3;32;0
286.97;4;22;2
290.04;3;32;0
292.01;4;22;2
295.46;3;32;0
296.27;0;45;1
297.43;4;22;2
300.88;3;32;0
301.31;0;45;1
302.85;4;22;2
305.94;3;32;0
306.4;0;45;1
307.61;4;22;2
311.36;3;32;0
311.4;0;45;1
314.82;1;46;2
316.36;3;32;0
316.73;0;45;1
319.61;1;46;2
321.16;3;32;0
321.79;0;45;1
324.94;1;46;2
326.2;3;32;0
326.94;0;45;1
330.07;1;46;2
332.31;0;45;1
333.03;2;33;0
335.2;1;46;2
338.33;2;33;0
339.4;5;21;1
340;1;46;2
343.4;2;33;0
344.45;5;21;1
345.36;1;46;2
348.16;2;33;0
349.87;5;21;1
350.45;1;46;2
353.42;2;33;0
354.8;5;21;1
358.37;2;33;0
360.07;5;21;1
363.34;2;33;0
368.46;2;33;0
368.46;4;48;2
373.68;2;33;0
373.68;4;48;2
379.09;4;48;2
383.06;3;4;0
383.97;4;48;2
388.13;3;4;0
389.13;4;48;2
393.43;3;4;0
394.18;4;48;2
405.91;0;6;1
433.64;1;45;2
437.34;5;9;1
437.52;2;37;0
438.69;1;45;2
442.52;5;9;1
442.81;2;37;0
444.04;1;45;2
447.76;5;9;1
452.81;5;9;1
452.9;3;25;0
457.9;5;9;1
457.94;3;25;0
457.94;4;40;2
463.05;3;25;0
463.05;4;40;2
465.2;0;17;1
468.14;3;25;0
468.47;4;40;2
470.51;0;17;1
473.82;4;40;2
475.75;0;17;1
478.56;4;40;2
480.89;0;17;1
485.93;0;17;1
491.1;0;17;1
520;1;30;2
520.62;5;37;1
525.2;1;30;2
525.87;5;37;1
530.27;2;46;0
530.4;1;30;2
530.59;5;37;1
535.4;2;46;0
535.5;1;30;2
535.83;5;37;1
540.5;2;46;0
540.54;1;30;2
545.67;1;30;2
547.53;3;48;0
550.72;1;30;2
552.67;3;48;0
555.84;1;30;2
557.43;3;48;0
560.89;1;30;2
562.47;3;48;0
568.6;4;36;2
568.69;0;40;1
573.69;4;36;2
573.73;0;40;1
578.69;4;36;2
578.98;0;40;1
583.73;4;36;2
588.78;4;36;2
594.2;4;36;2
597.49;2;33;0
599.62;4;36;2
602.65;2;33;0
604.66;4;36;2
608.03;2;33;0
610.01;4;36;2
611.08;5;26;1
613.41;2;33;0
615.41;4;36;2
616.44;5;26;1
620.47;4;36;2
621.71;5;26;1
625.89;4;36;2
627.14;5;26;1
631.21;4;36;2
632.57;5;26;1
636.09;3;45;0
637.61;5;26;1
638.63;1;2;2
641.13;3;45;0
642.65;5;26;1
643.67;1;2;2
647.73;5;26;1
648.92;1;2;2
652.93;5;26;1
653.93;1;2;2
658.34;5;26;1
659.34;1;2;2
663.05;5;26;1
664.39;1;2;2
670.7;0;48;1
675.87;0;48;1
