#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.98;0;0;1;3;0/59.98;0/37.56,1/55.13,2/50.93;0/59.98;0/59.98,1/59.98,2/59.98;0/0;0/12,1/12,2/11;0/0;0/16,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/5,1/2,2/2
119.81;0;3;1;3;0/119.81;0/51.68,1/61.53,2/57.68;0/119.81;0/119.81,1/119.81,2/119.81;0/0;0/13,1/11,2/13;0/0;0/19,1/13,2/17;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/14,1/13,2/13
179.81;0;8;1;3;0/179.81;0/58.76,1/93.48,2/71.97;0/179.81;0/179.81,1/179.81,2/179.81;0/0;0/15,1/9,2/14;0/0;0/18,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/2;0/0;0/26,1/19,2/23
239.89;0;11;1;3;0/239.89;0/79,1/99.62,2/81.98;0/239.89;0/239.89,1/239.89,2/239.89;0/0;0/11,1/8,2/12;0/0;0/18,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/3;0/0;0/34,1/30,2/33
299.92;0;13;1;3;0/299.92;0/84.71,1/106.73,2/108.28;0/299.92;0/299.92,1/299.92,2/299.92;0/0;0/14,1/11,2/12;0/0;0/19,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/4,1/5,2/4;0/0;0/45,1/41,2/40
359.69;0;15;1;3;0/359.69;0/114.71,1/143.22,2/115.23;0/359.69;0/359.69,1/359.69,2/359.69;0/0;0/13,1/10,2/12;0/0;0/17,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/5;0/0;0/51,1/45,2/51
419.85;0;20;1;3;0/419.85;0/145.94,1/151.02,2/151.74;0/419.85;0/419.85,1/419.85,2/419.85;0/0;0/12,1/11,2/12;0/0;0/17,1/14,2/18;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/6;0/0;0/57,1/56,2/56
479.95;0;24;1;3;0/479.95;0/158.26,1/156.87,2/164.34;0/479.95;0/479.95,1/479.95,2/479.95;0/0;0/11,1/10,2/10;0/0;0/15,1/13,2/17;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/8;0/0;0/67,1/68,2/67
539.89;0;27;1;3;0/539.89;0/179.42,1/179.19,2/168.26;0/539.89;0/539.89,1/539.89,2/539.89;0/0;0/12,1/10,2/11;0/0;0/14,1/12,2/13;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/9;0/0;0/75,1/75,2/78
599.78;0;30;1;3;0/599.78;0/186.24,1/206.09,2/196.55;0/599.78;0/599.78,1/599.78,2/599.78;0/0;0/12,1/8,2/11;0/0;0/15,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/10;0/0;0/86,1/82,2/84
659.67;0;33;1;3;0/659.67;0/221.78,1/221.87,2/204.74;0/659.67;0/659.67,1/659.67,2/659.67;0/0;0/11,1/8,2/10;0/0;0/14,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/11;0/0;0/91,1/91,2/95
719.82;0;37;1;3;0/719.82;0/230.6,1/248.68,2/210.55;0/719.82;0/719.82,1/719.82,2/719.82;0/0;0/11,1/6,2/10;0/0;0/13,1/11,2/13;0/0;0/2,1/2,2/2;0/0;0/13,1/12,2/12;0/0;0/102,1/98,2/107
779.92;0;40;1;3;0/779.92;0/272.21,1/255.01,2/245.46;0/779.92;0/779.92,1/779.92,2/779.92;0/0;0/10,1/9,2/11;0/0;0/14,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/14,1/13,2/13;0/0;0/106,1/110,2/112
839.99;0;42;1;3;0/839.99;0/278.09,1/282.6,2/251.71;0/839.99;0/839.99,1/839.99,2/839.99;0/0;0/13,1/6,2/14;0/0;0/18,1/13,2/17;0/0;0/2,1/2,2/2;0/0;0/14,1/14,2/14;0/0;0/117,1/117,2/123
899.91;0;46;1;3;0/899.91;0/294.3,1/289.13,2/285.46;0/899.91;0/899.91,1/899.91,2/899.91;0/0;0/12,1/10,2/15;0/0;0/16,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/15,1/15,2/16;0/0;0/126,1/128,2/128
959.98;0;49;1;3;0/959.98;0/334.71,1/292.34,2/327.52;0/959.98;0/959.98,1/959.98,2/959.98;0/0;0/11,1/7,2/13;0/0;0/18,1/11,2/14;0/0;0/2,1/2,2/2;0/0;0/16,1/15,2/18;0/0;0/130,1/139,2/132
1019.77;0;53;1;3;0/1019.77;0/346.21,1/299.68,2/361.73;0/1019.77;0/1019.77,1/1019.77,2/1019.77;0/0;0/13,1/6,2/14;0/0;0/14,1/11,2/17;0/0;0/2,1/2,2/2;0/0;0/18,1/16,2/19;0/0;0/141,1/150,2/138
1079.81;0;56;1;3;0/1079.81;0/382.76,1/305.93,2/380.64;0/1079.81;0/1079.81,1/1079.81,2/1079.81;0/0;0/13,1/7,2/12;0/0;0/14,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/19,1/17,2/20;0/0;0/145,1/162,2/146
1139.95;0;60;1;3;0/1139.95;0/420.56,1/311.71,2/392.5;0/1139.95;0/1139.95,1/1139.95,2/1139.95;0/0;0/11,1/10,2/13;0/0;0/14,1/14,2/18;0/0;0/2,1/2,2/2;0/0;0/21,1/18,2/21;0/0;0/150,1/173,2/156
1200;0;63;1;3;0/1200;0/427.56,1/343.41,2/422.9;0/1200;0/1200,1/1200,2/1200;0/0;0/13,1/8,2/10;0/0;0/17,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/22,1/19,2/22;0/0;0/161,1/179,2/163
1259.62;0;66;1;3;0/1259.62;0/451.55,1/350.25,2/439.78;0/1259.62;0/1259.62,1/1259.62,2/1259.62;0/0;0/12,1/7,2/13;0/0;0/16,1/12,2/16;0/0;0/2,1/2,2/2;0/0;0/23,1/20,2/23;0/0;0/168,1/190,2/171
1319.94;0;69;1;3;0/1319.94;0/482.87,1/356.36,2/472.06;0/1319.94;0/1319.94,1/1319.94,2/1319.94;0/0;0/11,1/11,2/11;0/0;0/14,1/13,2/17;0/0;0/2,1/2,2/2;0/0;0/24,1/21,2/24;0/0;0/175,1/201,2/177
1379.94;0;72;1;3;0/1379.94;0/490.14,1/408.47,2/478.73;0/1379.94;0/1379.94,1/1379.94,2/1379.94;0/0;0/15,1/9,2/11;0/0;0/16,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/25,1/22,2/25;0/0;0/186,1/203,2/189
1439.88;0;75;1;3;0/1439.88;0/538.6,1/416.16,2/501.17;0/1439.88;0/1439.88,1/1439.88,2/1439.88;0/0;0/12,1/10,2/11;0/0;0/14,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/26,1/23,2/26;0/0;0/188,1/214,2/196
1499.84;0;78;1;3;0/1499.84;0/542.94,1/453.78,2/536.12;0/1499.84;0/1499.84,1/1499.84,2/1499.84;0/0;0/12,1/7,2/11;0/0;0/15,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/26,1/24,2/28;0/0;0/200,1/218,2/202
1559.98;0;80;1;3;0/1559.98;0/565.53,1/469.75,2/588.14;0/1559.98;0/1559.98,1/1559.98,2/1559.98;0/0;0/14,1/7,2/8;0/0;0/16,1/13,2/11;0/0;0/2,1/2,2/2;0/0;0/27,1/25,2/28;0/0;0/207,1/227,2/203
1619.95;0;85;1;3;0/1619.95;0/602.88,1/494.59,2/600.72;0/1619.95;0/1619.95,1/1619.95,2/1619.95;0/0;0/12,1/6,2/9;0/0;0/17,1/11,2/12;0/0;0/2,1/2,2/2;0/0;0/29,1/26,2/30;0/0;0/212,1/235,2/213
1679.74;0;88;1;3;0/1679.74;0/607.88,1/500.94,2/616.09;0/1679.74;0/1679.74,1/1679.74,2/1679.74;0/0;0/15,1/6,2/10;0/0;0/18,1/11,2/11;0/0;0/2,1/2,2/2;0/0;0/29,1/27,2/32;0/0;0/224,1/246,2/223
1739.77;0;91;1;3;0/1739.77;0/649.39,1/512.76,2/664.25;0/1739.77;0/1739.77,1/1739.77,2/1739.77;0/0;0/10,1/10,2/11;0/0;0/16,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/30,1/28,2/33;0/0;0/227,1/256,2/225
1799.74;0;96;1;3;0/1799.74;0/675.72,1/548.03,2/695.39;0/1799.74;0/1799.74,1/1799.74,2/1799.74;0/0;0/13,1/7,2/13;0/0;0/16,1/11,2/14;0/0;0/2,1/2,2/2;0/0;0/32,1/29,2/35;0/0;0/235,1/261,2/232
