#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;2
5.01;0;1
6.1;0;2
7.43;0;3
8.77;0;1
10.93;0;1
12.22;0;1
13.35;0;1
14.44;0;1
17.26;0;1
19.89;0;1
25.61;0;1
26.72;0;1
27.77;0;1
28.86;0;1
29.95;0;1
31.04;0;1
32.36;0;1
33.44;0;1
34.48;0;1
37.98;0;1
39.45;0;1
41.23;0;1
43.56;0;1
44.57;0;1
46.91;0;1
48;0;1
50.67;0;1
51.75;0;1
53.13;0;1
56.7;0;1
57.71;0;1
61.21;0;1
62.61;0;1
66.11;0;1
69.42;0;1
78.05;0;1
81.82;0;1
89.04;0;1
90.07;0;1
92.9;0;1
94.99;0;1
96.95;0;1
99.23;0;1
101.82;0;1
105.27;0;1
106.36;0;1
110.83;0;1
112.11;0;1
114.37;0;2
115.61;0;1
117.83;0;1
121.21;0;2
122.49;0;1
124.7;0;1
125.99;0;1
129.33;0;1
130.42;0;1
131.49;0;1
133.31;0;1
134.58;0;1
135.84;0;1
137.58;0;1
139.88;0;1
142.83;0;1
144.81;0;1
145.9;0;1
147.97;0;1
150.07;0;1
151.32;0;1
153.06;0;1
155.57;0;1
158.82;0;1
161.03;0;1
162.28;0;1
163.54;0;2
164.77;0;1
166.96;0;1
170.37;0;1
175.21;0;1
176.33;0;1
177.55;0;1
178.8;0;1
180;0;1
182.05;0;1
185.38;0;1
187.58;0;1
188.71;0;1
191.75;0;1
193;0;1
196.22;0;1
197.84;0;2
199.71;0;1
204.34;0;1
206.47;0;1
207.8;0;1
208.84;0;1
210.13;0;1
211.47;0;1
217.97;0;2
219.01;0;1
220.19;0;1
222.81;0;1
224.06;0;1
225.18;0;1
232.02;0;1
234.06;0;1
236.69;0;1
239.94;0;1
246.99;0;1
248.61;0;1
249.7;0;1
251.44;0;1
254.61;0;1
255.74;0;1
260.11;0;1
261.2;0;1
262.54;0;1
263.79;0;1
264.87;0;1
266.2;0;1
268.36;0;1
271.03;0;1
272.33;0;1
275.82;0;1
276.99;0;1
279.62;0;1
287.57;0;1
290.49;0;1
291.57;0;1
294.24;0;1
296.66;0;1
300.18;0;1
302.41;0;1
307.42;0;1
310.71;0;1
311.76;0;1
313.01;0;1
321.21;0;1
323.57;0;1
324.6;0;1
325.68;0;1
332.38;0;1
333.74;0;1
335.94;0;2
337.22;0;1
338.45;0;1
339.69;0;1
340.96;0;2
