#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.91;0;0;1;3;0/59.91;0/47.69,1/45.4,2/45.42;0/59.91;0/59.91,1/59.91,2/59.91;0/0;0/10,1/9,2/11;0/0;0/16,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/4,2/4
119.88;0;2;1;3;0/119.88;0/52.72,1/51.02,2/50.69;0/119.88;0/119.88,1/119.88,2/119.88;0/0;0/10,1/12,2/12;0/0;0/17,1/17,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/1,2/1;0/0;0/14,1/15,2/15
179.97;0;5;1;3;0/179.97;0/57.27,1/56.86,2/60.2;0/179.97;0/179.97,1/179.97,2/179.97;0/0;0/9,1/11,2/12;0/0;0/13,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/1,1/2,2/2;0/0;0/26,1/26,2/25
239.95;0;8;1;3;0/239.95;0/63.74,1/71.1,2/67.23;0/239.95;0/239.95,1/239.95,2/239.95;0/0;0/12,1/10,2/10;0/0;0/18,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/2,1/3,2/3;0/0;0/37,1/36,2/36
299.99;0;11;1;3;0/299.99;0/68.37,1/93.57,2/82.1;0/299.99;0/299.99,1/299.99,2/299.99;0/0;0/10,1/10,2/8;0/0;0/14,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/3,1/4,2/4;0/0;0/49,1/43,2/46
359.77;0;14;1;3;0/359.77;0/82.03,1/116.29,2/88.66;0/359.77;0/359.77,1/359.77,2/359.77;0/0;0/10,1/9,2/9;0/0;0/13,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/4,1/5,2/5;0/0;0/58,1/51,2/57
419.89;0;17;1;3;0/419.89;0/88.79,1/121.68,2/108.14;0/419.89;0/419.89,1/419.89,2/419.89;0/0;0/10,1/7,2/7;0/0;0/13,1/12,2/13;0/0;0/2,1/2,2/2;0/0;0/5,1/6,2/6;0/0;0/69,1/62,2/66
479.94;0;20;1;3;0/479.94;0/101.83,1/128.64,2/122.92;0/479.94;0/479.94,1/479.94,2/479.94;0/0;0/11,1/13,2/13;0/0;0/14,1/15,2/19;0/0;0/2,1/2,2/2;0/0;0/6,1/7,2/7;0/0;0/79,1/73,2/75
539.97;0;23;1;3;0/539.97;0/133.77,1/155.45,2/143.01;0/539.97;0/539.97,1/539.97,2/539.97;0/0;0/11,1/10,2/11;0/0;0/14,1/17,2/15;0/0;0/2,1/2,2/2;0/0;0/7,1/8,2/8;0/0;0/85,1/80,2/83
599.98;0;27;1;3;0/599.98;0/157.48,1/167.02,2/164.33;0/599.98;0/599.98,1/599.98,2/599.98;0/0;0/12,1/9,2/10;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/8,1/9,2/10;0/0;0/92,1/90,2/92
659.87;0;32;1;3;0/659.87;0/173.69,1/185.83,2/179.36;0/659.87;0/659.87,1/659.87,2/659.87;0/0;0/14,1/8,2/9;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/10,1/11,2/11;0/0;0/102,1/99,2/101
719.89;0;34;1;3;0/719.89;0/205.25,1/191.28,2/189;0/719.89;0/719.89,1/719.89,2/719.89;0/0;0/10,1/11,2/8;0/0;0/14,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/12;0/0;0/108,1/111,2/111
779.97;0;36;1;3;0/779.97;0/209.79,1/223.42,2/245.78;0/779.97;0/779.97,1/779.97,2/779.97;0/0;0/11,1/9,2/6;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/11,1/12,2/13;0/0;0/119,1/116,2/112
839.62;0;38;1;3;0/839.62;0/214.91,1/259.18,2/250.46;0/839.62;0/839.62,1/839.62,2/839.62;0/0;0/11,1/9,2/7;0/0;0/14,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/12,1/13,2/13;0/0;0/130,1/122,2/123
899.68;0;41;1;3;0/899.68;0/255.12,1/264.2,2/256.63;0/899.68;0/899.68,1/899.68,2/899.68;0/0;0/9,1/8,2/5;0/0;0/16,1/12,2/12;0/0;0/2,1/2,2/2;0/0;0/13,1/14,2/14;0/0;0/134,1/133,2/135
959.92;0;44;1;3;0/959.92;0/274.5,1/270.33,2/262.42;0/959.92;0/959.92,1/959.92,2/959.92;0/0;0/9,1/9,2/6;0/0;0/12,1/12,2/19;0/0;0/2,1/2,2/2;0/0;0/14,1/15,2/15;0/0;0/143,1/144,2/146
1019.89;0;46;1;3;0/1019.89;0/278.77,1/293.46,2/264.98;0/1019.89;0/1019.89,1/1019.89,2/1019.89;0/0;0/11,1/9,2/8;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/15,1/16,2/15;0/0;0/154,1/152,2/158
1079.96;0;50;1;3;0/1079.96;0/304.64,1/315.28,2/277.54;0/1079.96;0/1079.96,1/1079.96,2/1079.96;0/0;0/13,1/10,2/11;0/0;0/14,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/17,1/17,2/16;0/0;0/161,1/160,2/167
1139.98;0;54;1;3;0/1139.98;0/354.97,1/341.06,2/286.35;0/1139.98;0/1139.98,1/1139.98,2/1139.98;0/0;0/10,1/10,2/9;0/0;0/14,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/18,1/19,2/17;0/0;0/163,1/167,2/178
1199.87;0;56;1;3;0/1199.87;0/375.75,1/345.8,2/301.18;0/1199.87;0/1199.87,1/1199.87,2/1199.87;0/0;0/9,1/10,2/11;0/0;0/15,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/19,1/19,2/18;0/0;0/172,1/179,2/187
1259.99;0;60;1;3;0/1259.99;0/382.4,1/352.91,2/334.19;0/1259.99;0/1259.99,1/1259.99,2/1259.99;0/0;0/11,1/10,2/8;0/0;0/12,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/20,1/20,2/20;0/0;0/183,1/190,2/193
1319.98;0;63;1;3;0/1319.98;0/411.33,1/358.11,2/341.39;0/1319.98;0/1319.98,1/1319.98,2/1319.98;0/0;0/9,1/9,2/12;0/0;0/12,1/12,2/12;0/0;0/2,1/2,2/2;0/0;0/21,1/21,2/21;0/0;0/190,1/201,2/204
1379.87;0;66;1;3;0/1379.87;0/418.8,1/363.74,2/398.52;0/1379.87;0/1379.87,1/1379.87,2/1379.87;0/0;0/9,1/9,2/10;0/0;0/13,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/22,1/22,2/22;0/0;0/200,1/212,2/205
1439.86;0;69;1;3;0/1439.86;0/444.28,1/371.12,2/414.45;0/1439.86;0/1439.86,1/1439.86,2/1439.86;0/0;0/10,1/14,2/10;0/0;0/13,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/23,1/23,2/23;0/0;0/207,1/223,2/214
1499.68;0;73;1;3;0/1499.68;0/468.15,1/419.85,2/448.88;0/1499.68;0/1499.68,1/1499.68,2/1499.68;0/0;0/8,1/13,2/10;0/0;0/12,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/25,1/24,2/24;0/0;0/215,1/225,2/219
1559.83;0;77;1;3;0/1559.83;0/491.95,1/460.93,2/481.01;0/1559.83;0/1559.83,1/1559.83,2/1559.83;0/0;0/10,1/12,2/11;0/0;0/12,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/26,1/26,2/25;0/0;0/223,1/229,2/225
1619.89;0;79;1;3;0/1619.89;0/497.15,1/487.38,2/521.22;0/1619.89;0/1619.89,1/1619.89,2/1619.89;0/0;0/9,1/10,2/9;0/0;0/13,1/13,2/13;0/0;0/2,1/2,2/2;0/0;0/26,1/27,2/26;0/0;0/234,1/236,2/229
1680;0;82;1;3;0/1680;0/526.42,1/533.39,2/542.27;0/1680;0/1680,1/1680,2/1680;0/0;0/6,1/11,2/13;0/0;0/11,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/27,1/28,2/27;0/0;0/240,1/239,2/238
1739.86;0;86;1;3;0/1739.86;0/551.17,1/562.01,2/578.72;0/1739.86;0/1739.86,1/1739.86,2/1739.86;0/0;0/11,1/11,2/11;0/0;0/15,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/28,1/30,2/28;0/0;0/248,1/246,2/242
1799.78;0;90;1;3;0/1799.78;0/588.27,1/585.97,2/614.7;0/1799.78;0/1799.78,1/1799.78,2/1799.78;0/0;0/9,1/11,2/13;0/0;0/12,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/29,1/31,2/30;0/0;0/252,1/253,2/247
