#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
40.42;2;40.42;40.42;-9675.66
44.65;0;44.65;44.65;-8974.56
50.12;0;50.12;9.59;-10123.13
55.13;0;55.13;10.38;-10540.89
60.18;0;60.18;10.01;-10584.75
65.55;0;65.55;10.34;-10635.39
65.59;1;65.59;65.59;-9602.68
70.51;0;15.3;9.96;-11259.84
71.01;1;71.01;15.8;-8761.61
75.8;0;75.8;10.21;-11335.29
76.43;1;76.43;10.51;-10774.65
81.09;0;81.09;10.17;-11595.88
81.29;2;81.29;81.29;-9729.98
81.97;1;81.97;10.63;-11700.16
87.09;1;87.09;10.47;-12329.12
88.09;0;88.09;88.09;-9255.72
94.1;1;94.1;94.1;-9364.68
99.13;1;99.13;99.13;-9534.9
103.38;0;32.04;16.17;-8696.78
104.29;1;104.29;17.08;-10350.55
106.34;2;106.34;34.99;-9220.82
108.6;0;108.6;20.35;-9917.2
109.42;1;109.42;20.75;-10380.59
111.43;2;111.43;29.8;-9893.6
113.7;0;37.07;10.03;-10102.39
114.58;1;114.58;20.37;-11190
116.61;2;28.36;9.94;-9471.9
118.54;0;118.54;9.83;-10324.07
120;1;120;20.71;-12502.55
121.71;2;18.04;9.95;-10128.2
123.87;0;123.87;10.11;-10406.72
127.15;2;39.94;10.21;-10191.09
129.38;0;35.17;10.44;-10455.06
132.55;2;132.55;10.51;-10194.53
134.83;0;74.28;10.85;-10503.41
137.69;2;137.69;10.22;-10511.47
140;0;33.33;10.58;-10579.72
142.13;1;142.13;142.13;-9520
142.73;2;142.73;9.85;-10737.41
144.73;0;144.73;9.86;-10578.62
148.15;2;60.94;10.13;-10868.94
150.04;0;150.04;10;-10666.62
153.57;2;153.57;10.51;-11152.5
155.31;0;100.1;10.22;-10692.85
159.28;2;159.28;10.8;-11267.86
160.35;0;160.35;10.04;-10995.42
164.35;2;114.19;10.45;-11359.12
165.77;0;11.87;10.42;-10474.9
169.69;2;169.69;10.36;-11795.1
171.5;0;171.5;10.72;-11077.68
172.61;1;172.61;34.6;-11247.03
174.82;2;14.04;10.13;-8968.86
176.77;0;176.77;10.58;-11194.48
177.36;1;177.36;34.92;-11866.48
182.2;0;17.52;10.59;-11468.63
182.69;1;182.69;10.01;-12149.93
186.58;2;186.58;186.58;-9567.94
187.67;0;14.98;10.63;-9081.49
191.75;2;191.75;16.61;-9812.09
192.91;1;192.91;72.87;-9974.07
194.33;0;194.33;194.33;-8705.51
198.12;1;198.12;88.36;-10534.65
204.77;0;204.77;12.95;-10161.48
210.05;0;210.05;15.34;-10262.05
214.88;0;214.88;9.99;-10866.28
218.25;1;218.25;30.54;-10922.89
220;0;220;9.9;-11492.08
225.38;0;225.38;10.21;-11847.89
232.71;2;232.71;45.93;-9789.5
249.39;1;249.39;66.45;-9693.97
264.81;1;264.81;15.09;-9807.29
266.72;2;266.72;266.72;-9419.52
268.77;0;268.77;187.52;-11678.48
270.14;1;270.14;20.42;-9771.57
271.99;2;123.51;39.02;-9505.42
275.31;1;275.31;10.41;-10153.34
277;2;277;12.1;-10252.13
279.32;0;190.66;53.69;-9799.89
280.44;1;82.28;10.12;-10188.8
282.61;2;282.61;15.47;-11002.35
284.63;0;169.69;19.73;-9632.09
286.11;1;286.11;10.47;-10252.36
287.86;2;287.86;15.54;-11037.6
291.15;1;72.57;10.38;-10566.85
295.04;0;45.32;25.98;-9973.44
296.28;1;121.13;10.09;-10833.89
300.32;0;300.32;20.96;-10130.13
301.74;1;13.55;10.26;-10847.35
302.32;2;302.32;110.5;-10091.1
