#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;20;200;0;0;0;0;0;0.44
59.96;20;200;0;52.33;0;59.96;0;0.48
119.98;20;200;0;93.12;0;117.05;0;0.47
179.95;20;200;0;119.62;0;169.82;0;0.5
239.63;20;200;0;131.7;0;204.84;0;0.39
299.6;20;200;0;150.67;0;235.97;0;0.43
359.95;20;200;0;170.21;0;269.08;0;0.41
419.8;20;200;0;188.57;0;313.91;0;0.39
479.89;20;200;0;206.19;0;359.58;0;0.46
539.96;200;200;0;234.01;0;434.23;0;0.44
599.97;200;200;0;295.54;0;496.59;0;0.38
659.99;200;200;0;297.61;0;501.68;0;0.42
719.96;200;200;0;328.08;0;524.73;0;0.52
779.97;200;200;0;331.62;0;585.26;0;0.5
839.9;200;200;0;344.58;0;666.75;0;0.53
899.9;200;200;0;320.48;0;708.62;0;0.58
959.71;200;200;0;330.52;0;679.72;0;0.59
1019.72;200;200;0;332.93;0;749.13;0;0.57
1079.91;200;200;0;376.12;0;866.35;0;0.59
1139.91;200;200;0;369.29;0;814.9;0;0.6
1199.89;200;200;0;367.66;0;954.4;0;0.56
1260;200;200;0;387.78;0;932.68;0;0.51
1319.68;200;187;0;403.91;0;936.88;0;0.6
1379.71;200;168;0;466.78;0;1097.02;0;0.53
1439.94;200;154;0;466.13;0;1238.54;0;0.53
1499.67;200;139;0;504.64;0;1182.14;0;0.55
1559.98;200;126;0;501.59;0;1246.53;0;0.54
1619.91;200;119;0;496.83;0;1363.13;0;0.52
1679.88;200;107;0;521.33;0;1327.78;0;0.53
1739.74;200;96;0;556.35;0;1502.36;0;0.56
1799.62;200;87;0;560.72;0;1565.82;0;0.53
