#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;110.11;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.92;110.11;0.07;PP/0,TA/0.03,IS/0,PS/0.01,RB/0,OB/0.01,RP/0
119.94;110.11;0.12;PP/0,TA/0.07,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
179.82;110.11;0.15;PP/0.01,TA/0.08,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
239.82;110.11;0.17;PP/0.01,TA/0.08,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
299.96;110.11;0.19;PP/0.01,TA/0.08,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
359.87;110.11;0.21;PP/0.01,TA/0.09,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
419.7;110.11;0.23;PP/0.01,TA/0.1,IS/0,PS/0.05,RB/0,OB/0.02,RP/0
480;110.01;0.26;PP/0.02,TA/0.1,IS/0,PS/0.05,RB/0,OB/0.02,RP/0
539.69;110.01;0.28;PP/0.02,TA/0.11,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
599.91;110.01;0.3;PP/0.02,TA/0.11,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
659.82;109.88;0.35;PP/0.02,TA/0.12,IS/0,PS/0.06,RB/0,OB/0.02,RP/0
719.98;109.76;0.38;PP/0.02,TA/0.13,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
779.61;109.76;0.4;PP/0.02,TA/0.13,IS/0,PS/0.06,RB/0,OB/0.03,RP/0
839.82;109.76;0.43;PP/0.03,TA/0.14,IS/0,PS/0.07,RB/0,OB/0.03,RP/0
899.76;109.76;0.45;PP/0.03,TA/0.14,IS/0,PS/0.07,RB/0,OB/0.03,RP/0
959.84;109.76;0.47;PP/0.03,TA/0.15,IS/0,PS/0.07,RB/0,OB/0.03,RP/0
1019.89;109.76;0.49;PP/0.03,TA/0.15,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1079.76;109.76;0.52;PP/0.03,TA/0.16,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1139.82;103.99;0.55;PP/0.04,TA/0.16,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1199.93;101.18;0.58;PP/0.04,TA/0.17,IS/0,PS/0.07,RB/0,OB/0.04,RP/0
1259.7;98.37;0.6;PP/0.04,TA/0.18,IS/0,PS/0.08,RB/0,OB/0.04,RP/0
1319.75;93.69;0.62;PP/0.04,TA/0.18,IS/0,PS/0.08,RB/0,OB/0.04,RP/0
1379.86;91.35;0.64;PP/0.04,TA/0.18,IS/0,PS/0.08,RB/0,OB/0.04,RP/0
1439.71;88.54;0.66;PP/0.05,TA/0.19,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1499.6;81.36;0.71;PP/0.05,TA/0.2,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1559.98;78.4;0.72;PP/0.05,TA/0.2,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1619.73;73.72;0.75;PP/0.06,TA/0.21,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1679.81;70.6;0.77;PP/0.06,TA/0.21,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1739.91;67.32;0.79;PP/0.06,TA/0.21,IS/0,PS/0.08,RB/0,OB/0.05,RP/0
1799.91;65.08;0.82;PP/0.06,TA/0.22,IS/0,PS/0.09,RB/0,OB/0.06,RP/0
