#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;2
4.64;0;1
5.73;0;1
6.81;0;2
7.9;0;1
9.86;0;1
10.94;0;2
11.94;0;2
13.15;0;1
14.44;0;2
15.44;0;1
16.49;0;1
17.53;0;1
18.53;0;2
19.58;0;1
20.62;0;1
21.67;0;1
22.71;0;1
23.76;0;1
24.8;0;1
25.85;0;1
26.89;0;1
27.93;0;2
28.94;0;2
29.99;0;3
31.03;0;2
32.03;0;3
33.28;0;1
35.53;0;2
36.53;0;1
37.62;0;1
40;0;1
41.25;0;2
42.46;0;1
43.5;0;1
44.59;0;1
47.37;0;1
48.42;0;1
51.03;0;1
52.09;0;1
54.72;0;1
56.59;0;1
57.59;0;1
58.63;0;2
63.84;0;1
66.17;0;1
68.26;0;1
75.1;0;1
80;0;1
153.47;0;1
159.88;0;1
165.63;0;1
170.72;0;1
173.77;0;1
176.84;0;1
178.88;0;1
179.97;0;1
181.88;0;1
184.72;0;1
188.05;0;1
190.81;0;1
197.27;0;1
198.77;0;1
199.8;0;2
201.48;0;1
203.02;0;1
205.26;0;1
206.47;0;1
210.22;0;1
212.64;0;1
216.73;0;1
217.73;0;1
218.82;0;1
220.14;0;1
221.75;0;1
223.16;0;1
224.23;0;1
228.32;0;1
231.82;0;1
233.92;0;1
235.13;0;1
237.8;0;1
241.96;0;1
244.26;0;1
246.05;0;1
250.43;0;1
257.42;0;1
260.67;0;1
263.3;0;1
265.97;0;1
267.05;0;1
277.47;0;1
279.22;0;1
285.3;0;1
291.43;0;1
295.34;0;1
299.67;0;1
300.72;0;1
302.18;0;1
307.26;0;1
308.35;0;1
311.1;0;1
312.32;0;1
314.55;0;1
315.56;0;1
322.72;0;1
323.95;0;1
325;0;1
326.22;0;1
328.29;0;1
332.24;0;1
335.52;0;1
337.7;0;1
339.02;0;1
344.38;0;1
345.57;0;1
350.95;0;1
353.82;0;1
356.33;0;1
360.5;0;1
372.58;0;1
375.25;0;1
381.54;0;1
388.09;0;2
389.18;0;1
391.66;0;1
392.68;0;2
394.26;0;1
397.78;0;1
402.84;0;1
404.43;0;1
405.51;0;1
408.17;0;1
409.84;0;1
410.84;0;1
411.84;0;1
412.93;0;1
413.98;0;2
414.98;0;1
417.8;0;1
418.8;0;1
419.8;0;3
421.84;0;1
425.34;0;1
426.43;0;1
427.8;0;1
428.85;0;1
429.89;0;1
431.14;0;1
