#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;106.5;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0,RP/0
59.96;106.5;0.06;PP/0,TA/0.03,IS/0,PS/0,RB/0,OB/0,RP/0
119.74;106.5;0.08;PP/0,TA/0.03,IS/0,PS/0,RB/0,OB/0.01,RP/0
179.97;106.5;0.14;PP/0.01,TA/0.08,IS/0,PS/0.04,RB/0,OB/0.01,RP/0
239.96;106.5;0.17;PP/0.01,TA/0.08,IS/0,PS/0.04,RB/0,OB/0.01,RP/0
299.72;106.5;0.2;PP/0.01,TA/0.09,IS/0,PS/0.05,RB/0,OB/0.02,RP/0
359.79;106.5;0.23;PP/0.01,TA/0.11,IS/0,PS/0.05,RB/0,OB/0.02,RP/0
419.98;106.5;0.26;PP/0.01,TA/0.12,IS/0,PS/0.05,RB/0,OB/0.02,RP/0
479.95;106.5;0.28;PP/0.01,TA/0.12,IS/0,PS/0.05,RB/0,OB/0.02,RP/0
539.71;106.5;0.3;PP/0.01,TA/0.13,IS/0,PS/0.05,RB/0,OB/0.03,RP/0
599.86;106.5;0.34;PP/0.02,TA/0.13,IS/0,PS/0.05,RB/0,OB/0.03,RP/0
659.71;106.5;0.36;PP/0.02,TA/0.14,IS/0,PS/0.06,RB/0,OB/0.04,RP/0
719.89;106.5;0.38;PP/0.02,TA/0.15,IS/0,PS/0.06,RB/0,OB/0.04,RP/0
779.97;106.5;0.41;PP/0.02,TA/0.15,IS/0,PS/0.06,RB/0,OB/0.04,RP/0
839.99;106.5;0.43;PP/0.02,TA/0.16,IS/0,PS/0.06,RB/0,OB/0.04,RP/0
899.93;106.5;0.45;PP/0.02,TA/0.16,IS/0,PS/0.06,RB/0,OB/0.04,RP/0
959.71;106.5;0.47;PP/0.02,TA/0.16,IS/0,PS/0.06,RB/0,OB/0.05,RP/0
1019.64;106.5;0.49;PP/0.03,TA/0.17,IS/0,PS/0.07,RB/0,OB/0.05,RP/0
1079.9;106.5;0.51;PP/0.03,TA/0.17,IS/0,PS/0.07,RB/0,OB/0.05,RP/0
1139.73;106.5;0.53;PP/0.03,TA/0.17,IS/0,PS/0.07,RB/0,OB/0.05,RP/0
1199.79;106.5;0.56;PP/0.03,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.06,RP/0
1259.81;106.5;0.58;PP/0.03,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.06,RP/0
1319.71;106.5;0.6;PP/0.03,TA/0.18,IS/0,PS/0.07,RB/0,OB/0.06,RP/0
1379.71;106.5;0.64;PP/0.04,TA/0.2,IS/0,PS/0.08,RB/0,OB/0.06,RP/0
1439.9;106.5;0.66;PP/0.04,TA/0.2,IS/0,PS/0.08,RB/0,OB/0.06,RP/0
1499.87;106.5;0.68;PP/0.04,TA/0.2,IS/0,PS/0.08,RB/0,OB/0.06,RP/0
1559.93;106.5;0.7;PP/0.04,TA/0.21,IS/0,PS/0.08,RB/0,OB/0.07,RP/0
1619.98;106.5;0.72;PP/0.04,TA/0.21,IS/0,PS/0.08,RB/0,OB/0.07,RP/0
1679.79;106.5;0.76;PP/0.05,TA/0.22,IS/0,PS/0.08,RB/0,OB/0.07,RP/0
1739.79;106.5;0.78;PP/0.05,TA/0.23,IS/0,PS/0.08,RB/0,OB/0.07,RP/0
1799.94;106.5;0.81;PP/0.05,TA/0.23,IS/0,PS/0.09,RB/0,OB/0.07,RP/0
