#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;20;200;0;0;0;0;0;0.32
59.97;20;200;0;58.35;0;59.97;0;0.33
119.76;20;200;0;86.95;0;114.08;0;0.32
179.97;20;200;0;126.11;0;172.02;0;0.28
239.9;20;200;0;154.08;0;202.18;0;0.34
299.92;20;200;0;178.59;0;243.12;0;0.41
359.92;20;200;0;195.78;0;310.98;0;0.45
419.82;20;200;0;221.32;0;372.07;0;0.47
479.97;20;200;0;247.33;0;430.94;0;0.43
539.73;200;200;0;279.3;0;441.62;0;0.49
599.9;200;200;0;300.82;0;540.55;0;0.35
659.79;200;200;0;335.1;0;545.13;0;0.46
719.88;200;200;0;328.4;0;564.17;0;0.53
779.87;200;200;0;359.63;0;592.33;0;0.48
839.72;200;200;0;407.26;0;692.54;0;0.51
899.9;200;200;0;423.86;0;784.76;0;0.43
959.66;200;200;0;404.95;0;794.26;0;0.47
1019.81;200;200;0;421.84;0;791.79;0;0.51
1079.61;200;200;0;423.96;0;878.68;0;0.47
1139.62;200;200;0;446.5;0;871.27;0;0.53
1199.97;200;198;0;483.28;0;990.79;0;0.5
1259.95;200;199;0;465.63;0;1005.12;0;0.52
1319.94;200;181;0;492.3;0;1058.78;0;0.45
1379.62;200;168;0;508.4;0;1101.18;0;0.51
1439.9;200;157;0;520.78;0;1286.98;0;0.48
1499.79;200;147;0;511.85;0;1322.15;0;0.45
1559.97;200;141;0;550.21;0;1398.75;0;0.39
1619.92;200;129;0;442.41;0;1334.64;0;0.5
1679.61;200;121;0;494.32;0;1398.9;0;0.49
1739.96;200;108;0;495.31;0;1551.94;0;0.49
1799.98;200;102;0;515.9;0;1645.45;0;0.53
