#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
46.38;1;46.38;46.38;-9412.4
48.21;0;48.21;48.21;-8851.63
51.33;1;51.33;51.33;-9616.94
53.33;0;53.33;53.33;-8965.89
56.75;1;56.75;10.09;-10235.66
58.75;0;58.75;58.75;-9285.06
61.88;1;61.88;15.22;-8770.75
66.88;1;66.88;15.18;-10405.23
67.89;2;67.89;67.89;-9618.35
69.17;0;69.17;69.17;-9232.3
72.3;1;72.3;15.18;-10433.19
73.17;2;73.17;73.17;-9731.92
74.3;0;74.3;74.3;-9265.02
77.72;1;77.72;15.51;-10645.63
78.26;2;78.26;78.26;-9740.69
80;0;80;33.34;-9945.8
82.88;1;82.88;15.59;-10940.85
84.88;0;84.88;36.34;-10289
88.68;2;88.68;21.39;-9967.69
90.3;0;90.3;36.65;-10352.31
93.35;1;93.35;20.64;-10956.31
94.1;2;94.1;25.88;-10444.37
95.31;0;95.31;36.24;-10394.7
99.52;2;99.52;26.02;-10755.23
100.72;0;100.72;31.51;-10429.87
106.05;0;106.05;31.42;-10942.36
110.94;1;110.94;110.94;-9293.14
111.47;0;111.47;31.42;-11137.71
116.4;1;116.4;116.4;-9515.9
117.56;2;117.56;117.56;-9693.71
126.73;1;126.73;43.52;-10438.85
132.07;1;132.07;25.97;-9871.77
133.44;0;133.44;133.44;-8960.41
137.14;1;137.14;26.09;-10863.05
138.07;2;138.07;43.64;-10898.96
142.56;1;142.56;26.09;-11142.4
147.62;1;147.62;20.85;-11898.42
152.69;1;152.69;20.54;-11968.03
153.27;2;153.27;42.21;-9851.76
158.22;2;158.22;40.5;-10168.86
163.66;2;163.66;25.52;-10389.77
164.8;1;164.8;164.8;-9253.72
169.15;2;169.15;15.55;-11135.43
173.36;0;173.36;72.3;-10591.54
174.11;2;174.11;15.47;-11253.03
175.2;1;128.54;32.59;-10543.47
184.53;2;184.53;20.47;-11550.95
188.69;0;188.69;77.17;-9138.47
190.04;2;190.04;20.84;-11774.75
190.27;1;79.21;37.18;-9722.57
194.11;0;110.89;77.63;-9389.36
194.99;2;194.99;20.68;-11841.57
195.69;1;126.48;37.05;-10012.99
199.27;0;104.84;65.75;-10041.4
201.27;1;201.27;36.09;-10164.99
201.89;2;201.89;112.88;-9741.46
204.69;0;130.06;31;-10100.97
206.69;1;206.69;31.09;-10248.15
207.31;2;207.31;207.31;-9623.2
210.11;0;210.11;21;-10438.58
212.11;1;212.11;21.47;-10383.91
217.11;0;217.11;126.47;-9940.49
217.65;1;27.01;21.59;-9854.85
217.69;2;128.69;27.54;-9861.86
222.69;1;53.49;21.21;-10433.28
227.73;1;121.64;20.88;-10507.67
228.11;2;228.11;32.88;-9969.11
232.28;0;232.28;232.28;-9014.74
232.86;1;232.86;20.59;-10583.81
233.19;2;233.19;33.62;-8735.32
238.23;1;238.23;20.54;-10710.15
238.61;2;142.93;36.39;-10470.12
242.49;0;242.49;42.92;-10764.37
243.65;1;47.59;20.59;-10907.43
249.07;1;149.23;20.97;-11766.89
254.58;1;153.53;21.39;-11851.07
257.65;0;83.97;45.39;-11148.73
260;1;17.39;16.97;-11549.99
263.12;0;146.65;45.85;-11629.21
266.63;1;266.63;118.96;-11872.86
268.67;2;268.67;268.67;-9447.41
272.13;1;272.13;272.13;-9390.85
274.2;2;274.2;274.2;-9564.02
288.44;0;288.44;192.77;-9665.51
289.61;2;71.92;25.96;-12421.06
293.97;0;293.97;293.97;-8799.89
297.54;1;63.93;42.76;-9954.83
299.28;0;299.28;299.28;-8919.32
304.55;0;76.45;61.95;-10947.05
309.89;0;55.1;51.86;-11754.62
312.64;1;100.38;49.41;-9685.96
319.64;0;130.54;30.87;-11355.61
330.08;1;191.94;70.03;-11811.9
331.61;2;132.04;98.01;-9688.56
335.48;1;117.42;86.04;-10551.93
336.66;2;336.66;336.66;-9489.54
341.5;0;341.5;78.27;-9557.21
342.08;2;342.08;103.05;-9755.82
356.97;0;107.52;47.04;-10077.01
360.95;1;249.9;63.11;-10413.51
362.52;2;362.52;32.09;-9662.41
366.36;1;77.58;53.47;-8624.61
367.4;0;214.32;31.41;-10907.73
367.94;2;367.94;36;-9705.15
371.19;1;107.54;40.75;-9287.73
373.4;2;373.4;36.37;-9982.7
376.9;1;181.68;46.46;-8914.79
378.61;2;378.61;36.16;-10003.52
382.35;1;382.35;46.5;-9790.89
383.86;2;383.86;21;-10007.66
387.4;1;175.13;26.39;-10095.95
389.45;2;126.22;21.17;-10626.5
392.78;1;302.15;26.35;-10188.08
394.69;2;134.65;21.17;-11440.19
396.74;0;396.74;91.85;-10229.09
398.29;1;398.29;26.77;-10272.99
403.7;1;30.18;26.76;-10535.62
406.83;0;406.83;406.83;-8983.02
407.53;2;407.53;189.47;-11077.13
409;1;409;26.6;-11342.55
412.95;2;412.95;123.27;-9980.48
417.95;2;349.73;33.76;-8379.09
422.3;0;422.3;29.32;-10006.35
427.92;0;321.82;30.85;-10055.1
427.96;2;427.96;24.14;-9702.57
432.92;0;432.92;25.81;-10310.89
433.25;2;433.25;25.43;-9741.07
436.39;1;436.39;436.39;-9043.04
437.97;0;437.97;15.43;-10915.08
438.3;2;381.18;25.18;-10196.51
441.9;1;441.9;169.48;-9884.16
443.02;0;443.02;15.06;-11177.92
443.35;2;391.65;25.15;-10401.3
448.1;0;448.1;14.85;-11189.88
448.43;2;448.43;20.18;-10922.83
452.16;1;452.16;53.76;-10688.98
453.14;0;453.14;14.85;-11252.86
453.47;2;453.47;20.18;-11976.23
458.76;0;458.76;15.41;-11323.37
464.27;0;346.55;15.84;-11650.65
471.16;0;305.98;266.31;-9614.48
476.66;0;409.37;119.62;-8672.61
481.75;0;481.75;375.65;-10788.11
488.29;2;488.29;93.55;-9533.93
491.59;1;289.37;54.9;-11449.25
497.05;1;166.61;104.07;-9965.34
498.7;2;498.7;398.85;-10706.92
