#TimeStamp;TripTime;Type
28;10;O
37;17;O
43;18;O
56;23;O
63;22;O
67;22;O
147;17;O
154;19;O
163;19;O
194;14;O
255;21;O
275;25;O
312;20;O
320;25;O
328;17;O
345;21;O
383;23;O
385;23;O
435;25;O
472;28;O
479;15;O
511;21;O
513;22;O
520;21;O
609;16;O
612;29;O
629;22;O
654;18;O
694;16;O
716;13;O
728;23;O
797;15;O
826;21;O
827;19;O
844;29;O
850;20;O
853;21;O
905;29;O
921;19;O
935;22;O
958;17;O
970;18;O
1001;17;O
1040;24;O
1058;20;O
1080;24;O
1105;17;O
1110;25;O
1125;18;O
1129;15;O
1153;7;O
1191;22;O
1213;13;O
1237;18;O
1239;15;O
1242;19;O
1306;14;O
1323;22;O
1344;14;O
1364;16;O
1401;27;O
1407;12;O
1408;17;O
1409;24;O
1445;24;O
1486;30;O
1496;7;O
1497;22;O
1532;14;O
1559;17;O
1562;31;O
1564;20;O
1602;16;O
1613;25;O
1616;27;O
1637;17;O
1652;27;O
1682;31;O
1689;22;O
1703;23;O
1717;27;O
1722;26;O
1745;21;O
1770;22;O
1781;17;O
