#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.96;0;0;1;3;0/59.96;0/45.44,1/50.33,2/48.05;0/59.96;0/59.96,1/59.96,2/59.96;0/0;0/8,1/11,2/13;0/0;0/14,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/3,2/3
119.84;0;0;1;3;0/119.84;0/53.29,1/56.9,2/53.61;0/119.84;0/119.84,1/119.84,2/119.84;0/0;0/8,1/13,2/14;0/0;0/14,1/19,2/18;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/15,1/14,2/14
179.99;0;3;1;3;0/179.99;0/59.59,1/69.97,2/58.57;0/179.99;0/179.99,1/179.99,2/179.99;0/0;0/8,1/10,2/13;0/0;0/14,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/26,1/23,2/25
239.91;0;5;1;3;0/239.91;0/63.8,1/95.39,2/64.73;0/239.91;0/239.91,1/239.91,2/239.91;0/0;0/15,1/7,2/12;0/0;0/24,1/13,2/20;0/0;0/2,1/2,2/2;0/0;0/1,1/2,2/2;0/0;0/37,1/31,2/36
299.92;0;7;1;3;0/299.92;0/75.19,1/100.06,2/103.8;0/299.92;0/299.92,1/299.92,2/299.92;0/0;0/13,1/11,2/10;0/0;0/16,1/17,2/17;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/3;0/0;0/47,1/42,2/41
359.78;0;10;1;3;0/359.78;0/104.77,1/106.87,2/108.21;0/359.78;0/359.78,1/359.78,2/359.78;0/0;0/12,1/9,2/10;0/0;0/15,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/3;0/0;0/54,1/53,2/52
419.79;0;13;1;3;0/419.79;0/123.97,1/113.44,2/126.18;0/419.79;0/419.79,1/419.79,2/419.79;0/0;0/10,1/10,2/12;0/0;0/14,1/13,2/13;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/4;0/0;0/62,1/64,2/61
479.88;0;17;1;3;0/479.88;0/130.73,1/131.18,2/140.75;0/479.88;0/479.88,1/479.88,2/479.88;0/0;0/9,1/6,2/12;0/0;0/13,1/13,2/13;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/6;0/0;0/74,1/73,2/71
539.94;0;19;1;3;0/539.94;0/138.03,1/135.31,2/188.41;0/539.94;0/539.94,1/539.94,2/539.94;0/0;0/10,1/11,2/11;0/0;0/14,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/7,1/5,2/7;0/0;0/84,1/85,2/74
599.97;0;21;1;3;0/599.97;0/142.71,1/161.51,2/200.87;0/599.97;0/599.97,1/599.97,2/599.97;0/0;0/8,1/6,2/11;0/0;0/12,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/8;0/0;0/96,1/91,2/83
659.91;0;24;1;3;0/659.91;0/166.03,1/169.94,2/221.54;0/659.91;0/659.91,1/659.91,2/659.91;0/0;0/7,1/8,2/12;0/0;0/11,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/9;0/0;0/103,1/102,2/92
719.89;0;28;1;3;0/719.89;0/193.32,1/177.36,2/262.67;0/719.89;0/719.89,1/719.89,2/719.89;0/0;0/9,1/6,2/10;0/0;0/12,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/10,1/8,2/10;0/0;0/110,1/113,2/95
779.86;0;31;1;3;0/779.86;0/226.29,1/182.23,2/288.79;0/779.86;0/779.86,1/779.86,2/779.86;0/0;0/6,1/7,2/10;0/0;0/12,1/11,2/13;0/0;0/2,1/2,2/2;0/0;0/11,1/8,2/12;0/0;0/116,1/125,2/103
839.78;0;34;1;3;0/839.78;0/233.23,1/188.45,2/297.14;0/839.78;0/839.78,1/839.78,2/839.78;0/0;0/9,1/6,2/10;0/0;0/14,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/12,1/9,2/13;0/0;0/127,1/136,2/113
899.74;0;36;1;3;0/899.74;0/252.12,1/194.55,2/304.13;0/899.74;0/899.74,1/899.74,2/899.74;0/0;0/10,1/11,2/9;0/0;0/16,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/13,1/10,2/13;0/0;0/135,1/147,2/125
959.95;0;39;1;3;0/959.95;0/277.5,1/209.71,2/310.04;0/959.95;0/959.95,1/959.95,2/959.95;0/0;0/7,1/12,2/9;0/0;0/12,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/14,1/11,2/14;0/0;0/143,1/156,2/136
