#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.36
59.97;200;200;0;52.25;0;59.97;0;0.36
119.94;200;200;0;93.75;0;119.94;0;0.29
179.83;200;200;0;127.66;0;163.22;0;0.26
239.71;200;200;0;170.78;0;212.47;0;0.27
299.67;200;200;0;193.27;0;257.07;0;0.31
359.8;200;200;0;227.98;0;305.88;0;0.25
419.81;200;200;0;282.35;0;351.99;0;0.28
479.97;200;200;0;306.09;0;362.33;0;0.36
539.99;200;200;0;298.87;0;415.62;0;0.3
599.98;200;200;0;300.62;0;459.21;0;0.34
659.64;200;200;0;323.63;0;479.41;0;0.36
719.93;200;200;0;320.92;0;530.28;0;0.38
779.75;200;200;0;337.01;0;603.21;0;0.34
839.67;200;200;0;352.39;0;653.37;0;0.36
899.99;200;200;0;344.66;0;649.7;0;0.4
959.89;200;200;0;368.16;0;772.96;0;0.33
1019.95;200;200;0;389.47;0;826.49;0;0.3
1079.66;200;200;0;392.77;0;861.5;0;0.35
1139.85;200;200;0;407.26;0;956.08;0;0.29
1199.88;200;200;0;392.94;0;951.76;0;0.38
1259.86;200;200;0;377.55;0;889.89;0;0.44
1319.86;200;199;0;432.27;0;1097.19;0;0.42
1379.92;200;189;0;398.43;0;1070.58;0;0.42
1439.96;200;172;0;380.45;0;1043.95;0;0.37
1499.96;200;162;0;425.02;0;1231.26;0;0.35
1559.63;200;155;0;422.49;0;1292.09;0;0.4
1620;200;142;0;423.24;0;1320.83;0;0.35
1679.62;200;137;0;462.79;0;1380.78;0;0.34
1739.98;200;127;0;440.48;0;1394.51;0;0.41
1799.77;200;115;0;431.33;0;1436.39;0;0.43
