#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;93.3;0.03;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.93;95.64;0.1;PP/0.01,TA/0.04,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.96;98.65;0.25;PP/0.03,TA/0.14,IS/0,PS/0.08,RB/0,OB/0.02,RP/0
179.74;98.65;0.32;PP/0.03,TA/0.19,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
239.92;98.65;0.35;PP/0.03,TA/0.2,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
299.97;98.65;0.39;PP/0.03,TA/0.21,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
359.83;98.65;0.41;PP/0.04,TA/0.22,IS/0,PS/0.13,RB/0,OB/0.02,RP/0
419.7;98.65;0.45;PP/0.04,TA/0.24,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
479.82;98.65;0.48;PP/0.04,TA/0.24,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
539.91;98.65;0.51;PP/0.04,TA/0.26,IS/0,PS/0.14,RB/0,OB/0.03,RP/0
599.94;98.65;0.54;PP/0.04,TA/0.26,IS/0,PS/0.14,RB/0,OB/0.03,RP/0
659.99;98.5;0.58;PP/0.05,TA/0.28,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
719.93;98.17;0.61;PP/0.05,TA/0.29,IS/0,PS/0.15,RB/0,OB/0.04,RP/0
779.98;98.04;0.64;PP/0.05,TA/0.3,IS/0,PS/0.15,RB/0,OB/0.04,RP/0
840;97.9;0.68;PP/0.06,TA/0.3,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
899.86;97.8;0.7;PP/0.06,TA/0.31,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
959.79;97.8;0.73;PP/0.06,TA/0.32,IS/0,PS/0.16,RB/0,OB/0.05,RP/0
1019.85;97.8;0.76;PP/0.06,TA/0.32,IS/0,PS/0.16,RB/0,OB/0.05,RP/0
1079.78;97.8;0.78;PP/0.07,TA/0.33,IS/0,PS/0.16,RB/0,OB/0.05,RP/0
1139.86;97.8;0.8;PP/0.07,TA/0.33,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1199.86;97.8;0.83;PP/0.07,TA/0.34,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1259.8;97.31;0.86;PP/0.07,TA/0.35,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1319.97;97.18;0.88;PP/0.07,TA/0.35,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1379.91;96.94;0.91;PP/0.08,TA/0.36,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1439.7;96.68;0.93;PP/0.08,TA/0.37,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1499.85;96.59;0.95;PP/0.08,TA/0.37,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1559.94;96.52;0.98;PP/0.08,TA/0.37,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1619.81;96.5;1;PP/0.09,TA/0.38,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1679.59;96.5;1.02;PP/0.09,TA/0.38,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1739.98;96.5;1.04;PP/0.09,TA/0.39,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
1799.96;96.5;1.07;PP/0.09,TA/0.4,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
