#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.64;0;2
5.76;0;1
6.85;0;2
7.85;0;2
8.9;0;2
9.94;0;1
10.99;0;1
12.03;0;1
13.07;0;2
14.12;0;2
15.12;0;1
16.21;0;3
17.25;0;1
18.25;0;1
19.3;0;2
20.34;0;4
21.34;0;2
22.39;0;1
23.4;0;3
24.85;0;1
25.98;0;3
27.77;0;1
29.06;0;1
30.42;0;1
31.69;0;2
32.77;0;1
34.15;0;1
35.18;0;2
37.56;0;2
38.56;0;1
39.6;0;2
40.65;0;1
45.02;0;1
46.93;0;1
48.71;0;1
50.71;0;1
55.11;0;1
58.27;0;1
61.77;0;1
64.3;0;1
65.57;0;1
66.93;0;1
70.26;0;1
71.31;0;1
79.01;0;1
80.16;0;1
87.85;0;1
90.41;0;1
91.53;0;1
93.33;0;1
99.5;0;1
101.19;0;1
102.28;0;1
104.33;0;1
105.41;0;1
108.5;0;1
110.03;0;1
111.63;0;1
112.7;0;1
114.3;0;1
115.33;0;1
116.97;0;1
122.95;0;1
124.19;0;1
125.42;0;1
126.61;0;1
127.93;0;2
129.29;0;1
130.6;0;1
133.7;0;1
134.77;0;1
138.77;0;1
139.84;0;1
143.32;0;1
144.65;0;2
146.41;0;1
148.77;0;1
150.01;0;1
151.24;0;1
152.51;0;2
155.18;0;1
160.26;0;1
163.34;0;1
164.43;0;1
166.93;0;1
170.42;0;1
171.57;0;1
173.59;0;1
176.03;0;1
179.85;0;1
181.23;0;1
182.62;0;1
183.65;0;1
185.26;0;1
188.76;0;1
192.77;0;1
193.86;0;1
195.82;0;1
196.91;0;1
198;0;1
200.04;0;1
205.55;0;1
206.6;0;1
207.75;0;1
209;0;1
210.05;0;2
216.89;0;1
219.11;0;1
220.39;0;1
221.71;0;1
223.61;0;1
237.22;0;1
238.64;0;1
239.71;0;1
240.71;0;1
241.78;0;1
245.87;0;1
251.36;0;1
252.57;0;1
253.82;0;1
257.55;0;1
258.66;0;1
261.53;0;1
262.82;0;1
267.72;0;1
271.37;0;1
273.91;0;1
275;0;1
277.91;0;1
278.98;0;2
280.09;0;1
281.28;0;2
284.78;0;1
286.33;0;1
289.45;0;1
290.54;0;1
291.95;0;1
294.41;0;1
295.58;0;1
296.87;0;3
298.53;0;1
299.54;0;3
300.79;0;1
302.01;0;2
303.27;0;1
304.34;0;2
305.48;0;1
306.5;0;2
307.86;0;1
308.95;0;2
