#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
53.05;0;53.05;53.05;-9290.76
57.55;0;57.55;57.55;-9332.3
62;0;62;8.81;-10230.41
65.88;0;65.88;12.69;-9959.92
69.76;0;69.76;12.17;-10372.85
74.27;0;74.27;12.22;-10380.57
76.1;2;76.1;76.1;-9735.18
78.39;0;78.39;12.3;-10452.2
80.46;2;80.46;80.46;-9750.05
82.48;0;82.48;12.31;-10640.87
84.27;2;84.27;14.09;-8748.36
84.55;1;84.55;10.21;-10306.98
86.27;0;16.09;11.93;-10561.59
88.5;2;88.5;12.04;-10277.76
90.46;0;37.27;12;-12375.76
91.31;1;91.31;91.31;-9312.76
92.64;2;92.64;12.13;-10336.01
95.66;1;95.66;95.66;-9536.64
97.01;2;97.01;12.45;-10432.12
97.31;0;97.31;97.31;-9121.3
99.7;1;99.7;99.7;-9585.73
101.28;2;101.28;12.69;-11325.86
101.37;0;101.37;101.37;-9237.95
104.98;2;104.98;12.29;-11607.1
105.42;0;105.42;18.85;-9898.43
107.46;1;107.46;18.86;-10250.41
109.39;2;7.69;7.64;-10605.37
111.79;1;111.79;20.13;-10262.09
120.09;2;120.09;120.09;-9634.43
131.97;2;131.97;30.64;-9811.38
138.61;1;138.61;138.61;-9495.42
140;2;55.45;28.16;-10084.02
144.11;2;144.11;23.94;-10238.02
148.03;2;50.37;15.81;-10439.85
152.2;2;152.2;11.94;-10664.46
154.91;1;154.91;16.1;-11965.81
155.45;0;155.45;155.45;-9146.01
156.42;2;156.42;12.11;-10867.31
160.85;2;22.05;12.5;-11766.13
163.98;0;163.98;15.62;-10836.21
165.11;2;165.11;12.71;-12457.44
168.37;0;168.37;12.8;-11157.08
178.58;2;178.58;69.14;-9843.64
180.51;1;180.51;80.76;-10445.33
184.72;1;184.72;76.93;-9913.18
186.68;2;186.68;21.36;-9987.64
190.21;0;190.21;190.21;-8709.63
192.72;1;192.72;14.02;-9923.76
194.6;0;194.6;92.9;-11067.78
197.22;1;95.89;16.67;-10050.35
201.19;1;201.19;16.4;-10447.97
205.36;1;205.36;12.53;-10674.78
206.65;0;206.65;19.85;-11839.39
209.54;1;147.5;12.28;-11325.81
214.49;0;19.82;19.77;-11466.33
218.78;0;13.38;12.04;-9083.09
223.57;0;26.31;8.79;-9855.55
223.57;1;223.57;111.73;-10132.26
227.58;0;20.84;8.38;-10934.18
239.63;1;84.4;29.8;-11567.45
243.99;1;51.16;28.79;-8931.74
248.42;1;156.76;24.8;-9343.5
252.18;1;37.4;12.51;-9444.76
254.8;2;254.8;254.8;-9564.15
256.75;1;101.18;12.72;-9799.07
259.26;2;259.26;6.75;-9871.27
260.84;1;260.84;12.38;-9795.53
