#TimeStamp;Bot;Pod;OutputStation
46.31;2;57;0
49.96;2;57;0
52.36;5;59;1
56.18;5;59;1
57.24;4;3;0
60.4;5;59;1
61.29;4;3;0
61.34;3;34;2
64.82;5;59;1
65.34;4;3;0
65.38;3;34;2
69.24;5;59;1
69.38;4;3;0
69.8;3;34;2
73.38;5;59;1
73.43;4;3;0
74.22;3;34;2
77.43;5;59;1
78.64;3;34;2
81.47;5;59;1
86.09;1;13;2
88.92;0;31;1
90.04;1;13;2
93.03;0;31;1
94.17;1;13;2
97.08;0;31;1
98.53;1;13;2
101.04;0;31;1
102.59;1;13;2
105.09;0;31;1
105.37;2;48;0
106.42;1;13;2
109.09;0;31;1
109.58;2;48;0
113.14;0;31;1
113.6;2;48;0
117.2;0;31;1
117.76;2;48;0
121.62;0;31;1
121.67;2;48;0
125.67;0;31;1
129.71;0;31;1
137.2;5;47;1
138.91;3;25;2
141.4;5;47;1
142.9;3;25;2
145.53;5;47;1
147.15;3;25;2
149.58;5;47;1
151.57;3;25;2
153.68;5;47;1
155.68;3;25;2
156.39;4;7;0
157.74;5;47;1
159.72;3;25;2
160.44;4;7;0
162.18;5;47;1
164.79;4;7;0
166.6;5;47;1
169.06;4;7;0
171.02;5;47;1
173.3;4;7;0
175.3;5;47;1
177.32;4;7;0
181.37;4;7;0
187.29;0;3;1
188.65;1;46;2
191.64;0;3;1
192.83;1;46;2
195.92;0;3;1
197.25;1;46;2
201.58;1;46;2
205.45;1;46;2
209.64;1;46;2
213.69;1;46;2
217.48;2;55;0
218.01;1;46;2
221.73;2;55;0
222.2;1;46;2
226.15;2;55;0
226.62;1;46;2
230.26;2;55;0
230.89;1;46;2
235.31;1;46;2
239.73;1;46;2
244;1;46;2
248.08;1;46;2
249.11;5;57;1
256.16;3;29;2
260.46;3;29;2
262.88;0;7;1
264.84;3;29;2
266.99;0;7;1
267.83;4;1;0
268.86;3;29;2
271.37;0;7;1
271.88;4;1;0
272.91;3;29;2
276.11;4;1;0
280.3;4;1;0
284.26;4;1;0
288.67;4;1;0
293.02;4;1;0
297.13;4;1;0
301.35;4;1;0
305.77;4;1;0
306.88;1;54;2
310.19;4;1;0
310.61;5;40;1
311.01;1;54;2
314.61;4;1;0
314.98;5;40;1
315.4;1;54;2
318.77;4;1;0
319.4;5;40;1
319.44;1;54;2
322.58;4;1;0
323.33;5;40;1
323.44;1;54;2
326.83;4;1;0
327.44;5;40;1
327.44;1;54;2
331.25;4;1;0
331.49;5;40;1
331.49;1;54;2
335.49;4;1;0
335.62;5;40;1
335.62;1;54;2
339.62;4;1;0
340.04;1;54;2
342.55;0;51;1
344.46;1;54;2
346.88;2;27;0
346.88;0;51;1
348.88;1;54;2
350.88;0;51;1
350.93;2;27;0
352.93;1;54;2
354.93;2;27;0
354.93;0;51;1
356.97;1;54;2
358.7;2;27;0
358.97;0;51;1
361.05;1;54;2
362.97;2;27;0
365.49;1;54;2
366.69;2;27;0
370.75;2;27;0
372.86;3;11;2
375.02;2;27;0
377.02;3;11;2
379.44;2;27;0
380.7;3;11;2
383.49;2;27;0
385.06;3;11;2
387.53;2;27;0
389.11;3;11;2
393.16;3;11;2
397.2;3;11;2
400.72;5;6;1
401.25;3;11;2
404.78;5;6;1
405.29;3;11;2
408.93;5;6;1
413.17;5;6;1
417.21;5;6;1
430.48;1;15;2
432.03;0;2;1
434.52;1;15;2
436.43;0;2;1
440.61;0;2;1
441.24;2;1;0
444.36;0;2;1
448.73;0;2;1
452.86;0;2;1
457.03;4;33;0
457.03;0;2;1
460.88;4;33;0
461.07;0;2;1
464.49;3;19;2
465.04;4;33;0
465.49;0;2;1
468.2;3;19;2
469.09;4;33;0
469.55;0;2;1
472.28;3;19;2
473.51;4;33;0
473.61;0;2;1
