#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.78;0;1;1;3;0/59.78;0/48.08,1/59.78,2/47.33;0/59.78;0/59.78,1/59.78,2/59.78;0/0;0/13,1/12,2/10;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/0;0/0;0/4,1/0,2/4
119.67;0;4;1;3;0/119.67;0/77.73,1/68.98,2/62.57;0/119.67;0/119.67,1/119.67,2/119.67;0/0;0/10,1/10,2/12;0/0;0/18,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/1;0/0;0/11,1/14,2/15
179.65;0;6;1;3;0/179.65;0/99.04,1/96.87,2/107.41;0/179.65;0/179.65,1/179.65,2/179.65;0/0;0/11,1/9,2/9;0/0;0/15,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/21,1/22,2/19
239.79;0;10;1;3;0/239.79;0/109.5,1/120.48,2/121.44;0/239.79;0/239.79,1/239.79,2/239.79;0/0;0/15,1/11,2/14;0/0;0/16,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/3;0/0;0/35,1/31,2/31
299.97;0;14;1;3;0/299.97;0/162.03,1/145.32,2/144.81;0/299.97;0/299.97,1/299.97,2/299.97;0/0;0/13,1/9,2/13;0/0;0/14,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/4;0/0;0/37,1/41,2/41
359.84;0;17;1;3;0/359.84;0/203.57,1/175.8,2/192.38;0/359.84;0/359.84,1/359.84,2/359.84;0/0;0/12,1/11,2/10;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/5;0/0;0/41,1/48,2/44
419.97;0;22;1;3;0/419.97;0/256.12,1/197.47,2/207.69;0/419.97;0/419.97,1/419.97,2/419.97;0/0;0/9,1/9,2/10;0/0;0/17,1/13,2/13;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/7;0/0;0/43,1/58,2/56
479.97;0;25;1;3;0/479.97;0/299.16,1/222.54,2/244.26;0/479.97;0/479.97,1/479.97,2/479.97;0/0;0/9,1/10,2/9;0/0;0/18,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/8;0/0;0/48,1/67,2/62
539.87;0;28;1;3;0/539.87;0/304.82,1/263.4,2/254.85;0/539.87;0/539.87,1/539.87,2/539.87;0/0;0/9,1/7,2/10;0/0;0/13,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/9;0/0;0/62,1/72,2/75
599.97;0;31;1;3;0/599.97;0/327.46,1/274.6,2/281.74;0/599.97;0/599.97,1/599.97,2/599.97;0/0;0/11,1/10,2/9;0/0;0/14,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/11,1/10,2/10;0/0;0/71,1/86,2/84
