#TimeStamp;TripTime;Type
40;24;O
41;22;O
47;26;O
59;14;O
75;20;O
76;13;O
136;15;O
145;25;O
150;15;O
169;19;O
178;24;O
208;27;O
222;22;O
234;28;O
248;37;O
271;27;O
280;18;O
284;33;O
321;16;O
340;29;O
360;17;O
366;25;O
380;26;O
402;23;O
422;18;O
431;15;O
448;19;O
450;28;O
500;23;O
518;17;O
540;21;O
545;25;O
572;18;O
607;22;O
648;80;O
678;24;O
683;20;O
683;18;O
719;12;O
734;11;O
736;25;O
762;13;O
774;31;O
783;31;O
785;12;O
804;21;O
843;16;O
874;22;O
881;21;O
893;13;O
917;24;O
944;23;O
956;25;O
994;22;O
996;37;O
1023;21;O
1024;21;O
1031;13;O
1080;18;O
1092;21;O
1100;27;O
1117;22;O
1121;31;O
1128;29;O
1199;21;O
1226;24;O
1231;31;O
1242;22;O
1247;23;O
1283;12;O
1291;27;O
1305;25;O
1320;26;O
1323;21;O
1325;24;O
1359;18;O
1369;18;O
1403;24;O
1410;31;O
1425;6;O
1449;6;O
1456;17;O
1466;33;O
1497;10;O
1524;6;O
1524;26;O
1534;27;O
1541;28;O
1560;23;O
1574;14;O
1596;27;O
1616;34;O
1632;27;O
1643;22;O
1644;20;O
1650;29;O
1681;25;O
1710;19;O
1734;22;O
1735;45;O
1736;26;O
1755;24;O
1765;14;O
1790;13;O
