#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
53.04;1;53.04;53.04;-9615.23
53.21;0;53.21;53.21;-9248.25
61.14;0;61.14;61.14;-9032.72
65.12;0;65.12;65.12;-9324.72
69.71;2;69.71;69.71;-9616.53
72.34;1;72.34;72.34;-9561.69
74.01;2;74.01;74.01;-9642.07
77.26;0;77.26;16.06;-9766.25
78.35;2;78.35;78.35;-9740.6
82.52;2;82.52;82.52;-9722.56
84.44;1;84.44;14.56;-10207.97
86.44;2;86.44;21.19;-8882.06
88.4;1;88.4;15.78;-10450.07
90.84;2;90.84;20.96;-10235.98
92.79;1;92.79;8.02;-11062.99
95.11;2;95.11;20.81;-10643.32
99.3;2;99.3;20.7;-11042.68
103.69;2;103.69;20.93;-12318.64
111.92;2;19.07;18.65;-12352.02
123.59;1;123.59;123.59;-9280.49
131.72;2;131.72;131.72;-9622.79
135.57;0;135.57;135.57;-8764.27
135.68;1;52.91;11.93;-8675.91
135.68;2;135.68;135.68;-9694.84
139.66;0;139.66;74.41;-9712.72
139.81;2;139.81;48.92;-11029.83
143.87;2;143.87;44.5;-11511.64
147.87;2;147.87;35.79;-9855.98
150;1;150;57.15;-10201.15
151.87;2;151.87;28.12;-9873.93
153.91;1;153.91;5.9;-9871.02
155.87;2;155.87;24.1;-9900.5
159.8;0;159.8;28.03;-10489.36
160;2;160;24.19;-10013.24
163.86;0;64.5;28.19;-10865.39
164.04;2;79.28;24.19;-10060.18
168.02;0;93.72;28.21;-13083.45
168.17;2;168.17;24.26;-10362.42
172.12;2;172.12;24.11;-10423.9
176.12;2;176.12;24.06;-11500.85
180.34;2;180.34;24.23;-11531.74
184.75;2;32.69;24.6;-11755.48
186.94;0;186.94;186.94;-8906.92
190.55;1;190.55;66.8;-10532.8
190.94;0;190.94;137.38;-10537.03
195.22;1;195.22;8.01;-10178.66
195.26;0;195.26;31.26;-11127.09
196.35;2;196.35;196.35;-9629.84
199.27;1;199.27;8.33;-10192.26
200.56;2;123.25;96.77;-8958.73
203.18;0;203.18;22.8;-10613.48
203.18;1;203.18;7.92;-11417.76
207.18;0;207.18;19.97;-11164.08
208.73;2;96.65;40.49;-9893.9
211.56;0;24.35;20.3;-9604.57
213.35;2;73.5;41.07;-9728.28
217.11;1;217.11;217.11;-9445.03
225.69;2;45.31;40.89;-12060.08
233.57;1;233.57;20.02;-10132.68
237.65;1;237.65;20.35;-10463.28
238.28;2;34.81;34.76;-9847.05
240.42;0;240.42;240.42;-9098.9
246.66;2;8.3;7.97;-9778.03
252.67;0;252.67;45.15;-9789.04
260.45;0;260.45;26.76;-11491.1
273.9;2;273.9;93.52;-9893.08
276.21;1;276.21;72.74;-9667.15
285.88;2;285.88;285.88;-9525.39
288.32;1;288.32;14.35;-9784.77
288.69;0;288.69;120.62;-11195.65
292.67;1;292.67;16.42;-10035.6
292.73;0;292.73;81.13;-9834.98
293.97;2;293.97;80.41;-10847.17
296.73;1;296.73;8.04;-10158.11
298.64;2;298.64;60.28;-10375.38
300.61;1;164.8;7.88;-10464.5
302.56;2;302.56;28.59;-11124.58
304.88;1;30.91;8.11;-10608.52
308.74;0;308.74;47.96;-10159.1
308.88;1;308.88;8;-11044.16
312.91;0;79.22;26.67;-10789.75
312.97;1;189.22;8.04;-11202.75
317.02;0;64.29;28.29;-11209.51
317.35;1;24.62;8.38;-11542.76
321.39;0;20.51;20.47;-11561.72
321.77;1;20.85;8.42;-11553.99
322.66;2;322.66;322.66;-9455.17
325.79;0;22.9;16.9;-9651.52
326.06;1;178.05;8.29;-11597.81
327.1;2;327.1;101.17;-10066.33
330.24;1;198.47;8.42;-11717.64
331.43;2;331.43;155.11;-9740.68
334.57;1;198.9;8.34;-11805.7
338.57;1;184.46;7.93;-11812.73
343.78;2;343.78;49.49;-11344.22
345.78;1;345.78;191.67;-8486.85
353.98;1;353.98;300.81;-10851.65
356.02;2;118.28;34.24;-11346.43
358.06;1;358.06;19.3;-9758.42
360;0;360;360;-8983.81
360.04;2;73.8;37.32;-11823.15
362.11;1;222.3;18.2;-10154.62
363.86;0;67.09;9.84;-10117.45
364.11;2;38.27;36.96;-10481.41
367.75;0;367.75;7.7;-10122.26
371.28;2;145.35;85.04;-10438.75
372.19;0;372.19;8.08;-10676.22
375.37;2;203.09;31.47;-9697.16
379.46;2;379.46;23.4;-10050.99
391.75;2;391.75;23.6;-10556.63
395.83;2;31.68;24.5;-10586.54
397.02;0;397.02;397.02;-8622.2
399.85;2;399.85;24.43;-11011.24
400.86;0;400.86;83.5;-9497.86
403.67;2;403.67;23.83;-11015.98
405.39;0;96.5;33.15;-9298.76
408.02;2;408.02;16.14;-11665.26
409.96;0;409.96;14.04;-10234.96
411.95;2;14.79;14.75;-10021.84
413.9;0;413.9;16.73;-10440.85
413.9;1;413.9;55.79;-10470.29
418.59;0;418.59;17.38;-10670.37
418.59;1;206.98;180.85;-9613.62
426.52;1;18.46;16.48;-10060.38
430.66;1;430.66;16.48;-10650.5
434.91;1;72.76;16.28;-10905.65
436.82;2;358.23;72.67;-10320.32
438.16;0;438.16;438.16;-8780.45
441.25;2;441.25;81.14;-10203.74
446.16;0;157.47;36.12;-9861.29
447.2;1;5.91;5.71;-11420.37
457.41;2;53.39;49.35;-9117.17
458.29;1;104.27;96.14;-8771.51
462.64;0;44;31.76;-9373.46
