#TimeStamp;Runtime;Requests
0.88;0;6
2.93;0;1
4.18;0;1
5.43;0;1
6.81;0;2
9.48;0;1
10.57;0;3
11.57;0;1
12.61;0;1
13.66;0;3
14.7;0;1
15.74;0;1
17.83;0;1
18.83;0;1
19.88;0;2
20.92;0;1
23.01;0;1
24.1;0;1
25.49;0;1
26.69;0;1
28.74;0;1
29.94;0;1
30.96;0;1
31.99;0;4
34.66;0;2
35.91;0;2
37.33;0;1
38.58;0;1
39.62;0;1
41.36;0;1
46.33;0;1
48.83;0;1
49.87;0;1
51.13;0;2
52.33;0;2
53.8;0;1
55.33;0;1
56.42;0;1
57.84;0;1
58.89;0;1
59.92;0;1
62.63;0;1
69.14;0;1
71.43;0;1
80.19;0;1
81.47;0;1
83.06;0;1
84.14;0;1
85.28;0;1
88.53;0;1
89.9;0;1
93.4;0;1
94.44;0;1
95.62;0;1
96.9;0;1
99.37;0;1
101.07;0;1
105.87;0;1
108.54;0;1
109.63;0;1
111.87;0;1
113.13;0;1
115.34;0;1
118.66;0;1
120.51;0;1
121.6;0;1
125.51;0;1
126.69;0;1
128.75;0;1
130.08;0;2
132.13;0;1
133.52;0;2
135.76;0;1
138.27;0;1
139.36;0;1
140.45;0;1
142.38;0;1
143.9;0;1
145.31;0;2
149.79;0;1
155.48;0;1
158.46;0;1
159.51;0;1
161.71;0;1
162.91;0;1
171.22;0;1
172.24;0;1
173.55;0;2
174.95;0;1
176.05;0;1
178.85;0;1
183.47;0;1
184.56;0;1
186.63;0;1
187.81;0;1
192.35;0;1
194.56;0;1
195.69;0;1
196.77;0;1
197.89;0;2
199.85;0;1
202;0;1
204.46;0;1
205.67;0;1
207.73;0;1
208.93;0;1
209.95;0;1
214.46;0;1
215.49;0;1
220.53;0;1
222.62;0;1
223.81;0;1
225.85;0;1
226.92;0;1
230.08;0;1
231.08;0;1
232.12;0;1
233.13;0;1
237.13;0;1
239.64;0;1
240.96;0;1
243.76;0;1
244.91;0;1
246;0;1
247.3;0;1
250.8;0;1
252;0;1
253.04;0;1
254.46;0;1
257.87;0;1
260.42;0;1
262.67;0;1
263.76;0;1
265.1;0;3
267.34;0;2
268.34;0;1
269.42;0;1
270.84;0;1
273.31;0;1
274.4;0;1
275.77;0;1
276.81;0;1
278.44;0;1
280.02;0;1
283.32;0;1
284.41;0;3
286.86;0;1
289.24;0;1
290.57;0;1
291.57;0;1
292.62;0;1
293.65;0;1
294.69;0;1
295.73;0;2
296.78;0;1
297.82;0;1
298.87;0;2
300;0;1
301.03;0;3
302.03;0;1
303.46;0;1
304.57;0;1
305.95;0;2
308.13;0;1
309.22;0;2
310.8;0;2
313.36;0;1
314.97;0;1
316.61;0;1
317.81;0;1
319.31;0;1
320.42;0;1
321.73;0;1
322.82;0;1
323.88;0;1
325.45;0;1
328.08;0;1
329.21;0;2
330.56;0;1
339.46;0;1
341.07;0;2
343.52;0;1
344.64;0;1
345.91;0;1
355.17;0;1
356.7;0;1
357.79;0;1
360.84;0;1
361.88;0;1
363.29;0;1
364.33;0;1
366.79;0;1
367.88;0;2
372.71;0;1
377.88;0;1
378.97;0;1
380.13;0;1
382.72;0;1
387.55;0;1
392.29;0;1
393.92;0;1
397.22;0;1
398.36;0;1
399.45;0;1
401.39;0;1
403.19;0;1
404.24;0;1
405.28;0;1
406.91;0;1
407.91;0;1
409.28;0;1
410.44;0;1
421.46;0;1
423.62;0;1
424.96;0;1
426.51;0;1
430.68;0;1
432.48;0;1
433.57;0;1
438.74;0;1
442.65;0;1
444.07;0;1
445.07;0;1
446.16;0;1
447.58;0;1
452.86;0;1
453.95;0;2
455.32;0;1
456.57;0;1
457.66;0;1
459.04;0;1
462.07;0;1
463.87;0;2
465.57;0;1
468.66;0;2
471.54;0;1
472.79;0;1
474.21;0;1
475.46;0;1
476.74;0;2
478.17;0;1
479.25;0;1
480.37;0;1
484.34;0;1
485.53;0;1
486.62;0;1
487.71;0;1
489.03;0;1
491.17;0;1
498.49;0;1
500.58;0;1
508.08;0;1
511.29;0;1
512.92;0;2
516.12;0;1
519.62;0;1
521.76;0;1
524.43;0;1
525.76;0;1
533.93;0;1
535.14;0;1
536.39;0;1
537.42;0;2
539.26;0;1
542.31;0;1
543.39;0;1
547.9;0;1
548.93;0;1
550.02;0;1
552.37;0;1
553.5;0;1
555.48;0;1
556.57;0;1
557.63;0;1
558.96;0;2
560.54;0;1
561.62;0;1
562.62;0;2
563.76;0;1
566.79;0;1
568.1;0;1
569.21;0;2
572.54;0;1
573.79;0;1
575.18;0;1
576.52;0;2
578.44;0;1
579.68;0;1
580.84;0;1
582.98;0;1
584.02;0;1
585.4;0;1
586.48;0;1
587.53;0;1
588.98;0;1
589.98;0;2
593.03;0;1
594.44;0;1
597.5;0;1
598.77;0;1
599.78;0;1
603.61;0;1
606.45;0;1
609.58;0;1
610.91;0;1
612.16;0;2
614.2;0;1
616.33;0;1
617.38;0;1
620;0;1
621.25;0;1
627.83;0;1
629.21;0;2
631.62;0;1
632.89;0;2
634.88;0;1
640.67;0;1
643.09;0;1
645.34;0;1
646.88;0;1
649.51;0;1
650.92;0;1
652.84;0;1
655.51;0;1
656.52;0;1
657.72;0;1
658.94;0;1
662.44;0;1
663.89;0;2
665.08;0;1
666.14;0;1
671.08;0;1
672.12;0;1
674.53;0;1
676.96;0;1
677.98;0;1
679.25;0;1
681.52;0;1
684.16;0;1
688.03;0;1
689.3;0;1
690.45;0;2
691.54;0;1
692.8;0;1
694.33;0;1
695.42;0;1
698.96;0;1
701.71;0;1
707.03;0;1
708.23;0;1
710.21;0;1
711.3;0;1
712.55;0;2
714.6;0;1
715.69;0;1
723.72;0;1
724.8;0;1
726.52;0;1
727.76;0;1
730.02;0;1
733.26;0;2
734.27;0;1
738.39;0;1
739.48;0;1
742.98;0;1
745.43;0;1
748.93;0;1
750.44;0;1
751.47;0;1
754.6;0;1
755.9;0;1
757.3;0;1
758.51;0;1
759.6;0;1
760.8;0;1
762.27;0;1
763.35;0;1
766.93;0;1
768.2;0;2
769.81;0;1
774.55;0;1
777.38;0;1
778.45;0;2
781.12;0;2
782.41;0;2
783.7;0;1
784.78;0;1
785.87;0;1
790.95;0;1
792.66;0;1
793.95;0;1
795.23;0;1
796.36;0;1
797.45;0;1
800.71;0;1
803.29;0;1
805.38;0;1
807.31;0;1
808.6;0;3
812.27;0;1
813.82;0;1
816.21;0;1
817.52;0;1
819.49;0;1
822.62;0;1
823.87;0;1
825.05;0;1
827.33;0;1
831.61;0;1
834.28;0;1
835.37;0;1
840.47;0;1
841.83;0;1
844.53;0;1
845.56;0;2
846.65;0;1
847.74;0;1
852.57;0;1
857.73;0;1
859.86;0;1
860.94;0;1
862.07;0;1
865.87;0;1
866.96;0;1
869.95;0;1
871.01;0;1
873.44;0;1
880.45;0;1
881.59;0;1
884.08;0;1
885.09;0;2
886.75;0;1
894.26;0;1
895.93;0;1
899.05;0;1
900.13;0;2
904.92;0;1
913.32;0;1
914.72;0;1
917.74;0;1
920.22;0;1
923.57;0;1
924.83;0;1
926.41;0;1
930.13;0;1
931.25;0;1
932.46;0;1
935.34;0;1
938.01;0;1
939.18;0;1
940.29;0;1
941.5;0;4
943.54;0;1
944.63;0;1
945.72;0;1
946.81;0;1
947.9;0;1
951.4;0;1
954.88;0;1
956.13;0;1
957.67;0;1
958.76;0;1
959.76;0;2
960.78;0;2
962.11;0;1
963.2;0;1
964.78;0;1
966.38;0;1
968.04;0;1
969.37;0;1
970.46;0;1
971.8;0;2
973.08;0;1
974.21;0;1
975.21;0;2
976.21;0;1
977.25;0;1
978.3;0;2
979.34;0;1
980.39;0;2
981.43;0;2
982.43;0;2
983.52;0;1
984.56;0;2
985.61;0;1
986.93;0;1
988.05;0;1
989.14;0;1
990.55;0;1
996.84;0;1
999.27;0;1
1001.31;0;1
1002.65;0;1
1005.32;0;1
1010.03;0;1
1011.16;0;1
1012.74;0;1
1016.91;0;1
1018;0;1
1021.08;0;1
1024.17;0;1
1027.41;0;1
1029.25;0;1
1031.3;0;1
1037.6;0;1
1041.6;0;1
1047.85;0;1
1051.09;0;1
1054.3;0;1
1056.97;0;1
1064.7;0;1
1066.36;0;1
1067.69;0;1
1068.78;0;1
1071.18;0;1
1073.42;0;1
1074.5;0;1
1080.53;0;1
1083.06;0;1
1085.59;0;1
1086.68;0;1
1089.08;0;1
1090.82;0;1
1093.92;0;1
1094.97;0;1
1097.42;0;1
1099.24;0;1
1101.93;0;1
1103.02;0;1
1106.3;0;1
1109.01;0;1
1112.1;0;1
1115.27;0;1
1117.97;0;1
1119.06;0;1
1120.51;0;1
1122.03;0;1
1123.36;0;1
1124.44;0;1
1125.83;0;2
1126.96;0;1
1129.32;0;1
1134.68;0;1
1140.42;0;1
1141.45;0;2
1142.51;0;1
1144.93;0;1
1147.6;0;1
1151.7;0;2
1154.53;0;1
1155.62;0;1
1158.7;0;1
1161.85;0;1
1162.87;0;1
1164.48;0;1
1171.32;0;1
1172.96;0;1
1174.38;0;1
1175.67;0;1
1177.13;0;1
1179.8;0;1
1181.08;0;2
1183.3;0;1
1184.38;0;1
1187;0;1
1188.78;0;1
1190.5;0;1
1191.63;0;1
1194;0;1
1195;0;1
1196.09;0;1
1197.63;0;1
1198.87;0;1
1199.96;0;1
1201.35;0;1
1202.63;0;1
1203.72;0;1
1205.8;0;1
1206.85;0;1
1207.93;0;1
1211.97;0;1
1216.55;0;1
1219.22;0;1
1220.55;0;1
1221.89;0;1
1223.94;0;1
1227.39;0;1
1229.44;0;1
1232.18;0;1
1233.27;0;1
1238.35;0;1
1243.44;0;1
1246.52;0;1
1247.79;0;1
1248.99;0;1
1251.08;0;1
1252.2;0;1
1253.24;0;1
1255.7;0;1
1256.79;0;1
1267.53;0;1
1269.45;0;1
1270.62;0;2
1271.65;0;1
1273.74;0;1
1276.49;0;1
1277.62;0;1
1285.46;0;1
1287.91;0;1
1292.95;0;1
1294.25;0;1
1295.67;0;2
1296.92;0;1
1298.16;0;2
1300.2;0;1
1301.76;0;1
1302.85;0;1
1308.51;0;1
1311.11;0;1
1313.19;0;1
1314.31;0;1
1315.35;0;2
1317.81;0;1
1319.18;0;1
1322.69;0;1
1326.19;0;1
1328.02;0;1
1330.69;0;1
1334.4;0;1
1335.65;0;1
1337.9;0;1
1346.67;0;1
1348.87;0;1
1354.46;0;1
1356.84;0;1
1359.29;0;1
1366.8;0;1
1369.8;0;1
1380.72;0;1
1381.74;0;1
1382.81;0;1
1386.31;0;1
1388.16;0;1
1389.58;0;1
1391;0;1
1396.5;0;1
1398.05;0;1
1399.08;0;1
1401.71;0;1
1406.34;0;1
1408.25;0;1
1409.3;0;2
1410.76;0;2
1414.81;0;1
1416.73;0;1
1417.81;0;1
1419.2;0;1
1422.27;0;1
1423.35;0;1
1426.48;0;1
1427.57;0;2
1429.37;0;1
1431.93;0;1
1433.07;0;1
1435.11;0;1
1436.81;0;1
1437.82;0;1
1438.95;0;1
1440.31;0;1
1441.4;0;1
1442.67;0;2
1444.2;0;2
1450.13;0;1
1452.99;0;1
1454.13;0;1
1455.22;0;2
1456.31;0;1
1461.81;0;1
1463.34;0;1
1466.81;0;1
1467.88;0;1
1469.01;0;1
1470.02;0;1
1471.31;0;2
1473.84;0;1
1479.53;0;1
1483.02;0;1
1484.11;0;1
1486.9;0;1
1487.9;0;2
1489.61;0;1
1490.78;0;1
1493.78;0;1
1497.58;0;1
1498.62;0;2
1501.05;0;1
1505.01;0;1
1507.69;0;1
1510.36;0;1
1511.38;0;1
1512.7;0;1
1513.82;0;2
1518.61;0;1
1521.86;0;1
1523.09;0;1
1524.11;0;1
1525.45;0;1
1526.99;0;1
1528.95;0;1
1535.12;0;1
1536.38;0;1
1538.55;0;1
1539.6;0;1
1540.63;0;1
1541.69;0;1
1546.6;0;1
1549.27;0;1
1550.8;0;1
1552.52;0;1
1556.4;0;1
1561.05;0;1
1563.56;0;1
1564.65;0;1
1566.86;0;1
1568.15;0;1
1570.4;0;1
1577.49;0;1
1581.23;0;1
1584.41;0;1
1586.5;0;1
1587.74;0;2
1588.79;0;1
1591.1;0;1
1592.17;0;1
1595.05;0;1
1596.14;0;1
1597.33;0;1
1598.72;0;1
1602.17;0;1
1604.55;0;1
1605.67;0;1
1608.29;0;1
1609.6;0;2
1610.92;0;1
1612.27;0;1
1613.65;0;1
1615.09;0;1
1616.27;0;1
1617.77;0;1
1618.86;0;1
1623.9;0;1
1625.03;0;1
1626.3;0;1
1627.34;0;1
1631.41;0;1
1632.49;0;1
1634.66;0;1
1637.49;0;1
1638.61;0;2
1641.91;0;1
1645.08;0;1
1648.74;0;1
1649.91;0;1
1651.91;0;1
1653.58;0;1
1658.66;0;1
1665.91;0;1
1667.5;0;1
1668.84;0;1
1670.17;0;1
1673.01;0;1
1677.31;0;1
1679;0;1
1680.21;0;1
1682.67;0;1
1684.67;0;1
1686.84;0;1
1688.17;0;1
1692.52;0;1
1697.52;0;1
1701.61;0;1
1702.63;0;2
1704.63;0;1
1705.92;0;2
1709.02;0;2
1710.07;0;1
1711.43;0;1
1713.47;0;1
1714.47;0;1
1715.51;0;1
1716.55;0;1
1717.6;0;1
1718.64;0;1
1719.69;0;2
1720.73;0;2
1721.95;0;1
1723.45;0;1
1724.48;0;1
1725.57;0;1
1726.66;0;1
1728.99;0;1
1730.36;0;1
1731.49;0;1
1732.58;0;1
1733.67;0;1
1735.82;0;1
1736.9;0;1
1739.41;0;1
1740.63;0;1
1742.41;0;1
1744.5;0;1
1745.75;0;1
1746.75;0;1
1747.75;0;1
1748.76;0;1
1750.24;0;1
1751.76;0;1
1753.96;0;2
1757.69;0;1
1758.75;0;1
1759.96;0;1
1762.65;0;1
1765.31;0;1
1766.8;0;1
1771.49;0;1
1773.53;0;2
1777.05;0;1
1778.56;0;1
1779.94;0;1
1781.42;0;1
1785.44;0;1
1786.52;0;1
1791.61;0;1
1796.34;0;1
1797.52;0;1
1799.21;0;1
