#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.64;0;0;1;3;0/59.64;0/50.38,1/56.58,2/59.64;0/59.64;0/59.64,1/59.64,2/59.64;0/0;0/9,1/12,2/11;0/0;0/14,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/1,2/1
119.6;0;3;1;3;0/119.6;0/66.01,1/64.69,2/81.26;0/119.6;0/119.6,1/119.6,2/119.6;0/0;0/14,1/11,2/12;0/0;0/20,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/14,1/15,2/10
179.89;0;7;1;3;0/179.89;0/99.53,1/94.55,2/128.23;0/179.89;0/179.89,1/179.89,2/179.89;0/0;0/13,1/13,2/11;0/0;0/18,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/3;0/0;0/21,1/23,2/14
239.99;0;12;1;3;0/239.99;0/136.4,1/143.83,2/149.89;0/239.99;0/239.99,1/239.99,2/239.99;0/0;0/12,1/13,2/11;0/0;0/16,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/28,1/25,2/24
299.97;0;16;1;3;0/299.97;0/153.48,1/174.37,2/157.73;0/299.97;0/299.97,1/299.97,2/299.97;0/0;0/12,1/11,2/12;0/0;0/15,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/5,1/6,2/5;0/0;0/39,1/33,2/37
359.98;0;19;1;3;0/359.98;0/170.77,1/217.83,2/196.55;0/359.98;0/359.98,1/359.98,2/359.98;0/0;0/12,1/12,2/10;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/6,1/7,2/6;0/0;0/50,1/37,2/43
419.84;0;22;1;3;0/419.84;0/178.57,1/242.45,2/211.95;0/419.84;0/419.84,1/419.84,2/419.84;0/0;0/12,1/11,2/10;0/0;0/16,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/7,1/8,2/7;0/0;0/64,1/47,2/54
479.97;0;25;1;3;0/479.97;0/214.66,1/276.54,2/266.95;0/479.97;0/479.97,1/479.97,2/479.97;0/0;0/11,1/10,2/11;0/0;0/17,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/8,1/9,2/8;0/0;0/70,1/53,2/56
539.77;0;29;1;3;0/539.77;0/221.7,1/303.57,2/281.8;0/539.77;0/539.77,1/539.77,2/539.77;0/0;0/9,1/11,2/12;0/0;0/15,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/9,1/11,2/9;0/0;0/84,1/62,2/67
599.93;0;32;1;3;0/599.93;0/231.99,1/335.58,2/314.18;0/599.93;0/599.93,1/599.93,2/599.93;0/0;0/16,1/9,2/11;0/0;0/17,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/10,1/12,2/10;0/0;0/97,1/69,2/75
659.99;0;35;1;3;0/659.99;0/274.79,1/342.74,2/348.5;0/659.99;0/659.99,1/659.99,2/659.99;0/0;0/14,1/9,2/10;0/0;0/17,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/11,1/13,2/11;0/0;0/101,1/83,2/81
719.8;0;39;1;3;0/719.8;0/304.12,1/353.31,2/380.46;0/719.8;0/719.8,1/719.8,2/719.8;0/0;0/13,1/11,2/10;0/0;0/18,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/13,1/14,2/12;0/0;0/109,1/96,2/89
779.67;0;42;1;3;0/779.67;0/310.48,1/388.38,2/388.03;0/779.67;0/779.67,1/779.67,2/779.67;0/0;0/14,1/8,2/13;0/0;0/17,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/14,1/15,2/13;0/0;0/123,1/103,2/102
839.96;0;45;1;3;0/839.96;0/327.97,1/403.21,2/427.7;0/839.96;0/839.96,1/839.96,2/839.96;0/0;0/11,1/10,2/8;0/0;0/15,1/12,2/12;0/0;0/2,1/2,2/2;0/0;0/15,1/16,2/14;0/0;0/135,1/114,2/108
