#TimeStamp;Bot;Pod;OutputStation
49.89;4;53;0
53.98;4;53;0
56.53;5;48;1
57.68;4;53;0
59.48;3;7;2
60.6;5;48;1
63.31;3;7;2
64.64;2;25;0
64.64;5;48;1
67.64;3;7;2
68.48;2;25;0
68.69;5;48;1
71.82;3;7;2
72.69;2;25;0
73.15;5;48;1
76.06;3;7;2
76.73;2;25;0
77.57;5;48;1
80.19;3;7;2
80.78;2;25;0
81.99;5;48;1
84.61;3;7;2
84.82;2;25;0
86.34;5;48;1
88.82;2;25;0
88.82;3;7;2
92.58;2;25;0
93.28;0;38;1
95.95;1;29;2
96.86;2;25;0
97.49;0;38;1
100.33;1;29;2
100.91;2;25;0
101.42;0;38;1
104.37;1;29;2
104.92;2;25;0
105.55;0;38;1
108.01;1;29;2
109.97;0;38;1
114.01;0;38;1
118.06;0;38;1
122.13;0;38;1
124.06;4;54;0
126.21;0;38;1
128.13;4;54;0
130.63;0;38;1
132.42;4;54;0
134.68;0;38;1
136.39;4;54;0
138.72;0;38;1
140.55;4;54;0
142.9;0;38;1
144.6;4;54;0
146.91;0;38;1
148.81;4;54;0
150.88;0;38;1
152.6;4;54;0
157.4;3;9;2
164.19;5;6;1
168.33;5;6;1
172.29;5;6;1
176.43;5;6;1
180.47;5;6;1
180.66;1;52;2
183.92;2;34;0
184.52;5;6;1
184.83;1;52;2
187.96;2;34;0
188.83;1;52;2
191.92;2;34;0
193.27;1;52;2
196.11;2;34;0
197.53;1;52;2
200.04;2;34;0
201.96;1;52;2
204.16;2;34;0
206.16;1;52;2
208.2;2;34;0
209.92;0;11;1
210.2;1;52;2
212.25;2;34;0
213.92;0;11;1
214.25;1;52;2
217.84;0;11;1
218.33;1;52;2
219;4;31;0
221.89;0;11;1
222.38;1;52;2
223.38;4;31;0
226.01;0;11;1
227.14;4;31;0
230.05;0;11;1
231.05;4;31;0
233.47;3;40;2
234.47;0;11;1
235.42;4;31;0
237.63;3;40;2
238.51;0;11;1
239.47;4;31;0
241.6;3;40;2
242.93;0;11;1
243.35;4;31;0
245.56;3;40;2
247.35;0;11;1
247.51;4;31;0
249.76;3;40;2
251.4;0;11;1
251.56;4;31;0
253.65;3;40;2
255.58;4;31;0
255.58;0;11;1
257.67;3;40;2
259.63;4;31;0
259.63;0;11;1
261.72;3;40;2
263.59;4;31;0
263.67;0;11;1
265.82;3;40;2
267.67;4;31;0
267.76;0;11;1
269.87;3;40;2
271.72;4;31;0
271.83;0;11;1
274.05;3;40;2
278.52;2;53;0
278.98;5;35;1
282.56;2;53;0
283.28;5;35;1
286.53;2;53;0
287.32;5;35;1
290.42;2;53;0
291.05;5;35;1
292.65;1;18;2
294.28;2;53;0
295.37;5;35;1
297;1;18;2
298.61;2;53;0
299.38;5;35;1
301.12;1;18;2
302.69;2;53;0
303.38;5;35;1
305;1;18;2
306.96;2;53;0
307.42;5;35;1
309.04;1;18;2
311;2;53;0
311.47;5;35;1
313.09;1;18;2
315.51;5;35;1
317.38;1;18;2
319.56;5;35;1
321.56;1;18;2
323.32;5;35;1
327.47;5;35;1
330.15;4;4;0
334.44;0;37;1
334.51;4;4;0
338.51;0;37;1
338.55;4;4;0
342.33;0;37;1
342.55;4;4;0
346.22;0;37;1
346.93;4;4;0
347.64;3;39;2
350.44;0;37;1
351.35;4;4;0
352.02;3;39;2
354.57;0;37;1
355.39;4;4;0
356.44;3;39;2
358.99;0;37;1
359.81;4;4;0
360.53;3;39;2
363.04;0;37;1
364;4;4;0
364.86;3;39;2
367.08;0;37;1
368.1;4;4;0
368.77;3;39;2
370.95;0;37;1
372.14;4;4;0
372.93;3;39;2
376.56;4;4;0
376.98;3;39;2
381.4;3;39;2
383.74;2;5;0
387.79;2;5;0
388.37;5;25;1
391.83;2;5;0
394.34;1;56;2
395.8;2;5;0
398.73;1;56;2
399.88;2;5;0
402.78;1;56;2
403.92;2;5;0
406.99;1;56;2
407.97;2;5;0
410.78;1;56;2
412.01;2;5;0
415.2;1;56;2
416.06;2;5;0
419.28;1;56;2
420.48;2;5;0
423.62;1;56;2
424.53;2;5;0
428.04;1;56;2
428.57;2;5;0
432.38;1;56;2
432.62;2;5;0
436.54;1;56;2
436.66;2;5;0
440.42;1;56;2
440.62;2;5;0
444.55;1;56;2
444.62;2;5;0
448.71;0;15;1
451.42;4;35;0
452.76;0;15;1
454.25;3;49;2
455.78;4;35;0
456.97;0;15;1
458.45;3;49;2
459.75;4;35;0
461.08;0;15;1
462.29;3;49;2
463.79;4;35;0
465.12;0;15;1
