#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.34
59.96;200;200;0;53.31;0;59.96;0;0.36
119.73;200;200;0;92.75;0;110.29;0;0.33
179.87;200;200;0;125.47;0;177.23;0;0.23
239.94;200;200;0;151.49;0;223.66;0;0.31
299.81;200;200;0;192.68;0;283.49;0;0.23
359.8;200;200;0;209.11;0;337.26;0;0.23
419.99;200;200;0;238.51;0;356.21;0;0.3
479.77;200;200;0;245.19;0;405.78;0;0.3
539.93;200;200;0;272.02;0;443.73;0;0.38
599.99;200;200;0;289.27;0;476.01;0;0.42
659.62;200;200;0;300.64;0;519.73;0;0.39
719.69;200;200;0;335.63;0;507.84;0;0.42
779.93;200;200;0;375.45;0;607.69;0;0.39
839.98;200;200;0;406.15;0;734.17;0;0.32
899.62;200;200;0;401.96;0;730.95;0;0.29
959.69;200;200;0;388.11;0;773.06;0;0.34
1019.75;200;200;0;404.4;0;813.17;0;0.44
1079.97;200;200;0;397.88;0;855.09;0;0.36
1139.65;200;200;0;401.72;0;872.68;0;0.43
1199.85;200;200;0;420.55;0;869.3;0;0.41
1259.97;200;200;0;431.81;0;855.54;0;0.49
1319.95;200;200;0;507.57;0;1114.11;0;0.4
1379.65;200;194;0;493.75;0;1101.64;0;0.39
1439.88;200;177;0;450.6;0;1065.45;0;0.42
1499.99;200;169;0;432.27;0;1147.17;0;0.42
1559.96;200;154;0;471.33;0;1242.15;0;0.41
1619.96;200;150;0;471.09;0;1206.9;0;0.48
1679.98;200;142;0;525.13;0;1412.16;0;0.36
1739.98;200;133;0;536.84;0;1553.85;0;0.34
1799.83;200;124;0;552.29;0;1618.77;0;0.33
