#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;112.03;0.03;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0,RP/0
59.59;112.12;0.08;PP/0.01,TA/0.03,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.91;109.81;0.22;PP/0.01,TA/0.14,IS/0,PS/0.1,RB/0,OB/0.01,RP/0
179.98;109.7;0.24;PP/0.01,TA/0.15,IS/0,PS/0.1,RB/0,OB/0.01,RP/0
239.86;109.69;0.29;PP/0.02,TA/0.17,IS/0,PS/0.1,RB/0,OB/0.01,RP/0
299.75;109.6;0.32;PP/0.02,TA/0.18,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
359.89;109.41;0.35;PP/0.02,TA/0.19,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
419.98;109.41;0.37;PP/0.02,TA/0.2,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
479.97;109.3;0.41;PP/0.02,TA/0.21,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
540;109.29;0.43;PP/0.03,TA/0.22,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
599.78;109.29;0.46;PP/0.03,TA/0.23,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
659.59;109.29;0.48;PP/0.03,TA/0.23,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
719.71;109.29;0.51;PP/0.03,TA/0.25,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
779.89;109.2;0.53;PP/0.04,TA/0.25,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
839.97;109.07;0.56;PP/0.04,TA/0.26,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
899.93;108.99;0.58;PP/0.04,TA/0.26,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
959.9;108.99;0.61;PP/0.04,TA/0.26,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
1019.96;108.69;0.63;PP/0.04,TA/0.27,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
1079.67;108.43;0.66;PP/0.05,TA/0.28,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
1139.66;108.38;0.69;PP/0.05,TA/0.28,IS/0,PS/0.15,RB/0,OB/0.04,RP/0
1199.8;108.38;0.71;PP/0.05,TA/0.29,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
1259.64;108.35;0.74;PP/0.05,TA/0.3,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
1319.74;108.02;0.76;PP/0.05,TA/0.3,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
1379.96;107.81;0.78;PP/0.06,TA/0.31,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
1439.71;107.63;0.81;PP/0.06,TA/0.32,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
1499.91;107.58;0.84;PP/0.06,TA/0.32,IS/0,PS/0.16,RB/0,OB/0.05,RP/0
1559.91;107.57;0.86;PP/0.06,TA/0.32,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1619.77;107.55;0.88;PP/0.07,TA/0.33,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1679.99;107.55;0.91;PP/0.07,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1739.84;107.55;0.93;PP/0.07,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1799.79;107.55;0.96;PP/0.07,TA/0.35,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
