#TimeStamp;Bot;Pod;OutputStation
48.63;3;13;2
49.76;2;6;0
52.67;3;13;2
53.75;2;6;0
57.09;3;13;2
57.46;2;6;0
59.2;5;46;1
61.46;2;6;0
63.43;5;46;1
65.47;2;6;0
67.47;5;46;1
67.9;1;25;2
69.83;2;6;0
71.86;5;46;1
72.05;1;25;2
73.87;2;6;0
75.9;5;46;1
75.95;1;25;2
79.95;5;46;1
80;1;25;2
80.55;4;12;0
84;5;46;1
84;1;25;2
84.79;4;12;0
87.97;5;46;1
87.97;1;25;2
88.83;4;12;0
91.76;5;46;1
91.76;1;25;2
92.55;4;12;0
95.8;1;25;2
96.85;4;12;0
98.8;0;50;1
100.14;1;25;2
100.89;4;12;0
102.88;0;50;1
104.56;1;25;2
104.97;4;12;0
106.93;0;50;1
108.6;1;25;2
109.27;4;12;0
111.05;0;50;1
113.01;1;25;2
113.39;4;12;0
115.23;0;50;1
117.05;1;25;2
117.31;4;12;0
119.31;0;50;1
121.17;1;25;2
121.43;4;12;0
125.21;1;25;2
129.27;1;25;2
133.34;1;25;2
137.77;1;25;2
142.15;1;25;2
146.19;2;11;0
150.22;3;28;2
150.27;2;11;0
154.16;3;28;2
154.69;2;11;0
155.96;5;32;1
158.27;3;28;2
158.79;2;11;0
160.12;5;32;1
162.32;3;28;2
162.99;2;11;0
164.03;5;32;1
166.32;3;28;2
166.99;2;11;0
168.34;5;32;1
170.12;3;28;2
171.11;2;11;0
174.36;3;28;2
175.54;2;11;0
178.41;3;28;2
182.45;3;28;2
184.17;0;34;1
188.05;0;34;1
189.54;4;43;0
192.45;0;34;1
193.59;4;43;0
196.8;0;34;1
197.66;4;43;0
200.8;0;34;1
201.93;4;43;0
204.87;0;34;1
205.96;4;43;0
209.29;0;34;1
210.1;4;43;0
211.76;1;36;2
213.71;0;34;1
214.46;4;43;0
216;1;36;2
218;0;34;1
218.51;4;43;0
220.04;1;36;2
222.04;0;34;1
222.55;4;43;0
224.27;1;36;2
226.92;4;43;0
227.99;1;36;2
228.62;5;32;1
230.94;4;43;0
232.31;1;36;2
232.96;5;32;1
236.73;5;32;1
240.6;2;31;0
240.9;5;32;1
244.9;2;31;0
248.55;3;27;2
248.95;2;31;0
252.61;3;27;2
253.03;2;31;0
257.03;3;27;2
257.08;2;31;0
260.84;3;27;2
261.5;2;31;0
265.01;3;27;2
265.92;2;31;0
268.98;3;27;2
273.03;3;27;2
277.08;3;27;2
281.5;3;27;2
283.2;0;45;1
285.85;3;27;2
286.98;4;49;0
287.47;0;45;1
290.1;3;27;2
291.28;4;49;0
291.76;0;45;1
294.19;3;27;2
295.22;4;49;0
296.13;0;45;1
298.35;3;27;2
299.44;4;49;0
300.31;0;45;1
302.62;3;27;2
303.28;4;49;0
307.04;3;27;2
307.46;4;49;0
311.49;4;49;0
314;5;21;1
314.07;1;53;2
315.43;4;49;0
318.07;5;21;1
318.07;1;53;2
319.57;4;49;0
322.07;5;21;1
322.12;1;53;2
323.61;4;49;0
326.12;5;21;1
326.23;1;53;2
328.03;4;49;0
330.13;5;21;1
330.17;1;53;2
332.08;4;49;0
333.83;5;21;1
334.22;1;53;2
336.17;4;49;0
338.17;5;21;1
338.28;1;53;2
340.22;4;49;0
342.22;5;21;1
342.32;1;53;2
344.26;4;49;0
346.26;5;21;1
346.37;1;53;2
348.3;4;49;0
350.41;1;53;2
352.37;4;49;0
354.46;1;53;2
356.5;4;49;0
358.5;1;53;2
362.55;1;53;2
363.32;2;35;0
366.59;1;53;2
367.69;2;35;0
370.57;1;53;2
372.11;2;35;0
374.62;1;53;2
