#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;35.50;3.50;False;False;True;False;144;19.50;1.50;True;False;False;False;1;19.764444444444507;0;19.764444444444507;19.764444444444507
12;35.50;3.50;False;False;True;False;146;21.50;1.50;True;False;False;False;2;18.876111111111243;0.006400980428946184;18.81953823585752;18.932683986364964
12;35.50;3.50;False;False;True;False;147;22.50;1.50;True;False;False;False;1;22.564444444445144;0;22.564444444445144;22.564444444445144
12;35.50;3.50;False;False;True;False;149;24.50;1.50;True;False;False;False;2;15.962777777777788;0.4110222222222734;15.509444444444426;16.41611111111115
12;35.50;3.50;False;False;True;False;151;12.50;2.50;True;False;False;False;1;21.6850000000004;0;21.6850000000004;21.6850000000004
12;35.50;3.50;False;False;True;False;153;14.50;2.50;True;False;False;False;1;19.562222222222317;0;19.562222222222317;19.562222222222317
12;35.50;3.50;False;False;True;False;155;16.50;2.50;True;False;False;False;1;18.18444444444458;0;18.18444444444458;18.18444444444458
12;35.50;3.50;False;False;True;False;157;18.50;2.50;True;False;False;False;2;16.682871569190752;0.46079999999981663;16.202871569190847;17.162871569190656
12;35.50;3.50;False;False;True;False;158;19.50;2.50;True;False;False;False;1;18.215000000000032;0;18.215000000000032;18.215000000000032
12;35.50;3.50;False;False;True;False;160;21.50;2.50;True;False;False;False;1;14.721666666666522;0;14.721666666666522;14.721666666666522
12;35.50;3.50;False;False;True;False;161;22.50;2.50;True;False;False;False;1;13.758333333333354;0;13.758333333333354;13.758333333333354
12;35.50;3.50;False;False;True;False;162;23.50;2.50;True;False;False;False;1;13.657222222222344;0;13.657222222222344;13.657222222222344
12;35.50;3.50;False;False;True;False;163;24.50;2.50;True;False;False;False;3;9.989843680976392;14.235220229159415;5.636565682325681;12.314632027270136
12;35.50;3.50;False;False;True;False;179;12.50;4.50;True;False;False;False;1;21.04444444444448;0;21.04444444444448;21.04444444444448
12;35.50;3.50;False;False;True;False;181;14.50;4.50;True;False;False;False;1;21.151666666667097;0;21.151666666667097;21.151666666667097
12;35.50;3.50;False;False;True;False;183;16.50;4.50;True;False;False;False;2;17.789260458079525;0.015345344588183117;17.701666666666597;17.876854249492453
