#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.72;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.87;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
179.99;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.72;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
299.89;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.77;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
419.86;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
479.84;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.61;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
599.99;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
659.94;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
719.97;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
779.79;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
839.65;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
899.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
959.81;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1019.75;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1079.89;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1139.97;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1199.97;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1259.61;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1319.77;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1379.91;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1439.9;2;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1499.68;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1559.81;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1619.71;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1679.71;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1739.95;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1799.99;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
