#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.31
59.62;200;200;0;56.45;0;59.62;0;0.3
119.98;200;200;0;83.36;0;111.14;0;0.33
179.92;200;200;0;118.89;0;167.14;0;0.23
239.83;200;200;0;135.98;0;197.72;0;0.25
299.73;200;200;0;174.36;0;263.61;0;0.24
359.99;200;200;0;192.33;0;308.27;0;0.28
419.94;200;200;0;197.22;0;295.67;0;0.37
479.76;200;200;0;221.56;0;373.71;0;0.28
539.92;200;200;0;231.64;0;413.66;0;0.3
599.94;200;200;0;276.03;0;491.07;0;0.27
659.67;200;200;0;290.71;0;516.76;0;0.29
719.99;200;200;0;297.89;0;587.02;0;0.29
779.81;200;200;0;303.58;0;554.16;0;0.4
839.92;200;200;0;345.63;0;636.16;0;0.39
899.97;200;200;0;338.44;0;681.4;0;0.39
959.81;200;200;0;393.06;0;750.71;0;0.34
1020;200;200;0;432.04;0;779;0;0.3
1079.67;200;200;0;481.97;0;844.73;0;0.32
1139.82;200;200;0;449.89;0;831.41;0;0.35
1199.64;200;194;0;493.19;0;952.1;0;0.39
1259.83;200;191;0;538.22;0;932.24;0;0.43
1320;200;179;0;543.09;0;1113.17;0;0.33
1379.82;200;174;0;559.94;0;1165.9;0;0.31
1439.93;200;172;0;571.93;0;1214.36;0;0.32
1499.96;200;159;0;525.78;0;1185.47;0;0.39
1559.68;200;152;0;525.71;0;1183.12;0;0.45
1619.63;200;142;0;545.12;0;1268.37;0;0.46
1679.96;200;134;0;576.72;0;1360.96;0;0.45
1739.91;200;125;0;598.14;0;1472.92;0;0.34
1799.69;200;118;0;615.54;0;1572.06;0;0.33
