#TimeStamp;TripTime;Type
37;10;O
46;20;O
53;31;O
58;12;O
66;16;O
83;18;O
106;17;O
139;24;O
146;15;O
155;27;O
158;21;O
181;24;O
187;16;O
222;24;O
236;19;O
272;16;O
275;24;O
281;24;O
305;13;O
315;23;O
332;33;O
345;15;O
399;16;O
405;18;O
421;27;O
427;31;O
434;22;O
435;26;O
491;22;O
507;20;O
525;7;O
547;25;O
567;20;O
582;18;O
599;40;O
605;27;O
632;22;O
648;30;O
663;29;O
665;7;O
665;18;O
692;14;O
711;21;O
745;20;O
774;20;O
782;23;O
788;21;O
794;17;O
795;17;O
842;21;O
869;27;O
892;12;O
927;24;O
935;33;O
940;26;O
986;23;O
994;24;O
1015;11;O
1042;20;O
1057;19;O
1058;20;O
1098;24;O
1119;6;O
1124;28;O
1138;15;O
1145;24;O
1150;35;O
1188;21;O
1208;14;O
1219;22;O
1236;12;O
1254;28;O
1270;22;O
1288;31;O
1311;24;O
1316;18;O
1340;15;O
1363;27;O
1380;18;O
1383;27;O
1416;30;O
1426;13;O
1444;22;O
1449;16;O
1505;23;O
1511;11;O
1518;29;O
1523;32;O
1540;18;O
1558;35;O
1571;13;O
1582;23;O
1612;29;O
1613;22;O
1630;18;O
1662;21;O
1685;24;O
1694;47;O
1707;86;O
1712;24;O
1732;21;O
1748;21;O
1758;13;O
1778;11;O
1784;15;O
1794;21;O
1798;16;O
