#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.95;0;0;1;3;0/59.95;0/48.41,1/59.95,2/46.78;0/59.95;0/59.95,1/59.95,2/59.95;0/0;0/11,1/12,2/11;0/0;0/14,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/0,2/4
119.59;0;4;1;3;0/119.59;0/56.93,1/69.58,2/54.36;0/119.59;0/119.59,1/119.59,2/119.59;0/0;0/10,1/15,2/9;0/0;0/14,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/1;0/0;0/17,1/14,2/18
179.9;0;7;1;3;0/179.9;0/81.04,1/112.56,2/73.88;0/179.9;0/179.9,1/179.9,2/179.9;0/0;0/9,1/12,2/9;0/0;0/15,1/16,2/11;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/2;0/0;0/26,1/18,2/28
239.85;0;11;1;3;0/239.85;0/87.9,1/129.14,2/121.5;0/239.85;0/239.85,1/239.85,2/239.85;0/0;0/11,1/14,2/10;0/0;0/14,1/18,2/13;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/4;0/0;0/40,1/29,2/32
299.95;0;13;1;3;0/299.95;0/127.59,1/158.63,2/156.23;0/299.95;0/299.95,1/299.95,2/299.95;0/0;0/11,1/13,2/6;0/0;0/14,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/4;0/0;0/45,1/38,2/38
359.82;0;18;1;3;0/359.82;0/164.57,1/188.55,2/188.14;0/359.82;0/359.82,1/359.82,2/359.82;0/0;0/12,1/12,2/6;0/0;0/16,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/7,1/5,2/6;0/0;0/51,1/45,2/46
419.9;0;21;1;3;0/419.9;0/190.63,1/221.55,2/192.76;0/419.9;0/419.9,1/419.9,2/419.9;0/0;0/11,1/11,2/9;0/0;0/13,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/6;0/0;0/60,1/53,2/60
479.94;0;24;1;3;0/479.94;0/234.34,1/235.42,2/224.67;0/479.94;0/479.94,1/479.94,2/479.94;0/0;0/12,1/16,2/7;0/0;0/15,1/18,2/12;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/7;0/0;0/64,1/64,2/67
539.87;0;27;1;3;0/539.87;0/254.01,1/283.98,2/255.63;0/539.87;0/539.87,1/539.87,2/539.87;0/0;0/12,1/12,2/9;0/0;0/14,1/18,2/15;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/8;0/0;0/75,1/67,2/75
599.75;0;30;1;3;0/599.75;0/270.56,1/310.29,2/261.85;0/599.75;0/599.75,1/599.75,2/599.75;0/0;0/17,1/12,2/8;0/0;0/19,1/17,2/11;0/0;0/2,1/2,2/2;0/0;0/11,1/10,2/9;0/0;0/86,1/76,2/89
660;0;34;1;3;0/660;0/312.33,1/336.78,2/275.28;0/660;0/660,1/660,2/660;0/0;0/11,1/11,2/12;0/0;0/17,1/19,2/15;0/0;0/2,1/2,2/2;0/0;0/12,1/12,2/10;0/0;0/91,1/85,2/101
720;0;38;1;3;0/720;0/328.96,1/347.65,2/312.2;0/720;0/720,1/720,2/720;0/0;0/11,1/9,2/12;0/0;0/15,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/13,1/13,2/12;0/0;0/102,1/98,2/107
779.98;0;41;1;3;0/779.98;0/374.98,1/360.31,2/349.01;0/779.98;0/779.98,1/779.98,2/779.98;0/0;0/10,1/10,2/9;0/0;0/13,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/14,1/14,2/13;0/0;0/106,1/111,2/113
839.8;0;44;1;3;0/839.8;0/380.88,1/367.57,2/378.36;0/839.8;0/839.8,1/839.8,2/839.8;0/0;0/11,1/13,2/8;0/0;0/13,1/16,2/12;0/0;0/2,1/2,2/2;0/0;0/15,1/15,2/14;0/0;0/120,1/125,2/122
899.8;0;47;1;3;0/899.8;0/412.4,1/402.74,2/384.36;0/899.8;0/899.8,1/899.8,2/899.8;0/0;0/12,1/9,2/11;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/16,1/16,2/15;0/0;0/127,1/131,2/136
959.91;0;51;1;3;0/959.91;0/438.23,1/410.72,2/389.64;0/959.91;0/959.91,1/959.91,2/959.91;0/0;0/13,1/13,2/10;0/0;0/15,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/18,1/17,2/16;0/0;0/136,1/145,2/150
1019.71;0;52;1;3;0/1019.71;0/488,1/456.04,2/428.14;0/1019.71;0/1019.71,1/1019.71,2/1019.71;0/0;0/10,1/11,2/10;0/0;0/15,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/19,1/17,2/16;0/0;0/139,1/148,2/155
1080;0;57;1;3;0/1080;0/505.06,1/496.86,2/450.63;0/1080;0/1080,1/1080,2/1080;0/0;0/14,1/11,2/12;0/0;0/14,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/20,1/19,2/18;0/0;0/150,1/153,2/165
1139.94;0;62;1;3;0/1139.94;0/553.83,1/523.32,2/476.18;0/1139.94;0/1139.94,1/1139.94,2/1139.94;0/0;0/12,1/11,2/11;0/0;0/13,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/22,1/21,2/19;0/0;0/154,1/162,2/174
1199.83;0;65;1;3;0/1199.83;0/586.86,1/543.87,2/501.62;0/1199.83;0/1199.83,1/1199.83,2/1199.83;0/0;0/8,1/13,2/11;0/0;0/14,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/22,1/22,2/21;0/0;0/160,1/172,2/184
1259.68;0;68;1;3;0/1259.68;0/614.41,1/589.37,2/553.75;0/1259.68;0/1259.68,1/1259.68,2/1259.68;0/0;0/11,1/9,2/11;0/0;0/15,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/24,1/23,2/21;0/0;0/169,1/176,2/185
1319.95;0;72;1;3;0/1319.95;0/644.68,1/596.28,2/573.96;0/1319.95;0/1319.95,1/1319.95,2/1319.95;0/0;0/9,1/11,2/9;0/0;0/14,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/25,1/24,2/23;0/0;0/177,1/190,2/196
1379.69;0;75;1;3;0/1379.69;0/674.68,1/627.24,2/580.69;0/1379.69;0/1379.69,1/1379.69,2/1379.69;0/0;0/10,1/12,2/11;0/0;0/12,1/15,2/12;0/0;0/2,1/2,2/2;0/0;0/26,1/25,2/24;0/0;0/184,1/197,2/210
