#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
49.41;1;49.41;49.41;-9354.67
57.03;0;57.03;57.03;-9161.58
57.65;1;57.65;8.11;-10942.54
61.32;0;61.32;11.78;-10369.13
62.07;1;62.07;12.53;-10661.28
63.54;2;63.54;63.54;-9755.42
65.58;0;65.58;8.36;-10439.6
67.57;2;67.57;67.57;-9762.94
69.57;0;69.57;7.97;-11139.31
75.57;2;75.57;13.96;-9823.15
75.7;1;75.7;75.7;-9383.09
76.16;0;76.16;76.16;-8823.68
79.37;2;79.37;15.76;-11454.66
84.16;0;84.16;14.46;-9919.68
87.08;2;87.08;87.08;-9718.01
88.45;0;88.45;12.76;-10028.03
107.21;2;107.21;27.47;-9949.16
111.13;2;111.13;26.56;-10538.03
115;2;115;27.79;-11636.55
135.47;1;135.47;135.47;-9496.83
158.17;2;158.17;82.48;-11789.07
162.44;0;162.44;73.83;-10163.63
162.44;2;162.44;162.44;-9675.78
165.68;1;165.68;165.68;-9502.59
169.68;1;169.68;33.96;-10106.3
171.15;2;121.61;59.82;-9323.79
173.69;1;173.69;10.89;-10182.41
175.31;2;175.31;16.83;-10519.28
177.94;1;177.94;12.17;-10327.55
178.27;0;178.27;178.27;-8840.95
182.35;1;182.35;12.51;-10668.73
182.35;2;182.35;182.35;-9533.73
182.77;0;182.77;98.2;-10120.44
186.66;1;186.66;12.77;-11451.32
191.45;0;28.65;17.18;-10565.77
195.82;0;195.82;17.14;-10752.56
198.45;2;198.45;20.18;-11430.33
200;0;200;16.9;-10823.73
202.69;2;202.69;20.01;-11859.62
204.58;0;204.58;13.06;-10884.38
206.74;2;206.74;8;-12215.59
208.32;0;208.32;12.38;-12590.17
228.76;1;228.76;228.76;-9405.27
232.31;0;232.31;232.31;-8861.55
236.73;0;62.85;32.09;-9824.01
240.98;0;45.04;32.29;-10493.92
249.2;1;249.2;20.39;-10142.33
250.24;2;250.24;87.45;-9602.13
253.62;1;117.9;24.81;-10268.73
257.62;1;257.62;8.38;-10486.19
262.04;1;262.04;8.38;-10893.74
262.69;2;262.69;13.45;-10103.57
266.33;1;266.33;8.36;-11407.48
267.06;2;267.06;16.54;-10205.04
270.86;1;270.86;8.46;-11950.77
271.48;2;113;8.54;-11602.35
273.53;0;273.53;273.53;-8820.32
275.46;1;275.46;8.81;-12140.75
279.4;2;279.4;279.4;-9406.84
283.06;1;283.06;96.33;-11762.98
283.4;2;283.4;11.71;-9560.11
287.4;2;287.4;11.9;-9886.91
291.98;2;100.45;12.47;-11156.38
296.18;2;296.18;12.63;-12133.53
