#TimeStamp;Bot;Pod;OutputStation
56.69;2;15;0
60.92;2;15;0
61.76;3;10;2
65.1;2;15;0
65.1;5;36;1
65.91;3;10;2
69.26;2;15;0
69.34;5;36;1
69.96;3;10;2
73.37;2;15;0
73.37;5;36;1
74.24;3;10;2
77.57;2;15;0
77.57;5;36;1
78.66;3;10;2
81.79;2;15;0
81.99;5;36;1
83.07;3;10;2
86;2;15;0
86.41;5;36;1
87.49;3;10;2
90.12;2;15;0
90.83;5;36;1
94.16;1;25;2
95.25;5;36;1
97.51;4;6;0
98.21;1;25;2
99.67;5;36;1
101.67;4;6;0
102.18;1;25;2
103.72;5;36;1
105.33;4;6;0
106.27;1;25;2
107.78;5;36;1
109.69;4;6;0
110.38;1;25;2
112.2;5;36;1
113.75;4;6;0
114.43;1;25;2
116.37;5;36;1
118.03;4;6;0
122.34;4;6;0
123.38;0;12;1
126.45;4;6;0
127.73;0;12;1
130.49;4;6;0
131.67;0;12;1
134.54;4;6;0
135.39;0;12;1
139.58;0;12;1
143.76;0;12;1
156.9;2;38;0
161.2;2;38;0
165.38;2;38;0
169.13;3;3;2
169.54;2;38;0
173.41;2;38;0
173.41;3;3;2
177.49;3;3;2
181.62;3;3;2
186.04;3;3;2
190.38;3;3;2
194.7;3;3;2
198.77;3;3;2
198.82;4;43;0
202.82;5;0;1
202.82;3;3;2
202.94;4;43;0
206.9;5;0;1
206.9;3;3;2
207.04;4;43;0
211.04;4;43;0
211.04;5;0;1
211.04;3;3;2
214.95;5;0;1
214.95;3;3;2
215.09;4;43;0
219.09;5;0;1
219.51;4;43;0
221.94;1;8;2
223.27;5;0;1
223.93;4;43;0
226;1;8;2
227.72;5;0;1
228;4;43;0
230.04;1;8;2
231.77;5;0;1
232.04;4;43;0
234.04;1;8;2
236.04;5;0;1
238.09;1;8;2
239.22;2;37;0
240.09;5;0;1
243.27;2;37;0
244.13;5;0;1
247.35;2;37;0
248.3;5;0;1
251.43;2;37;0
255.85;2;37;0
255.9;0;17;1
259.9;2;37;0
260;0;17;1
264.32;0;17;1
268.36;0;17;1
272.41;0;17;1
276.08;0;17;1
280.46;0;17;1
284.88;0;17;1
288.94;0;17;1
293.36;0;17;1
296.47;3;1;2
297.4;0;17;1
297.86;4;23;0
300.75;3;1;2
301.44;0;17;1
302;4;23;0
305.17;3;1;2
305.91;4;23;0
309.37;3;1;2
310.2;4;23;0
313.25;5;15;1
313.37;3;1;2
314.61;4;23;0
317.04;5;15;1
317.49;3;1;2
321.37;5;15;1
321.53;3;1;2
325.29;5;15;1
325.95;3;1;2
329.2;5;15;1
330.09;3;1;2
333.53;5;15;1
333.66;2;8;0
337.08;1;22;2
337.61;5;15;1
337.66;2;8;0
341.46;1;22;2
341.83;2;8;0
345.51;1;22;2
349.55;1;22;2
353.6;1;22;2
357.64;1;22;2
361.44;1;22;2
379.59;0;54;1
381.68;3;25;2
381.75;4;9;0
383.64;0;54;1
385.75;3;25;2
385.79;4;9;0
387.75;0;54;1
389.67;3;25;2
390.09;4;9;0
391.72;0;54;1
393.79;3;25;2
394.21;4;9;0
397.84;3;25;2
398.26;4;9;0
402.26;3;25;2
402.69;4;9;0
416.99;5;35;1
418.86;1;29;2
420;2;10;0
421.1;5;35;1
422.95;1;29;2
424.04;2;10;0
425.52;5;35;1
426.9;1;29;2
427.81;2;10;0
429.49;5;35;1
430.76;1;29;2
431.98;2;10;0
433.6;5;35;1
435.14;1;29;2
439.5;1;29;2
443.94;1;29;2
448.4;1;29;2
452.82;1;29;2
457.23;1;29;2
470.96;0;42;1
474.41;3;13;2
475.12;0;42;1
477.58;4;3;0
478.61;3;13;2
479.54;0;42;1
481.87;4;3;0
482.96;3;13;2
483.83;0;42;1
486.29;4;3;0
486.86;3;13;2
487.7;0;42;1
490.96;3;13;2
491.87;0;42;1
495;3;13;2
495.91;0;42;1
499.05;3;13;2
503.47;3;13;2
505.3;5;59;1
507.79;3;13;2
509.35;5;59;1
511.98;3;13;2
513.06;5;59;1
516.1;3;13;2
516.31;2;34;0
517.3;5;59;1
520.14;3;13;2
520.51;2;34;0
521.47;5;59;1
524.51;3;13;2
